oঁkol̪	ɔ k o l
kɔbe	k oː b ɛ
kɔmɔl̪a	k ɔ m l a
ke̯ɔ	k ɔ e̯
ke̯ɔɸɔl̪ɔ	k ɒ e̯ ɸ ɒ l
ke̯ɔl̪akʰn̪i	k ɔ e̯ l ɑ kʰ ɔ n i
ke̯ed̪	k ɔ e̯ e d̪
ke̯ed̪kʰan̪a	k ɔ e̯ e d̪ kʰ a n a
kɔrɔnd͡ʑɔ	k ɔ ɾ ɔ n ɟ ɔ
kɔrɔbi	k ɔ ɾ ɔ b i
kɔl̪a	k ɔ l a
kɔʂtɔ	k ɔ ʃ t o
kɔ̃tʰal̪	k a ʈʰ a l
kɔ̃s̪a	k ã s a
kail̪	k a i l
kaun̪	k a u̯ n
kak	k a k
kad͡ʑakʰɔs̪t̪an̪	k a z a kʰ s t̪ a n
katue̯a	k a t̺ u a
katʰ	k a ʈʰ
kanta	k a n t̺ a
kantami	k a n t̺ a m i
kat̪ʰie̯abaɽ	k a t̪ʰ i a b a ɹ
kan̪ada	k a n a ɖ a
kan̪d̪in̪d͡za	k a n d̪ ɔ i n n a
kan̪d̪ain̪d͡za	k a n d̪ a i n n a
kamraŋɡa	k a m ɾ a ŋ ɡ a
kaman̪o	k a m a n o
kamuk	k a m u k
karkʰan̪a	k a r kʰ a n a
karɔnɔ	k a r o n
kariɡɔrɔ	k a r i ɡ ɔ r
kal̪a	k a l a
kahi	k a h ɔ i
kiŋba	k i ŋ b ɑ
kit͡ɕt͡ɕʰa	k i t ʃ t ʃʰ a
kit̪a	k i t̪ a
kit̪ab	k i t a b
kin̪in̪d͡za	k i n ɔ i n n a
kin̪ar	k i n a r
kuu	k u̯ u
kukur	k u k u ɾ
kund͡ʑɔl̪ɔt̪a	k u n ɟ ɔ l ɔ t a
kum	k u m
kue̯aɕa	k u a ʃ a
kus̪um	k u ʃ u m
kus̪t̪un̪t̪un̪ie̯a	k u s t̪ u n t̪ u n i̯ a
keɡa	k e ɡ a
keda	k ɛ d̺ a
ken̪	k ɛ n oː
kel̪a	k ɛ l a
komɔrɔ	k ɔ m ɔ ɹ
kowl̪ik	k o u̯ l i k
kd͡za	k ɛ
kd͡zan̪di	k æ n ɖ i
kʂɔt̪rie̯	kʰ o t̪ ɹ i̯ o
kʂɔmahin̪	kʰ ɔ m a ɦ i n
kɔt̪ɔbel̪	k ɔ t b e l
kʰe̯er	kʰ ɔ e ɾ
kʰɔrɔɡoɕ	kʰ ɔ r ɡ o ʃ
kʰɔrɔt͡ɕɔ	kʰ ɔ ɾ o t ʃ
kʰat̪ir	kʰ a t̪ i ɾ
kʰan̪ki	kʰ a ŋ k i
kʰan̪a	kʰ a n a
kʰarap	kʰ a ɾ a p
kʰarab	kʰ a ɹ a b
kʰal̪i	kʰ a l i
kʰal̪i	kʰ a l i
kʰud͡ʑutipaɽa	kʰ u d͡ʒ u ʈ̟ i p ɑ ɽ̟ ɑ
kʰub	kʰ u b
kʰub	kʰ u b
kʰed͡ʑur	kʰ e d ʒ u r
kʰee̯al̪	kʰ e a l
kʰel̪a	kʱ æ l a
ɡɔŋɡopad̪̤d͡zae̯	ɡ ɔ ŋ ɡ o p a d̪ʱː a e̯
ɡɔndar	ɡ ɔ n ɖ a r
ɡɔn̪d̪̤ɔt̪ɽin	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
ɡɔn̪d̪̤ɔb̤ad̪al̪	ɡ ɔ n dʱ ɔ bʱ a d a l
ɡɔrd̪an̪	ɡ ɔ ɾ d̪ a n
ɡɔl̪pɔ	ɡ ɔ l p o
ɡɔ̃iɽa	ɡ a i ɾ a
ɡaiɽa	ɡ a i ɾ a
ɡaɽi	ɡ a ɽ i
ɡuɸa	ɡ u pʰ ɑ
ɡum	ɡ u m
ɡumot	ɡ u m o t
ɡumɸa	ɡ u m pʰ ɑ
ɡeram	ɡ e ɾ ɑ m
ɡoɸa	ɡ o pʰ ɑ
ɡoe̯a	ɡ o̯ a
ɡoru	ɡ o ɹ u
ɡoɕ	ɡ o ʃ
ɡowt̪ɔmɔ	ɡ o u t̪ ɔ m
ɡɔram	ɡ ɾ ɑ m
ɡɔreɸt̪ar	ɡ ɾ e f t̪ a ɾ
̤ɡ̤ɔnta	ɡʱ ɔ n t a
̤ɡ̤ɔrɔ	ɡʱ ɔ ɾ
̤ɡ̤ɔʂa	ɡʱ ɔ ʃ a
̤ɡ̤aɽ	ɡʱ a ɽ
̤ɡ̤oŋɡa	ɡʱ o ŋ ɡ ä
̤ɡ̤oɽa	ɡʱ o ɽ a
̤ɡ̤oʂ	ɡʱ o ʃ
t͡ɕɔɽa	t ɕ ɔ ɹ a
t͡ɕɔmpa	t ɕ ɔ m p a
t͡ɕɔrbi	t ʃ o r b i
t͡ɕɔɕɔma	t ʃ ɔ ʃ m a
t͡ɕaul̪	c a u̯ l
t͡ɕakma	t͡ʃ ɐ k m ɐ
t͡ɕakri	t ɕ a k ɹ i
t͡ɕatɔɡɔ̃	t ɕ a t ɡ a
t͡ɕata	t ʃ a ʈ a
t͡ɕamɔt͡ɕɔ	t ɕ a m o t ɕ
t͡ɕamɔt͡ɕɔɽa	s a m s ɔ ɾ a
t͡ɕal̪t̪a	c a l t a
t͡ɕal̪an̪o	t ʃ a l a n o
t͡ɕiŋɽi	t͡ʃ i ŋ r i
t͡ɕitʰi	t ɕ i tʰ i
t͡ɕin̪t̪a	t ʃ i n t̪ a
t͡ɕil̪ɔmɔt͡ɕi	t ʃ i l ɔ m t ʃ i
t͡ɕud̪a	t͡ʃ u d̪ ɑ
t͡ɕumbɔn̪ɔ	t ʃ u m b ɔ n
t͡ɕuri	t͡ʃ u r i
t͡ɕurut	t͡ʃ u ɾ u ʈ̟
t͡ɕee̯ar	t͡ʃ e ä ɾ
t͡ɕee̯e	t͡ʃ e j e
t͡ɕokʰ	t ʃ o kʰ
t͡ɕʰa	t ɕʰ a
t͡ɕʰat̪rɔ	t ʃʰ a t̪ ɾ o
t͡ɕʰitɔmɔhɔl̪ɔ	t ʃʰ i ʈ m ɔ ɦ ɔ l
t͡ɕʰet͡ɕɔl̪l̪iɕ	t ɕʰ e t ɕ ɔ lː i ʃ
d͡ʑɔn̪mɔd̪in̪	d ʒ ɔ n m o d̪ i n
d͡ʑɔn̪d͡ze	d ʒ ɔ nː e
d͡ʑɔbai	d ʒ ɔ b a i
d͡ʑɔmi	d ʒ o m i
d͡ʑɔmin̪	d ʒ o m i n
d͡ʑab̤a	d ʒ a bʰ a
d͡ʑama	d ʒ a m a
d͡ʑamin̪	z a m i n
d͡ʑae̯ɡa	d ʒ a e̯ ɡ a
d͡ʑahad͡ʑ	d ʑ a ɦ a d ʑ
d͡ʑiɡan̪o	z i ɡ a n ɔ
d͡ʑin̪is̪	d ʒ i n i ʃ
d͡ʑirb̤a	z i ɾ bʱ a
d͡ʑetʰ	z ɛ t̺ʰ
d͡ʑore	d ʑ o ɹ e
d͡ʑ̤aɽɔkʰɔndɔ	d ʑʱ a ɹ ɔ kʰ ɔ n d o
d͡ʑ̤al̪	ɟʱ a l
d͡ʑ̤iŋa	ɟʱ i ŋ a
d͡ʑ̤iŋɡa	ɟʱ i ŋ ɡ a
tɔmɔtɔmɔ	t ɔ m t ɔ m
tɔl̪a	t̺ ɒ l a
tikɔtɔ	ʈ̟ i k ɔ ʈ̟
tikit	ʈ̟ i k i ʈ̟
tupi	ʈ u p i
teŋɡa	t̺ ɛ ŋ ɡ a
teha	t̺ ɛ ɦ a
td͡zaks̪i	ʈ æ k s i
tʰɔ̃ঁi	ʈʰ ã i
tʰɔ̃i	ʈʰ ã i
tʰik	tʰ i k
dɔɡɔ	d̺ ɒ ɡ
dakt̪ar	ɖ a k t̪ a ɾ
daŋɔrɔ	d a ŋ ɔ ɾ
dim	d i m
durie̯an̪	ɖ̟ u ɾ i ɑ n
deha	d̺ ɛ ɦ a
d̤eঁɽɔs̪ɔ	ɖʱ æ̃ ɽ o ʃ
t̪ɔtin̪i	t o ʈ i n i
t̪ɔɽit̪	t̪ ɔ ɽ i t̪
t̪ɔbuo	t̪ ɔ b u o
t̪ɔbe	t̪ ɔ b e
t̪ɔl̪l̪aɕi	t̪ ɔ l l a ʃ i
t̪ɔ̃ra	t̪ ã r a
t̪aoe̯a	t̪ a w a
t̪akan̪o	t̪ a k a n̪ o
t̪ama	t a m a
t̪amaɕa	t̪ ä m ä s̠ ä
t̪amuk	t̪ a m u k
t̪ara	t̪ a r a
t̪arip	t̪ ä ɾ i p
t̪ariɸ	t̪ ä ɾ i pʰ
t̪is̪i	t i ʃ i
t̪ir	t̪ ɪː ɾ
t̪uঁi	t̪ ũ i
t̪uɸan̪	t̪ u f a n
t̪urit̪	t̪ u ɾ i t̪
t̪eঁt̪ul̪	t ẽ t u l
t̪oɕɔkɔ	t̪ o ʃ o k
t̪rit͡ɕɔkrɔd͡zan̪	t̪ ɹ i t ɕ ɔ k ɹ ɔ d ʑ a n
t̪ripɔt̪rɔ	t ɾ i p ɔ tː ɾ ɔ
t̪ʰɔn̪ɔ	t̪ʰ ɒ n
t̪ʰɔn̪e	t̪ʰ ɒ n e
t̪ʰɔl̪i	t̪ʰ ɔ l i
t̪ʰan̪kun̪i	tʰ a n k u n i
t̪ʰarmɔmitar	t̪ʰ ɑ ɾ m ɔ m i ʈ̟ ɑ ɾ
t̪ʰarmomitar	t̪ʰ ɑ ɾ m o m i ʈ̟ ɑ ɾ
d̪ɔpt̪ɔrɔ	d̪ ɔ p t̪ o ɾ
d̪ɔɸɔt̪ɔrɔ	d̪ ɔ f t̪ o ɾ
d̪ɔrɔd͡ʑa	d̪ ɔ ɾ d ʒ a
d̪ɔrɔbar	d̪ ɔ r b a r
d̪ɔrie̯a	d̪ o r i j a
d̪ɔl̪an̪	d̪ ɒ l a n
d̪aoe̯ai	d̪ a o̯ a i̯
d̪akʰil̪	d̪ a kʰ i l
d̪aɽi	d a ɽ i
d̪an̪d̪an̪	d̪ a n d̪ a n
d̪al̪an̪	d̪ a l a n
d̪i̤ɡ̤i	d̪ i ɡʱ i
d̪ipɔŋkɔrɔ	d̪ i p ɔ ŋ k ɔ ɾ
d̪ipot̪ɔs̪ɔbɔ	d̪ i p o t̪ ʃ ɔ b
d̪uঃkʰɔ	d u k kʰ o
d̪uin̪d͡zai	d u i n n a i
d̪uɡi	d̪ u ɡ i
d̪upur	d̪ u p u ɾ
d̪urie̯an̪	d̪ u ɾ i ɑ n
d̪ɽiɕd͡zɔ	d̪ r i ʃː o
d̪eɕ	d̪ e ʃ
d̪ot̪ara	d̪ o t̪ a ɾ a
d̪ol̪n̪a	d o l n a
d̪bip	d̪ i p
d̪rut̪	d̪ ɾ ʊ t̪ o
d̪̤ɔn̪e	dʱ o n e
d̪̤ɔrʂɔnɔ	dʱ ɔ ɾ ʃ ɔ n
d̪̤air	d̪ʱ a i ɾ
d̪̤ari	d̪ʱ a ɾ i
d̪̤ut̪ura	d̪ʱ u t̪ u ɹ a
n̪ɔɡɔn̪ɔt̪a	n ɔ ɡ n o t̪ a
n̪ɔbɔdɔŋka	n ɔ b ɔ d ɔ ŋ k ɑ
n̪ɔb̤embɔrɔ	n ɔ bʱ e m b ɔ ɹ
n̪ɔb̤el̪	n ɔ bʱ e l
n̪ɔmɔs̪kar	n ɔ m ɔ ʃ k a r
n̪ɔmbɔrɔ	n ɔ m b o ɹ
n̪ɔrɔ	n ɔ ɹ
n̪ɔrɔmɔ	n ɔ ɾ o m
n̪aihɔl̪ɔ	n a i ɦ ɒ l
n̪at̪iɕit̪oʂnɔ	n a t̪ i ʃ i t̪ o ʃ n o
n̪appi	n ɑ p p i
n̪am	n a m
n̪amɔhin̪	n a m ɦ i n
n̪arae̯ɔnɔ	n a ɹ a e̯ n
n̪arin̪d̪a	n a ɹ i n d̪ a
n̪as̪rin̪	n a s ɹ i n
n̪ie̯as̪	n i a ʃ
n̪irɔkʂɔrɔ	n i r ɔ k kʰ ɔ r
n̪iʂid̪d̪̤ɔ	n i ʃ i d̪ːʱ o
n̪eul̪	n e u l
n̪eoe̯a	n a o̯ a
n̪emɔn̪t̪ɔn̪n̪ɔ	n e m o n t̪ o n n o
n̪ojrad͡ʑd͡zɔbad̪	n o i̯ ɹ a d ʑː ɔ b a d̪
n̪d͡zae̯	n ɛ e̯
n̪d͡zun̪ɔt̪ɔmɔ	n u n o t̪ ɔ m o
pɔtol̪	p ɔ ʈ o l
pɔd̪mɔ	p ɔ d̪ː ɔ
pe̯ɔɡɔmbɔrɔ	p ɔ e̯ ɡ ɔ m b ɔ ɾ
pɔrɔmanu	p ɔ ɹ o m a n u
pɔris̪t̪ʰit̪i	p ɔ ɾ i ʃ t̪ʰ i t̪ i
pɔren̪d̪a	p ɔ ɾ ɛ n d̪ a
pɔrbɔt̪ɔ	p ɔ r b ɔ t
pɔl̪l̪i	p ɔ lː i
pɔɕt͡ɕimɔbɔŋɡɔ	p ɔ ʃ t ɕ i m b ɔ ŋ ɡ o
pɔɕt͡ɕimbaŋl̪a	p ɔ ʃ t ɕ i m b a ŋ l a
pɔhel̪a	p ɔ ɦ e l a
pa	p a
pɔ̃t̪i	p a t̪ i
pait̪ʰɔn̪ɔ	p ɑ i t̪ʰ ɔ n
paura	p a u ɾ a
pakɔs̪t̪ʰɔl̪i	p a k ɔ s tʰ o l i
pakʰa	p a kʰ a
pakʰi	p a kʰ i
patʰan̪o	p ɑ ʈʰ ɑ n o
pat̪a	p a t a
pad̪ri	p a d̪ ɹ i
pan̪i	p ɑː n iː
pan̪u	p ɑ n u
pan̪t̪ʰɔpad̪ɔpɔ	p a n tʰ ɔ p a d ɔ p
pan̪n̪a	p a nː a
papɔkɔrmɔ	p a p o k ɔ ɹ m o
pae̯u	p ɑ e̯ u
pae̯ukam	p ɑ e̯ u k ɑ m
pae̯ukami	p ɑ e̯ u k ɑ m i
pas̪ra	p a ʃ ɔ ɾ a
pahura	p a ɦ u ɾ a
pipl̪i	p i p ɔ l i
pippɔl̪ɔ	p i pː ɔ l
pie̯an̪o	p i ɑ n o
pud͡ʑo	p u d͡ʒ o
pud̪in̪a	p u d̪ i n a
puʂtikɔrɔ	p u ʃ ʈ̟ i k ɔ ɾ
puʂpɔ	p u ʃ p ɔ
pus̪t̪ɔkɔ	p u s t ɔ k
pud͡ʑa	p u d͡ʒ ɑ
put̪ibat̪	p u t i b a t
peঁt͡ɕa	p ɛ̃ t ʃ a
pereɕan̪	p e r e ʃ a n
poe̯at̪	p ɔ a t̪
pd͡zɔ̃t͡ɕa	p ɛ̃ t ʃ a
pd͡zan̪del̪	p æ n ɖ e l
prɔt͡ɕar	p ɹ o t ɕ a ɹ
prɔs̪ɔbɔ	p ɾ o ʃ ɔ b
prɔs̪t̪ut̪	p ɾ ɔ ʃ t̪ u t̪
prat͡ɕin̪	p r ɑ c i n
prat̪	p ɹ a t̪
prem	p ɹ e m
premik	p ɾ e m i k
premika	p ɾ e m i k ɑ
pl̪id͡ʑ	p l i z
pl̪id͡ʑ	p l i z
ɸɔl̪ɔs̪a	pʰ ɔ l ʃ a
ɸae̯d̪a	f a j d̪ a
ɸarak	f a r a k
ɸal̪ɡun̪	f a l ɡ u n
ɸahad̪	f a ɦ a d̪
ɸirebar	ɸ i ɾ e b a ɾ
ɸotan̪o	f o t a n o
ɸl̪ɔpi	pʰ l ɔ p i
bɔkul̪	b o k u l
bɔɡɔl̪ɔ	b o ɡ o l
bɔŋɡɔ	b ɔ ŋ ɡ ɔ
bɔŋɡɔbid̪d͡za	b ɔ n ɡ o b i d̪ː a
bɔd͡ʑrɔ	b ɔ ɟ ɾ ɔ
bɔɽɔd̪in̪	b ɔ ɽ̟ ɔ d i n
bɔɽod̪in̪	b ɔ ɽ̟ o d i n
bɔn̪d̪̤e	b ɒ n d̪ʱ e
bɔn̪d͡za	b ɔ nː a
bɔs̪a	b ɔ ʃ a
bɔs̪u	b ɔ ʃ u
bɔs̪un̪d̪̤ɔra	b o ʃ u n d̪ʱ ɔ ɹ a
bɔ̃ɽa	b a ɹ a
baŋl̪ad̪eɕi	b a ŋ l a d̪ e ʃ i
baŋl̪ad̪eɕi	b a ŋ l a d̪ e ʃ i
bait	b a i ʈ
bait̪d͡za	b a i t̪ t̪ a
bairaɡ	b a i ɾ a ɡ
bakd͡zɔ	b a kː o
baɡ	b a ɡ
baŋal̪i	b a ŋ a l i
baŋɡal̪i	b a ŋ ɡ a l i
batpaɽ	b a t p a ɹ
bat̪t̪i	b a t̪ t̪ i
bad̪ɕahɔ	b a d̪ ʃ a ɦ
baba	b a b a
baburt͡ɕi	b a b u r t ʃ i
bari	b a ɾ i
bal̪i	b a l i
bal̪iɕ	b a l i ʃ
bahir	b a ɦ i ɾ
bit͡ɕʰan̪o	b i t ɕʰ a n o
bid͡ʑnan̪	b i ɡː æ n
bid͡ʑnapɔn̪ɔ	b i ɡ j a p ɔ n
bid̪eɕ	b i d̪ e ʃ
bid̪eɕi	b i d̪ e ʃ i
bin̪d̪u	b i n d̪ u
bibad̪	b i b ɑ d̪
biman̪ɔbɔn̪d̪ɔrɔ	b i m ɑ n b ɔ n d̪ ɔ ɾ
bie̯an̪	b i̯ a n
bie̯al̪	b i a l
birud̪d̪̤e	b i r u d̪ːʱ e
bil̪bɔ	b i lː ɔ
biɕri	b i s ɾ i
biʂe̯e	b i ʃ ɔ e
bis̪ɔrɡɔ	b i ʃ o r ɡ o
bid͡ʑɔ̤ɡ̤n̪ɔ	b i d ʑ ɔ ɡʱ n o
buɽ	b u ɾ
bud̪̤bar	b u d̪ʱ b a ɹ
bub̤ukʂa	b u bʱ u k kʰ ɑ
buɕra	b u ʃ ɹ a
bɽikʂɔ	b r i k kʰ o
bɽiɕt͡ɕik	b r i ʃ t ʃ i k
beঁha	b ɛ ɦ a
beɡun̪	b e ɡ u n
beda	b ɛ d̺ a
bedi	b e d̺ i
beproe̯a	b e p ɔ r w a
beɕi	b e ʃ i
bojঁt͡ɕi	b õ ĩ̯ c i
bojɕd͡zɔ	b o i ʃ ʃ o
bokat͡ɕod̪a	b o k ɑ t͡ʃ o d̪ ɑ
bon̪	b o n
bos̪	b o ʃ
bd͡zɔkt̪i	b æ k t̪ i
bd͡zɔs̪t̪ɔ	b ɛ s t̪ ɔ
bd͡zak	b ɛ k
bd͡za̤ɡ̤rɔ	b æ ɡʱ ɾ ɔ
bd͡zatari	b æ ʈ̟ ɑ ɾ i
bd͡zad̪̤i	b æ dʱ i
bl̪ɔɡɔ	b l ɔ ɡ
b̤ɔn̪ɔb̤ɔn̪ɔ	bʱ ɔ n bʱ ɔ n
b̤aɽaitd͡za	bʱ a ɾ a i t̺ t̺ a
b̤aɽate	bʱ a ɹ a t e
b̤arɔt̪ɔ	bʱ a ɾ ɔ t̪
b̤art̪e	bʱ a ɹ ɔ t̪ e
b̤al̪obas̪a	bʱ a l o b a ʃ a
b̤it̪	bʱ i t̪ o
b̤ie̯et̪n̪am	v i j e t̪ n a m
b̤es̪t̪a	bʱ e ʃ t̪ ɑ
mɔndɔl̪ɔ	m o n d o l
mɔt̪i	m ɔ t̪ i
mɔt̪o	m ɔ t̪ o
mɔd̪d͡zɔpan̪	m ɔ d d o p a n
mɔn̪ɔmohɔn̪ɔ	m ɔ n m ɔ ɦ ɔ n
me̯ɔd̪a	m ɔ e̯ d̪ a
mɔramas̪	m ɔ ɹ a m a ʃ
mɔl̪ɔmɔ	m ɔ l o m
mɔs̪kɔra	m ɔ ʃ k ɔ ɹ a
mɔs̪t̪iʂkɔ	m ɔ s t̪ i ʃ k o
mɔhab̤arɔt̪ɔ	m ɔ ɦ ɑ bʱ ɑ ɾ ɔ t̪
main̪ʂe	m a i n ʃ e
maɡi	m a ɡ i
matʰ	m a ʈʰ
mat̪ɽi	m ɑ t̪ ɾ i
mat̪ɽib̤aʂa	m ɑ t̪ ɾ i bʱ ɑ ʃ ɑ
mat̪rɔ	m a t̪ ɹ o
mad̪̤d͡zɔme	m a d̪ːʱ ɔ m e
man̪ʂi	m a n ʃ i
man̪u	m a n u
man̪uʂ	m a n u ʃ
mama	m a m a
mal̪d̪a	m a l d̪ a
mal̪ur	m a l u ɾ
maɕaal̪l̪ah	m a ʃ a a l l aʱ
mida	m i d̺ a
min̪s̪a	m i n ʃ a
mu	m u
