aare	ɑ ɹ ə
clinostat	k l a ɪ n ə s t æ t
clithrophobia	k l ɪ θ ɹ ə f o ʊ b i ə
clivus	k l a ɪ v ə s
clockwork	k l ɑ k w ɝ k
closeup	k l o ʊ s ʌ p
clouds	k l a ʊ d z
cluck	k l ʌ k
clumpy	k l ʌ m p i
clumsiness	k l ʌ m z i n ə s
coals	k o ʊ l z
coeus	s i ə z
cohort	k o ʊ̯ h ɔ ɹ t
colander	k ɑ l ə n d ə ɹ
coleford	k o ʊ l f ə ɹ d
collection	k ə l ɛ k ʃ ə n
combined	k ə m b a ɪ n d
combustion	k ə m b ʌ s t͡ʃ ə n
commixtion	k ə m ɪ k s t͡ʃ ə n
compilation	k ɑ m p ɪ l e ɪ ʃ ə n
computerette	k ə m p j u t ɚ ɹ ɛ t
conceded	k ə n s i d ɪ d
conceive	k ə n s i v
conclusion	k ə n k l u ʒ ə n
confiture	k ɔ n f ɪ t j ʊ ə ɹ
conformance	k ə n f ɔ m ə n s
confusion	k ə n f j u ʒ ə n
congeries	k ɑ n d͡ʒ ə ɹ i z
congo	k ɑ ŋ ɡ o ʊ
connotation	k ɑ n ə t e ɪ ʃ ə n
consecution	k ɔ n s ɪ k j u ʃ ə n
conspersion	k ə n s p ɜ ɹ ʒ ə n
construal	k ə n s t ɹ u ə l
contracted	k ə n t ɹ æ k t ɪ d
convenable	k ə n v i n ə b ə l
convex	k ɑ n v ɛ k s
conway	k ɔ n w e ɪ
corncrake	k ɔ r n k r e ɪ k
corny	k ɔ ɹ n i
corradiate	k o ʊ ɹ e ɪ d i e ɪ t
corse	k ɔ ɹ s
cosmogony	k ɔ z m ɔ ɡ ə n i
cosmopolis	k ɔ z m ɔ p ɔ l ɪ s
costamere	k ɑ s t ə m ɪ ɹ
costive	k ɑ s t ɪ v
cotulla	k ə t j u l ə
coulisse	k u l i s
counterplot	k a ʊ n t ɚ p l ɑ t
counterpoise	k a ʊ n t ə ɹ p ɔ ɪ z
countrywide	k ʌ n t ɹ i w a ɪ d
couple	k ʌ p ə l
courtship	k ɔ ɹ t͡ʃ ɪ p
cowan	k a ʊ ə n
cowrie	k a ʊ ɹ i
crane	k ɹ e ɪ n
cream	k ɹ i m
crewmember	k ɹ u m ɛ m b ɚ
cronut	k ɹ o ʊ n ʌ t
crossed	k ɹ ɔ s t
crotch	k ɹ ɑ t͡ʃ
cruisings	k ɹ u z ɪ ŋ z
crustings	k ɹ ʌ s t ɪ ŋ z
cruz	k ɹ u z
crystalline	k ɹ ɪ s t ə l a ɪ n
css	s i ɛ s ɛ s
culled	k ʌ l d
culls	k ʌ l z
cusps	k ʌ s p s
cylindrical	s ɪ l ɪ n d ɹ ɪ k ə l
cypriot	s ɪ p ɹ i ə t
cytonuclear	s a ɪ t o n u k l i ɚ
dalry	d æ l ɹ a ɪ
dames	d e ɪ m z
damsel	d æ m z ə l
dan	d æ n
danae	d æ n e ɪ i
danbo	d æ n b o ʊ
dapagliflozin	d æ p ə ɡ l ə f l o ʊ z ɪ n
darken	d ɑ ɹ k ə n
davis	d e ɪ v ɪ s
dawson	d ɔ s ə n
daylights	d e ɪ l a ɪ t s
debasement	d ɪ b e ɪ s m ə n t
declan	d ɛ k l ə n
deepest	d i p ɪ s t
defcon	d ɛ f k ɑ n
deictic	d a ɪ k t ɪ k
deirdre	d ɪ ɹ d ɹ ə
delam	d i l æ m
deluxe	d ə l ʌ k s
demonstratable	d ɛ m ə n s t ɹ e ɪ t ə b l
denotes	d ɪ n o ʊ t s
dentiparous	d ɛ n t ɪ p ə ɹ ə s
deontic	d i ɔ n t ɪ k
derelict	d ɛ ɹ ə l ɪ k t
despairing	d ɪ s p ɛ ɹ ɪ ŋ
dexterous	d ɛ k s t ɹ ə s
dextrin	d ɛ k s t ɹ ɪ n
diathetic	d a ɪ ə θ ə t ɪ k
dicked	d ɪ k t
didst	d ɪ d s t
dimmer	d ɪ m ə ɹ
dimp	d ɪ m p
dirigent	d ɪ ɹ ɪ d͡ʒ ə n t
disadvantage	d ɪ s ə d v æ n t ɪ d͡ʒ
disaster	d ɪ z æ s t ɚ
discography	d ɪ s k ɑ ɡ ɹ ə f i
disdain	d ɪ s d e ɪ n
displease	d ɪ s p l i z
dissension	d ɪ s ɛ n ʃ ə n
distribution	d ɪ s t ɹ ə b j u ʃ ə n
ditchings	d ɪ t͡ʃ ɪ ŋ z
diver	d a ɪ̯ v ə ɹ
doggedly	d ɔ ɡ ə d l i
dominance	d ɑ m ɪ n ə n s
dominic	d ɑ m ə n ɪ k
dormouse	d ɔ ɹ m a ʊ s
drapery	d ɹ e ɪ p ə ɹ i
dreaded	d ɹ ɛ d ɪ d
dreadful	d ɹ ɛ d f ʊ l
drey	d ɹ e ɪ
drillings	d ɹ ɪ l ɪ ŋ z
dronabinol	d ɹ o ʊ n æ b ɪ n ɔ l
droved	d ɹ o ʊ v d
drown	d ɹ a ʊ n
drowsing	d ɹ a ʊ z ɪ ŋ
dumpling	d ʌ m p l ɪ ŋ
dweller	d w ɛ l ə ɹ
dyscrasia	d ɪ s k ɹ e ɪ z ɪ ə
dystopian	d ɪ s t o ʊ p i ə n
earnestly	ɝ n ɪ s t l i
earwig	ɪ ə ɹ w ɪ ɡ
ease	i z
easter	i s t ɚ
ed	ɛ d
editings	ɛ d ɪ t ɪ ŋ z
educational	ɛ d͡ʒ ʊ k e ɪ ʃ ə n ə l
educe	ɪ d u s
ees	i z
eff	ɛ f
egestion	i d͡ʒ ɛ s t͡ʃ ə n
eggar	ɛ ɡ ɚ
eggs	ɛ ɡ z
electrolyte	i l ɛ k t ɹ ɵ l a ɪ t
elks	ɛ l k s
elutriate	ɪ l u t ɹ ɪ e ɪ t
elvan	ɛ l v ə n
elven	ɛ l v ə n
embarrassing	ɪ m b æ ɹ ə s ɪ ŋ
embolalia	ɛ m b ə l e ɪ l i ə
embroidery	ɪ m b ɹ ɔ ɪ d ə ɹ i
emesa	ɛ m ə s ə
enamored	ɪ n æ m ə ɹ d
enaunter	ɪ n ɔ n t ə ɹ
endeavouring	ɪ n d ɛ v ə ɹ ɪ ŋ
endymion	ɛ n d ɪ m i ə n
ensconce	ɛ n s k ɑ n s
entrust	ɪ n t ɹ ʌ s t
entscheidungsproblem	ɛ n t͡ʃ ʌ ɪ d ʊ ŋ s p ɹ ɔ b l ə m
epinephrine	ɛ p ɪ n ɛ f ɹ ɪ n
episcopalian	ə p ɪ s k ə p e ɪ l i n̩
eradicate	ɪ ɹ æ d ɪ k e ɪ t
erlking	ɜ l k ɪ ŋ
esker	ɛ s k ɚ
esoterica	ɛ s ɵ t ɛ ɹ ɪ k ə
estivate	ɛ s t ɪ v e ɪ t
estriol	ɛ s t ɹ a ɪ ɔ l
etymology	ɛ t ɪ m ɑ l ə d͡ʒ i
eunatremic	j u n ə t ɹ i m ɪ k
euouae	j u u i
excave	ɛ k s k e ɪ v
exporting	ɪ k s p ɔ ɹ t ɪ ŋ
extensive	ɛ k s t ɛ n s ɪ v
facer	f e ɪ s ə r
fain	f e ɪ n
fat	f æ t
fatso	f æ t s o ʊ
faults	f ɔ l t s
favors	f e ɪ v ɚ z
feck	f ɛ k
feeb	f i b
felicity	f ə l ɪ s ɪ t i
fellah	f ɛ l ə
femaleness	f i m e ɪ l n ɪ s
fence	f ɛ n s
fettle	f ɛ t ə l
filly	f ɪ l i
films	f ɪ l m z
fir	f ɝ
firebrand	f a ɪ ɚ b ɹ æ n d
fit	f ɪ t
fizzle	f ɪ z ə l
flashbulb	f l æ ʃ b ʌ l b
flat	f l æ t
flaubertian	f l o ʊ b ɝ t i ə n
flaxen	f l æ k s ə n
flotilla	f l o ʊ t ɪ l ə
fluorophilic	f l ɔ ɹ ə f ɪ l ɪ k
foils	f ɔ ɪ l z
fool	f u l
forming	f ɔ ɹ m ɪ ŋ
foxily	f ɔ k s ɪ l i
freaking	f ɹ i k ɪ ŋ
freck	f ɹ ɛ k
freedive	f r i d a ɪ v
freelance	f ɹ i l æ n s
freester	f ɹ i s t ɚ
fremd	f ɹ ɛ m d
fresher	f ɹ ɛ ʃ ɚ
frieze	f ɹ i z
fritz	f ɹ ɪ t s
frizzle	f ɹ ɪ z ə l
frosh	f ɹ ɔ ʃ
frustrate	f ɹ ʌ s t ɹ e ɪ t
fucus	f j u k ə s
functions	f ʌ ŋ k ʃ ə n z
future	f j u t͡ʃ ɚ
gabe	ɡ e ɪ b
gasbag	ɡ æ s b æ ɡ
gavel	ɡ æ v ə l
geek	ɡ i k
generosity	d͡ʒ ɛ n ə ɹ ɑ s ə t i
genet	d͡ʒ ɛ n ɪ t
genocidaire	d͡ʒ ɛ n ə s i d ɛ ɹ
genteel	d͡ʒ ɛ n t i l
genus	d͡ʒ i n ə s
geography	d͡ʒ i ɑ ɡ ɹ ə f i
gibberish	d͡ʒ ɪ b ə ɹ ɪ ʃ
gilded	ɡ ɪ l d ɪ d
gloomy	ɡ l u m i
gloria	ɡ l ɔ ɹ i ə
gmat	d͡ʒ i m æ t
gnaw	n ɔ
goguryeo	ɡ o ʊ ɡ ʊ ə ɹ i o ʊ
gout	ɡ a ʊ t
gowns	ɡ a ʊ n z
graft	ɡ ɹ æ f t
greengage	ɡ ɹ i n ɡ e ɪ d͡ʒ
gridlocks	ɡ ɹ ɪ d l ɔ k s
grieved	ɡ ɹ i v d
grinches	ɡ ɹ ɪ n t͡ʃ ɪ z
grist	ɡ ɹ ɪ s t
grit	ɡ ɹ ɪ t
grogram	ɡ ɹ ɑ ɡ ɹ ə m
groupie	ɡ ɹ u p i
growlf	ɡ ɹ a ʊ l f
gruff	ɡ ɹ ʌ f
gruffish	ɡ ɹ ʌ f ɪ ʃ
guardiancy	ɡ ɑ ɹ d i ə n s i
guerdon	ɡ ɝ d ə n
guinevere	ɡ w ɪ n ɪ v ɪ ɹ
gums	ɡ ʌ m z
gunate	ɡ u n e ɪ t
gunship	ɡ ʌ n ʃ ɪ p
gusla	ɡ ʊ s l ə
habilitation	h ə b ɪ l ɪ t e ɪ ʃ ə n
hacienda	h ɑ s i ɛ n d ə
hades	h e ɪ d i z
haggard	h æ ɡ ɚ d
haiti	h e ɪ t i
hallucination	h ə l u s ɪ n e ɪ ʃ ə n
hanger	h æ ŋ ɡ ɚ
hardened	h ɑ ɹ d n̩ d
harmonize	h ɑ ɹ m ə n a ɪ z
hath	h æ θ
haupt	h a ʊ p t
havoc	h æ v ə k
hazelwood	h e ɪ z ə l w ʊ d
headdesk	h ɛ d d ɛ s k
headwind	h ɛ d w ɪ n d
heaty	h i t i
hebdomadal	h ɛ b d ɔ m ə d ə l
hebrides	h ɛ b ɹ ə d i z
hecatonicosachoron	h ɛ k ə t ɔ n a ɪ k o ʊ s i k o ʊ ɹ ɔ n
heles	h i l z
hellacious	h ɛ l e ɪ ʃ ə s
hellenicity	h ɛ l ɛ n ɪ s ə t i
hep	h ɛ p
heriot	h ɛ ɹ ɪ ə t
hertz	h ɝ t s
hicked	h ɪ k t
hickman	h ɪ k m ə n
higham	h a ɪ ə m
highfather	h a ɪ f ɑ ð ɚ
hijackers	h a ɪ d͡ʒ æ k ə ɹ s
hirs	h ɪ ɹ z
hisses	h ɪ s ɪ z
hittite	h ɪ t a ɪ t
homer	h o ʊ m ə ɹ
homodimer	h o ʊ m o ʊ d a ɪ m ɚ
honeyed	h ʌ n i d
hooted	h u t ɪ d
hornbeam	h ɔ ɹ n b i m
hornbill	h ɔ ɹ n b ɪ l
horologion	ɔ ɹ ə l ɔ j ɔ n
houthi	h u θ i
hov	e ɪ t͡ʃ o ʊ v i
huboon	h j u b u n
hulks	h ʌ l k s
humbert	h ʌ m b ə ɹ t
hunnic	h ʌ n ɪ k
hutt	h ʌ t
hydaspes	h a ɪ d æ s p i z
hydrocodone	h a ɪ d ɹ o ʊ k o ʊ d o ʊ n
hyllus	h ɪ l ə s
hyp	h ɪ p
hyperemotional	h a ɪ p ə ɹ i m o ʊ ʃ ə n ə l
hyrax	h a ɪ ɹ æ k s
ibisbill	a ɪ b ɪ s b ɪ l
ibotenic	i b o ʊ t ɛ n ɪ k
icebreaker	a ɪ s b ɹ e ɪ k ə ɹ
icositetrachoron	a ɪ k o ʊ s i t ɛ t ɹ ə k o ʊ ɹ ɔ n
ikey	ʌ ɪ k i
illimitable	ɪ l ɪ m ɪ t ə b ə l
ily	ɪ l i
immerse	ɪ m ɜ ɹ s
imperfection	ɪ m p ɚ f ɛ k ʃ ə n
imperil	ɪ m p ɛ ɹ ə l
importunity	ɪ m p ɔ ɹ t u n ɪ t i
impoverished	ɪ m p ɑ v ə ɹ ɪ ʃ t
impressive	ɪ m p ɹ ɛ s ɪ v
imputation	ɪ m p j ʊ t e ɪ ʃ ə n
inaccurate	ɪ n æ k j ʊ ɹ ə t
inappropro	ɪ n ə p ɹ o ʊ p ɹ o ʊ
inchings	ɪ n t͡ʃ ɪ ŋ z
inconsiderate	ɪ n k ə n s ɪ d ə ɹ ɪ t
indebted	ɪ n d ɛ t ɪ d
indecision	ɪ n d ɪ s ɪ ʒ ə n
indices	ɪ n d ɪ s i z
infiltrationism	ɪ n f ɪ l t ɹ e ɪ ʃ ə n ɪ z m̩
inflammable	ɪ n f l æ m ə b ə l
informant	ɪ n f ɔ ɹ m ə n t
ingemination	ɪ n d͡ʒ ɛ m ɪ n e ɪ ʃ ə n
ingredient	ɪ n ɡ ɹ i d i ə n t
inhabitant	ɪ n h æ b ɪ t ə n t
inheritance	ɪ n h ɛ ɹ ə t ə n s
initial	ɪ n ɪ ʃ ə l
injector	ɪ n d͡ʒ ɛ k t ɚ
inosite	ɪ n ə s a ɪ t
inquest	ɪ ŋ k w ɛ s t
inquiration	ɪ ŋ k w ɪ ɹ e ɪ ʃ ə n
insolvable	ɪ n s ɔ l v ə b ə l
insure	ɪ n ʃ ʊ ɚ
intently	ɪ n t ɛ n t l i
intermezzo	ɪ n t ɚ m ɛ t s o ʊ
intermittent	ɪ n t ɚ m ɪ t n̩ t
interventive	ɪ n t ɚ v ɛ n t ə v
intrahepatic	ɪ n t ɹ ə h ə p æ t ɪ k
intraresidue	ɪ n t ɹ ə ɹ ɛ z ɪ d u
invariably	ɪ n v ɛ ɹ i ə b l i
iphone	a ɪ f o ʊ̯ n
irredeemable	ɪ ɹ ə d i m ə b ə l
irruent	ɪ ɹ ɪ ʊ ə n t
isethionate	a ɪ s ɪ θ a ɪ ə n e ɪ t
isolated	a ɪ s ə l e ɪ t ɪ d
isthmus	ɪ s m ə s
italianization	ɪ t æ l j ə n ə z e ɪ ʃ ə n
iwan	i w ɑ n
jacal	h ə k ɑ l
jace	d͡ʒ e ɪ s
janissary	d͡ʒ æ n ə z e ɹ i
japanese	d͡ʒ æ p ə n i z
jared	d͡ʒ æ ɹ ə d
jig	d͡ʒ ɪ ɡ
jodhpurs	d͡ʒ ɑ d p ɚ z
johnnycake	d͡ʒ ɑ n i k e ɪ k
jonathan	d͡ʒ ɑ n ə θ ə n
journal	d͡ʒ ɝ n ə l
juicer	d͡ʒ u s ɚ
justify	d͡ʒ ʌ s t ɪ f a ɪ
katana	k ə t ɑ n ə
kellia	k ɛ l i ə
keynsham	k e ɪ n ʃ ə m
kiki	k i k i
kinds	k a ɪ n d z
kithe	k ʌ ɪ ð
klein	k l a ɪ n
kniffles	n ɪ f l i z
koi	k ɔ ɪ
kriol	k ɹ i o ʊ l
kylix	k a ɪ l ɪ k s
kylixes	k a ɪ l ɪ k s ə z
kyphotone	k a ɪ f ə t o ʊ n
kyrgyz	k ɪ ɹ ɡ ɪ z
labiodental	l e ɪ b i o ʊ d e n t ə l
lacerated	l æ s ə ɹ e ɪ t ɪ d
laciniate	l ə s ɪ n i ə t
lack	l æ k
lacrimogenous	l æ k ɹ ɪ m ɑ d͡ʒ ə n ə s
ladakh	l ə d ɑ k
laden	l e ɪ d ə n
lageniform	l ə d͡ʒ ɛ n ə f ɔ ɹ m
lager	l ɑ ɡ ɚ
landon	l æ n d ə n
landover	l æ n d o ʊ v ə ɹ
languet	l æ ŋ ɡ w ɪ t
langur	l ʌ ŋ ɡ ʊ ə ɹ
lantibiotic	l æ n t i b a ɪ ɔ t ɪ k
lapses	l æ p s ɪ z
lariat	l æ ɹ ɪ ə t
laters	l e ɪ t ɚ z
lazed	l e ɪ z d
leaks	l i k s
leapfrog	l i p f ɹ ɑ ɡ
legato	l ə ɡ ɑ t o ʊ
leninite	l ɛ n ɪ n a ɪ t
lesdar	l ɛ z d ɑ ɹ
lesson	l ɛ s n̩
lethargy	l ɛ θ ɚ d͡ʒ i
leucotome	l u k ə t o ʊ m
lewdness	l u d n ə s
lezzer	l ɛ z ɚ
lias	l i ə s
libertine	l ɪ b ɚ t i n
lignify	l ɪ ɡ n ɪ f a ɪ
liken	l a ɪ k ə n
lil	l ɪ l
limn	l ɪ m
limner	l ɪ m n ɚ
lipline	l ɪ p l a ɪ n
listicle	l ɪ s t ə k l̩
listing	l ɪ s t ɪ ŋ
litharge	l ɪ θ ɑ ɹ d͡ʒ
litterateur	l ɪ t ə ɹ ə t ʊ ɚ
loaf	l o ʊ f
loam	l o ʊ m
lodgment	l ɑ d͡ʒ m ə n t
loggat	l ɔ ɡ ə t
logological	l ɑ ɡ o ʊ l ɑ d͡ʒ i k ə l
logorrhea	l ɔ ɡ ə ɹ i ə
logy	l o ʊ ɡ i
londraville	l ɑ n d ɹ ə v ɪ l
long	l ɔ ŋ
longed	l ɔ ŋ d
longeval	l ɔ n d͡ʒ i v ə l
looked	l ʊ k t
loose	l u s
lote	l o ʊ t
lottery	l ɑ t ɚ i
lusk	l ʌ s k
macdonald	m ə k d ɑ n ə l d
macher	m ɑ x ɛ ɹ
macky	m æ k i
macspaunday	m ə k s p ɔ n d e ɪ
maggie	m æ ɡ i
maidan	m a ɪ d ɑ n
malamute	m æ l ə m j u t
malevolent	m ə l ɛ v ə l ə n t
mammal	m æ m ə l
mandom	m æ n d ə m
manly	m æ n l i
mantilla	m æ n t i j ə
map	m æ p
marginally	m ɑ ɹ d͡ʒ ɪ n ə l i
mariah	m ə ɹ a ɪ ə
marine	m ə ɹ i n
marocain	m ɑ ɹ ə k e ɪ n
massachusetts	m æ s ə t͡ʃ u s ɪ t s
massingbird	m æ s ɪ ŋ b ɜ ɹ d
masterdom	m æ s t ɚ d ə m
meal	m i l
mediator	m i d i e ɪ t ɚ
meerkitten	m i ə k ɪ t ə n
membraneous	m ɛ m b ɹ e ɪ n i ə s
men	m ɛ n
mendelevium	m ɛ n d ə l i v i ə m
merenchyma	m ɛ ɹ ɪ ŋ k a ɪ m ə
mesmerize	m ɛ z m ə ɹ a ɪ z
messias	m ə s a ɪ ə s
messrs	m ɛ s ɚ z
metacercaria	m ɛ t ə s ɜ ɹ k ɛ ɹ ɪ ə
mete	m i t
metharbital	m ə θ ɑ ɹ b ə t ɔ l
metic	m ɛ t ə k
mexiletine	m ɛ k s ɪ l ə t i n
microzyma	m a ɪ k ɹ o ʊ z a ɪ m ə
milnacipran	m ɪ l n æ s ə p ɹ æ n
mimantean	m ɪ m æ n t i ə n
mime	m a ɪ m
ministerial	m ɪ n ə s t ɪ ɹ i ə l
minto	m ɪ n t o ʊ
