aare	ɑ ɹ ə
anglophilia	æ ŋ ɡ l o ʊ f ɪ l i ə
angolan	æ ŋ ɡ o ʊ l ə n
anguish	æ ŋ ɡ w ɪ ʃ
animalcule	æ n ɪ m æ l k j u l
animals	æ n ɪ m ə l z
animated	æ n ɪ m e ɪ t ɪ d
anlauts	a n l a ʊ t s
anneal	ə n i l
annette	ə n ɛ t
annually	æ n j u ə l i
anodyne	æ n ə d a ɪ n
anomaloscope	ə n ɑ m ə l o ʊ s k o ʊ p
anorexia	æ n ə ɹ ɛ k s i ə
anterior	æ n t ɪ ə r i ə r
anthology	æ n θ ɑ l ə d͡ʒ i
antioxidant	æ n t i ɔ k s ɪ d ə n t
antiparticle	æ n t i p ɑ ɹ t ɪ k ə l
antirrio	æ n t ɪ ɹ i o ʊ
anxious	æ ŋ k ʃ ə s
aorist	e ɪ ə ɹ ɪ s t
apamea	æ p ə m i ə
apartment	ə p ɑ ɹ t m ə n t
aperture	æ p ɚ t͡ʃ ɚ
aphetic	ə f ɛ t ɪ k
aphorism	æ f ə ɹ ɪ z m̩
apish	e ɪ p ɪ ʃ
apodeictic	a p ə d a ɪ k t ɪ k
apology	ə p ɔ l ə d͡ʒ i
appellative	ə p ɛ l ə t ɪ v
application	æ p l ə k e ɪ ʃ ə n
appointment	ə p ɔ ɪ n t m ɛ n t
apprehensive	æ p ɹ ɪ h ɛ n s ɪ v
appui	ə p w i
apraxia	ə p ɹ æ k s ɪ ə
aprication	æ p ɹ i k e ɪ ʃ ə n
aprium	e ɪ p ɹ i ə m
aprons	e ɪ p ɹ ə n z
aquabib	æ k w ə b ɪ b
arab	æ ɹ ə b
aracari	ɑ ɹ ə s ɑ ɹ i
arachnidism	ə ɹ æ k n ɪ d ɪ z m
aragon	æ ɹ ə ɡ ɑ n
arbuscle	ɑ b ʌ s ə l
arch	ɑ ɹ t͡ʃ
archaeastronomy	ɑ ɹ k i ə s t ɹ ɔ n ə m i
archelaus	ɑ ɹ k ə l e ɪ ə s
arctogaeal	ɑ ɹ k t ə d͡ʒ i ə
ardent	ɑ ɹ d ə n t
arduous	ɑ ɹ d͡ʒ u ə s
argon	ɑ ɹ ɡ ɔ n
arian	ɛ ɹ i ə n
arithmetician	ə ɹ ɪ θ m ə t ɪ ʃ ə n
arjun	ɑ ɹ d͡ʒ ʊ n
armament	ɑ ɹ m ə m ə n t
arnold	ɑ ɹ n ə l d
articles	ɑ ɹ t ɪ k ə l z
artillery	ɑ ɹ t ɪ l ə ɹ i
artless	ɑ ɹ t l ɪ s
ashley	æ ʃ l i
ashplant	æ ʃ p l æ n t
asphodel	æ s f ə d ɛ l
asplode	ə s p l o ʊ d
assent	ə s ɛ n t
assimilation	ə s ɪ m ə l e ɪ ʃ ə n
assisting	ə s ɪ s t ɪ ŋ
assort	ə s ɔ ɹ t
asterix	æ s t ə ɹ ɪ k s
asteroids	æ s t ə ɹ o ɪ d z
astonishment	ə s t ɑ n ɪ ʃ m ə n t
astral	æ s t ɹ ə l
astrogeometry	æ s t ɹ ə d͡ʒ i ɑ m ɛ t ɹ i
astrozoology	æ s t ɹ ə z o ʊ ɔ l ə d͡ʒ i
asylums	ə s a ɪ l ə m z
asymmetry	e ɪ s ɪ m ɪ t ɹ i
atheist	e ɪ θ i ɪ s t
atmosphere	æ t m ə s f ɪ ɹ
atom	a t ə m
attaching	ə t æ t͡ʃ ɪ ŋ
attacking	ə t æ k ɪ ŋ
attainted	ə t e ɪ n t ə d
attests	ə t ɛ s t s
aubergine	o ʊ b ɚ ʒ i n
audible	ɔ d ɪ b l̩
augean	ɔ d͡ʒ i ə n
augur	ɔ ɡ ɚ
augurs	ɔ ɡ ɚ z
augustan	ɔ ɡ ʌ s t ə n
austenite	ɔ s t ɪ n a ɪ t
austerity	ɔ s t ɛ ɹ ɪ t i
austrian	ɔ s t ɹ i ə n
aventurine	ə v ɛ n t͡ʃ ə ɹ ɪ n
averroes	ə v ɛ ɹ o ʊ i z
aviation	e ɪ v i e ɪ ʃ ə n
away	ə w e ɪ
awook	ə w ʊ k
axe	æ k s
axiom	æ k s i ə m
azalea	ə z e ɪ l i ə
azeri	ə z ɛ ɹ i
babber	b æ b ə ɹ
babes	b e ɪ b z
babies	b e ɪ b i z
backrest	b æ k ɹ e s t
backslang	b æ k s l æ ŋ
backstroke	b æ k s t ɹ o ʊ k
baconian	b ə k o ʊ n ɪ ə n
bactericide	b æ k t ɪ ə ɹ ɪ s a ɪ d
bacteriotherapy	b æ k t ɪ ə ɹ ɪ o ʊ θ e ɹ ə p i
bad	b æ d
badine	b ə d i n
badly	b æ d l i
baffound	b æ f a ʊ n d
bagel	b e ɪ ɡ l̩
baggage	b æ ɡ ɪ d͡ʒ
baggie	b æ ɡ i
baidu	b a ɪ d u
baikal	b a ɪ k ɑ l
baldmoney	b ɔ l d m ʌ n i
balearic	b æ l i æ ɹ ɪ k
baled	b e ɪ l d
bales	b e ɪ l z
ball	b ɔ l
ballcock	b ɔ l k ɔ k
ballet	b æ l e ɪ
ballsy	b ɔ l z i
baloney	b ə l o ʊ n i
balustrade	b æ l ə s t ɹ e ɪ d
bam	b æ m
bambooey	b æ m b u i
bamf	b æ m f
bandersnatch	b æ n d ə ɹ s n æ t͡ʃ
bangkok	b æ ŋ k ɔ k
banner	b æ n ɚ
baptism	b æ p t ɪ z ə m
barley	b ɑ ɹ l i
barnacle	b ɑ ɹ n ə k l̩
baryton	b æ ɹ ɪ t ɔ n
bashir	b ə ʃ ɪ ɹ
basins	b e ɪ s ɪ n z
bassoon	b ə s u n
bassooner	b ə s u n ə ɹ
batavia	b ə t e ɪ v i ə
batcrap	b æ t k ɹ æ p
batrachophagous	b æ t ɹ ə k ɔ f ə ɡ ə s
bavarois	b ɑ v ɚ w ɑ
bavaroy	b æ v ə ɹ ɔ ɪ
bayed	b e ɪ d
beads	b i d z
beam	b i m
beanbag	b i n b æ ɡ
beasts	b i s t s
beat	b i t
beaten	b i t ə n
beater	b i t ɚ
beath	b i ð
beating	b i t ɪ ŋ
beaujolais	b o ʊ ʒ ə l e ɪ
beaus	b o ʊ z
bedded	b ɛ d ɪ d
beech	b i t͡ʃ
beechmast	b i t͡ʃ m æ s t
beefsteak	b i f s t e ɪ k
beeline	b i l a ɪ n
beeping	b i p ɪ ŋ
beetroot	b i t ɹ u t
beggings	b ɛ ɡ ɪ ŋ z
begnaw	b ɪ n ɔ
beholden	b i h o ʊ l d ə n
beida	b e ɪ d a
bejuggle	b ɪ d͡ʒ ʌ ɡ ə l
belches	b ɛ l t͡ʃ ɪ z
beldame	b ɛ l d ə m
beluga	b ə l u ɡ ə
beneficence	b ə n ɛ f ɪ s ə n s
benevolence	b ə n ɛ v ə l ə n s
benidorm	b ɛ n ɪ d ɔ r m
benign	b ɪ n a ɪ n
berdash	b ə ɹ d æ ʃ
berg	b ɝ ɡ
bergamot	b ɝ ɡ ə m ɑ t
besague	b ɛ s ə ɡ j u
besalted	b ɪ s ɑ l t ɪ d
beseem	b ɪ s i m
besprenge	b ɪ s p ɹ ɛ n d͡ʒ
betides	b ɪ t a ɪ d z
bewitching	b ə w ɪ t͡ʃ ɪ ŋ
bexarotene	b ɛ k s æ ɹ ə t i n
bhopal	b o ʊ p ɑ l
bicarb	b a ɪ k ɑ ɹ b
biceps	b a ɪ s ɛ p s
biennial	b a ɪ ɛ n ɪ ə l
biff	b ɪ f
bifurcation	b a ɪ f ɚ k e ɪ ʃ ə n
bigot	b ɪ ɡ ə t
billions	b ɪ l j ə n z
bimetallic	b a ɪ m ɪ t æ l ɪ k
binal	b a ɪ n ə l
binomial	b a ɪ n o ʊ m i ə l
biological	b a ɪ ə l ɑ d͡ʒ ɪ k ə l
bipennated	b a ɪ p ɛ n e ɪ t ɪ d
birdishly	b ɝ d ɪ ʃ l i
birthplace	b ɝ θ p l e ɪ s
biscotti	b ɪ s k ɑ t i
bisexual	b a ɪ s ɛ k ʃ u ə l
bitty	b ɪ t i
blabbed	b l æ b d
blabs	b l æ b z
blackface	b l æ k f e ɪ s
blackout	b l æ k a ʊ t
blamed	b l e ɪ m d
blandishment	b l æ n d ɪ ʃ m ə n t
blankley	b l æ ŋ k l i
blaze	b l e ɪ z
blazoning	b l e ɪ z ə n ɪ ŋ
blench	b l ɛ n t͡ʃ
blend	b l ɛ n d
blending	b l ɛ n d ɪ ŋ
blighted	b l a ɪ t ɪ d
blighting	b l a ɪ t ɪ ŋ
blinding	b l a ɪ n d ɪ ŋ
blindingly	b l a ɪ n d ɪ ŋ l i
blinkard	b l ɪ ŋ k ə ɹ d
blister	b l ɪ s t ɚ
blocks	b l ɑ k s
blond	b l ɑ n d
blonds	b l ɑ n d z
bluetail	b l u t e ɪ l
bluff	b l ʌ f
bluish	b l u ɪ ʃ
blunting	b l ʌ n t ɪ ŋ
blyth	b l a ɪ ð
boaster	b o ʊ s t ɚ
boasting	b o ʊ s t ɪ ŋ
bodice	b ɑ d ɪ s
bogomile	b ɔ ɡ ə m a ɪ l
boko	b o ʊ k o ʊ
bolete	b o ʊ l i t
bolo	b o ʊ l o ʊ
bolted	b o ʊ l t ɪ d
bonapartism	b o ʊ n ə p ɑ ɹ t ɪ z ə m
bond	b ɑ n d
boobies	b u b i z
book	b ʊ k
booker	b ʊ k ɚ
bookshelf	b ʊ k ʃ ɛ l f
boon	b u n
borborigmus	b ɔ b ə ɹ ɪ ɡ m ə s
bosques	b ɔ s k e ɪ z
boughten	b ɔ t ə n
boundary	b a ʊ n d ə ɹ i
boundings	b a ʊ n d ɪ ŋ z
bourdon	b ʊ ə d ə n
bovine	b o ʊ v a ɪ n
bowmanship	b o ʊ m ə n ʃ ɪ p
boy	b ɔ ɪ
brainiac	b ɹ e ɪ n i æ k
braising	b ɹ e ɪ z ɪ ŋ
braked	b ɹ e ɪ k t
bramble	b ɹ æ m b ə l
branchial	b ɹ æ ŋ k i ə l
brangle	b ɹ æ ŋ ɡ ə l
brassica	b ɹ æ s ɪ k ə
brassiere	b ɹ ə z ɪ ɹ
braves	b ɹ e ɪ v z
bray	b ɹ e ɪ
bread	b ɹ ɛ d
breadbasket	b ɹ ɛ d b æ s k ɪ̈ t
breasty	b ɹ ɛ s t i
breathless	b ɹ ɛ θ l ə s
breaths	b ɹ ɛ θ s
bred	b ɹ ɛ d
breeding	b ɹ i d ɪ ŋ
breton	b ɹ ɛ t ə n
bribery	b ɹ a ɪ b ə ɹ i
bribing	b ɹ a ɪ b ɪ ŋ
brickie	b ɹ ɪ k i
bridezilla	b ɹ a ɪ d z ɪ l ə
bridgehead	b ɹ ɪ d͡ʒ h ɛ d
briefed	b ɹ i f t
brighten	b ɹ a ɪ t ə n
brightest	b ɹ a ɪ t ɪ s t
bringer	b ɹ ɪ ŋ ə ɹ
brisk	b ɹ ɪ s k
brooklyn	b ɹ ʊ k l ə n
broseph	b ɹ o ʊ s ə f
brow	b ɹ a ʊ
browbeat	b ɹ a ʊ b i t
browsing	b ɹ a ʊ z ɪ ŋ
bruce	b ɹ u s
brumby	b ɹ ʌ m b i
buckle	b ʌ k ə l
buffoon	b ə f u n
buffoonic	b ə f u n ɪ k
buhl	b u l
building	b ɪ l d ɪ ŋ
bulbs	b ʌ l b z
bulerias	b u l ə ɹ i ə s
bulldog	b ʊ l d ɔ ɡ
bullion	b ʊ l j ə n
bummer	b ʌ m ə ɹ
bumming	b ʌ m ɪ ŋ
bummy	b ʌ m i
buncha	b ʌ n t͡ʃ ə
bundle	b ʌ n d ə l
bungle	b ʌ ŋ ɡ ə l
bunting	b ʌ n t ɪ ŋ
bupkis	b ʌ p k ɪ s
burb	b ɝ b
burdock	b ɝ d ɑ k
bureaucracy	b j ʊ ɹ ɑ k ɹ ə s i
burgundian	b ɜ ɹ ɡ ʌ n d ɪ ə n
burial	b ɛ ɹ i ə l
burrito	b ə ɹ i t o ʊ
bushel	b ʊ ʃ ə l
bushes	b ʊ ʃ ɪ z
buss	b ʌ s
bussed	b ʌ s t
busted	b ʌ s t ə d
busticate	b ʌ s t ɪ k e ɪ t
butt	b ʌ t
butterbrot	b ʊ t ə ɹ b ɹ o ʊ t
butterfingered	b ʌ t ɚ f ɪ ŋ ɡ ɚ d
butterfish	b ʌ t ə ɹ f ɪ ʃ
buttocks	b ʌ t ə k s
byte	b a ɪ t
bytes	b a ɪ t s
cacciatore	k ɑ t͡ʃ ə t ɔ ɹ i
caddy	k æ d i
caelum	s i l ə m
caesarea	s i z ə ɹ i ə
caesaropapism	s i z ə ɹ o ʊ p e ɪ p ɪ z ə m
cahoots	k ə h u t s
caitiff	k e ɪ t ɪ f
calas	k ə l ɑ
calf	k æ f
cali	k æ l i
caliber	k æ l ɪ b ɚ
caligate	k æ l ɪ ɡ e ɪ t
calligraffiti	k ə l ɪ ɡ ɹ ə f i t i
caloyer	k ə l ɔ ɪ ə
calumniate	k ə l ʌ m n i e ɪ t
cambuslang	k æ m b ə s l æ ŋ
cameron	k æ m ə ɹ ə n
camo	k æ m o ʊ
camp	k æ m p
camping	k æ m p ɪ ŋ
campion	k æ m p i ə n
camps	k æ m p s
canaan	k e ɪ n ə n
canaanite	k e ɪ n ə n a ɪ t
canadia	k ə n e ɪ d i ə
cancer	k æ n s ɚ
cant	k æ n t
capability	k e ɪ p ə b ɪ l ə t i
capacitate	k ə p æ s ɪ t e ɪ t
capetonian	k e ɪ p t o ʊ n i ə n
capisce	k ə p i ʃ
capless	k æ p l ə s
capricornus	k æ p ɹ ɪ k ɔ ɹ n ə s
capsaicin	k æ p s e ɪ ə s ə n
capuchin	k æ p ə t͡ʃ ɪ n
car	k ɑ ɹ
carburetor	k ɑ ɹ b j ə ɹ e ɪ t ɚ
carcanet	k ɑ ɹ k ə n ɛ t
careen	k ə ɹ i n
carelessly	k ɛ ɹ l ə s l i
carer	k ɛ ɹ ɚ
caring	k ɛ ɹ ɪ ŋ
carinthian	k ə r ɪ n θ i ə n
carjack	k ɑ ɹ d͡ʒ æ k
carlisle	k ɑ ɹ l a ɪ l
carmagnole	k ɑ ɹ m ə n j o ʊ l
carpet	k ɑ ɹ p ə t
carson	k ɑ ɹ s ə n
carter	k ɑ ɹ t ɚ
cartesian	k ɑ ɹ t i ʒ ə n
catalysis	k ə t æ l ə s ɪ s
catastrophic	k æ t ə s t ɹ ɔ f ɪ k
catchment	k æ t͡ʃ m ə n t
categories	k æ t ə ɡ ɔ ɹ i z
catheter	k æ θ ɪ t̬ ɚ
catless	k æ t l ə s
cautiously	k ɔ ʃ ə s l i
cavalcade	k æ v ə l k e ɪ d
cavan	k æ v n̩
caveat	k æ v i ɑ t
cavitation	k æ v ɪ t e ɪ ʃ ə n
caws	k ɔ z
cayuga	k ə j u ɡ ə
cedar	s i d ɚ
ceilidhean	k e ɪ l i ə n
cellophane	s ɛ l ə f e ɪ n
celluloid	s ɛ l j ə l ɔ ɪ d
celtuce	s ɛ l t ə s
cent	s ɛ n t
ceqli	t͡ʃ ɛ ŋ l i
cerebration	s ɛ ɹ ɪ b ɹ e ɪ ʃ ə n
cervix	s ɝ v ɪ k s
cess	s ɛ s
cesspit	s ɛ s p ɪ t
chaconne	ʃ a k ɔ n
chaebol	t͡ʃ e ɪ b ʌ l
chaff	t͡ʃ æ f
chalcedon	k æ l s ɪ d ɑ n
chan	t͡ʃ æ n
chandelier	ʃ æ n d ə l ɪ ə ɹ
changing	t͡ʃ e ɪ n d͡ʒ ɪ ŋ
chaperone	ʃ æ p ə ɹ o ʊ n
chaplin	t͡ʃ æ p l ɪ n
chappy	t͡ʃ æ p i
chasm	k æ z ə m
checkback	t͡ʃ ɛ k b æ k
checkbox	t͡ʃ ɛ k b ɑ k s
checker	t͡ʃ ɛ k ɚ
cheddaring	t͡ʃ ɛ d ə ɹ ɪ ŋ
cheer	t͡ʃ ɪ ɹ
chemnitz	k ɛ m n ɪ t s
chen	t͡ʃ ɛ n
cher	ʃ ɛ ɹ
cherimoya	t͡ʃ ɛ ɹ ɪ m ɔ ɪ ə
cherine	ʃ ɪ ɹ i n
cheroot	t͡ʃ ə ɹ u t
cherty	t͡ʃ ɜ ɹ t i
chickenhawk	t͡ʃ ɪ k ɪ n h ɔ k
chickpea	t͡ʃ ɪ k p i
chiffon	ʃ ɪ f ɑ n
chilaquiles	t͡ʃ i l ə k i l e ɪ s
chilblain	t͡ʃ ɪ l b l e ɪ n
child	t͡ʃ a ɪ l d
childbed	t͡ʃ a ɪ l d b ɛ d
childrearing	t͡ʃ a ɪ l d ɹ ɪ ə ɹ ɪ ŋ
chills	t͡ʃ ɪ l z
chimings	t͡ʃ a ɪ m ɪ ŋ z
chin	t͡ʃ ɪ n
chinatown	t͡ʃ a ɪ n ə t a ʊ n
chinwag	t͡ʃ ɪ n w æ ɡ
chitinous	k a ɪ t ɪ n ə s
chlorine	k l ɔ ɹ i n
choenix	k i n ɪ k s
chomo	t͡ʃ o ʊ m o ʊ
chon	t͡ʃ ɑ n
chondrule	k ɔ n d ɹ u l
choose	t͡ʃ u z
chope	t͡ʃ o ʊ p
chopstix	t͡ʃ ɑ p s t ɪ k s
choral	k ɔ ɹ ə l
chord	k ɔ ɹ d
choroid	k ɔ ɹ ɔ ɪ d
chose	t͡ʃ o ʊ z
chott	ʃ ɑ t
choupique	ʃ u p i k
chowder	t͡ʃ a ʊ d ɚ
christ	k ɹ a ɪ s t
chucky	t͡ʃ ʌ k i
chumpy	t͡ʃ ʌ m p i
churl	t͡ʃ ɜ ɹ l
ciera	s i ɛ ɹ ə
cigs	s ɪ ɡ z
cilostazol	s ɪ l ɔ s t ə z ɔ l
cinchona	s ɪ ŋ k o ʊ n ə
cinderella	s ɪ n d ə ɹ ɛ l ə
circled	s ɜ ɹ k ə l d
circumscribe	s ɝ k ə m s k ɹ a ɪ b
cited	s a ɪ t ɪ d
civilized	s ɪ v ɪ l a ɪ z d
cladding	k l æ d ɪ ŋ
cladistically	k l ə d ɪ s t ɪ k ə l i
cladribine	k l æ d ɹ ɪ b i n
claire	k l ɛ ɹ
clamped	k l æ m p t
clancular	k l æ ŋ k j ʊ l ə ɹ
clapping	k l æ p ɪ ŋ
claps	k l æ p s
claudius	k l ɔ d i ə s
clause	k l ɔ z
clavichord	k l æ v ɪ k ɔ ɹ d
cleanliness	k l ɛ n l i n ə s
clematis	k l ɛ m ə t ɪ s
clevedon	k l i v d ə n
cleverer	k l ɛ v ɚ ɚ
cliff	k l ɪ f
clinostat	k l a ɪ n ə s t æ t
clip	k l ɪ p
clithrophobia	k l ɪ θ ɹ ə f o ʊ b i ə
clivus	k l a ɪ v ə s
clockwork	k l ɑ k w ɝ k
cloque	k l o ʊ k e ɪ
closeup	k l o ʊ s ʌ p
clouds	k l a ʊ d z
clowned	k l a ʊ n d
cloxacillin	k l ɑ k s ə s ɪ l ɪ n
cluck	k l ʌ k
clumping	k l ʌ m p ɪ ŋ
clumpy	k l ʌ m p i
clumsiness	k l ʌ m z i n ə s
clumsy	k l ʌ m z i
coagulatory	k o ʊ æ ɡ j ə l ə t ɔ ɹ i
coalie	k o ʊ l i
coals	k o ʊ l z
coarsen	k ɔ ɹ s ə n
coates	k o ʊ t s
cobblestone	k ɑ b l̩ s t o ʊ n
coccoidal	k ɔ k ɔ ɪ d ə l
codling	k ɔ d l ɪ ŋ
coeus	s i ə z
cohort	k o ʊ̯ h ɔ ɹ t
cohosh	k ə h ɔ ʃ
coiling	k ɔ ɪ l ɪ ŋ
coining	k ɔ ɪ n ɪ ŋ
coinings	k ɔ ɪ n ɪ ŋ z
colander	k ɑ l ə n d ə ɹ
coleford	k o ʊ l f ə ɹ d
collection	k ə l ɛ k ʃ ə n
collective	k ə l ɛ k t ɪ v
collet	k ɑ l ɪ t
colonnade	k ɔ l ə n e ɪ d
colossal	k ə l ɔ s ə l
combination	k ɑ m b ɪ n e ɪ ʃ ə n
combined	k ə m b a ɪ n d
combustion	k ə m b ʌ s t͡ʃ ə n
comedones	k ɑ m ɪ d o ʊ n i z
comic	k ɑ m ɪ k
commandant	k ɔ m ə n d æ n t
commits	k ə m ɪ t s
commixtion	k ə m ɪ k s t͡ʃ ə n
commonitive	k ə m ɔ n ɪ t ɪ v
compilation	k ɑ m p ɪ l e ɪ ʃ ə n
complained	k ə m p l e ɪ n d
complainings	k ə m p l e ɪ n ɪ ŋ z
complicate	k ɑ m p l ɪ k e ɪ t
complimentary	k ɑ m p l ɪ̈ m ɛ n t ə ɹ i
compote	k ɑ m p o ʊ t
computerette	k ə m p j u t ɚ ɹ ɛ t
concave	k ɔ ŋ k e ɪ v
conceded	k ə n s i d ɪ d
conceive	k ə n s i v
conciliate	k ə n s ɪ l i e ɪ t
conclave	k ɑ n k l e ɪ v
conclusion	k ə n k l u ʒ ə n
conditional	k ə n d ɪ ʃ ə n ə l
confab	k ə n f æ b
confiture	k ɔ n f ɪ t j ʊ ə ɹ
conflow	k ə n f l o ʊ
conformance	k ə n f ɔ m ə n s
confusion	k ə n f j u ʒ ə n
congeries	k ɑ n d͡ʒ ə ɹ i z
congo	k ɑ ŋ ɡ o ʊ
conniving	k ə n a ɪ v ɪ ŋ
connotation	k ɑ n ə t e ɪ ʃ ə n
conscript	k ɔ n s k ɹ ɪ p t
consecution	k ɔ n s ɪ k j u ʃ ə n
conservatory	k ə n s ɝ v ə t ɔ ɹ i
consopite	k ɔ n s ə p a ɪ t
conspersion	k ə n s p ɜ ɹ ʒ ə n
constraints	k ə n s t ɹ e ɪ n t s
construal	k ə n s t ɹ u ə l
contraband	k ɑ n t ɹ ə b æ n d
contracted	k ə n t ɹ æ k t ɪ d
contradictory	k ɑ n t ɹ ə d ɪ k t ə ɹ i
controls	k ə n t͡ʃ ɹ o ʊ l s
convenable	k ə n v i n ə b ə l
convex	k ɑ n v ɛ k s
conway	k ɔ n w e ɪ
cooled	k u l d
cootie	k u t i
copies	k ɑ p i z
coprecipitation	k o ʊ p ɹ ɪ s ɪ p ɪ t e ɪ ʃ ə n
copulative	k ɔ p j ʊ l ə t ɪ v
cords	k ɔ ɹ d z
corna	k ɔ ɹ n ə
corncrake	k ɔ r n k r e ɪ k
corny	k ɔ ɹ n i
corradiate	k o ʊ ɹ e ɪ d i e ɪ t
correctly	k ə ɹ ɛ k t l i
corroborate	k ə ɹ ɑ b ə ɹ e ɪ̯ t
corrugation	k ɔ r ə ɡ e ɪ ʃ ə n
corse	k ɔ ɹ s
