<|IND|>gen	ɡ ɛ n
<|IND|>penguatan	p ə ŋ u a t̚ a n
<|IND|>granat	ɡ r a . n a t̚
<|IND|>kegagalan	k ə . ɡ a . ɡ a l . a n
<|IND|>biro	b i . r o
<|IND|>tertinggal	t ə r t ɪ ŋ ɡ a l
<|IND|>parut	p a . r ʊ t
<|IND|>halusinasi	h a l u s i n a s i
<|IND|>tentu	t ə n t u
<|IND|>lama	l a . m a
<|IND|>staf	s t a f
<|IND|>uskup	u s . k ʊ p
<|IND|>swasta	s w a s t a
<|IND|>Callista	k a l i s t a
<|IND|>Finlandia	f ɪ n l a n d i a̯
<|IND|>juta	d͡ʒ u t a
<|IND|>aruna	a r u n a
<|IND|>bahaya	b a h a j a
<|IND|>PM	p e ɛ m
<|IND|>adaptif	a d a p . t ɪ f
<|IND|>benduan	b ə n . d u . a n
<|IND|>celapa	t͡ʃ ə . l a . p a
<|IND|>perintah	p ə r ɪ n t a h
<|IND|>ribu	r i b u
<|IND|>kompet	k ɔ m p ɛ t̚
<|IND|>marhabanan	m a r h a b a n a n
<|IND|>semangka	s ə . m a ŋ . k a
<|IND|>kopitiam	k o p i t i a m
<|IND|>lestari	l ə s . t a . r i
<|IND|>chindo	t͡ʃ i n d o
<|IND|>yubileum	j u b i l e ʊ m
<|IND|>hadiah	h a d i j a h
<|IND|>awet	a . w ɛ t
<|IND|>baftah	b a f t a h
<|IND|>tamat	t a m a t̚
<|IND|>mizab	m i z a p̚
<|IND|>jenasah	d͡ʒ ə n a s a h
<|IND|>aporia	a . p o . r i . a
<|IND|>aslosin	a s . l o . s ɪ n
<|IND|>syahbandar	ʃ a h . b a n . d a r
<|IND|>anggara	a ŋ ɡ a r a
<|IND|>kait	k a ɪ t̚
<|IND|>kembang	k ə m b a ŋ
<|IND|>resep	r ə s ɛ p
<|IND|>kilap	k i l a p̚
<|IND|>analitis	a n a l i t ɪ s
<|IND|>patriarkat	p a . t r i . a r . k a t̚
<|IND|>pap	p a p
<|IND|>mengabsen	m ə ŋ . a p . s e n
<|IND|>bausastra	b a . u . s a s . t r a
<|IND|>anyir	a ɲ ɪ r
<|IND|>terpal	t ə r p a l
<|IND|>darah	d a r a h
<|IND|>angsongar	a ŋ s o ŋ a r
<|IND|>belajar	b ə . l a . d͡ʒ a r
<|IND|>romansa	r o m a n s a
<|IND|>komisi	k o m i . s i
<|IND|>sabo	s a . b o
<|IND|>atan	a t a n
<|IND|>koneksi	k o n ɛ k s i
<|IND|>lanca	l a n . t͡ʃ a
<|IND|>anuhuai	a . n u . h u . a i̯
<|IND|>kurung	k u . r ʊ ŋ
<|IND|>paru	p ä . r u
<|IND|>sapa	s a . p a
<|IND|>sarung	s a r ʊ ŋ
<|IND|>puas	p u a s
<|IND|>dedak	d ə . d a k
<|IND|>rantau	r a n . t a u̯
<|IND|>pahala	p a . h a . l a
<|IND|>pekerjaan	p ə . k ə r . d ʒ a . ʔ a n
<|IND|>diferensial	d i . f e . r ɛ n . s i . a l
<|IND|>gravitasi	ɡ r a v i t a s i
<|IND|>hilang	h i l a ŋ
<|IND|>inset	i n s ɛ t
<|IND|>observasi	ɔ p̚ . s ə r . v a . s i
<|IND|>dana	d a . n a
<|IND|>magis	m a . ɡ ɪ s
<|IND|>abiseka	a b i . s e . k a
<|IND|>tempur	t ə m p ʊ r
<|IND|>terowongan	t ə r o w ɔ ŋ a n
<|IND|>semalem	s ə . m a . l ə m
<|IND|>KPR	k a . p e . ɛ r
<|IND|>gunseikan	ɡ u n . s e i . k a n
<|IND|>algoritmik	a l ɡ o r ɪ t̚ m ɪ k̚
<|IND|>prei	p r e i
<|IND|>kamuflase	k a m u f l a s ə
<|IND|>antunga	a n . t u . ŋ a
<|IND|>mangkat	m a ŋ k a t̚
<|IND|>anggong	a ŋ ɡ ɔ ŋ
<|IND|>sarasehan	s a . r a . s ɛ h . a n
<|IND|>meritokratis	m e . r i . t o . k r a . t ɪ s
<|IND|>antesis	a n t e s ɪ s
<|IND|>ikhlas	i x l a s
<|IND|>hasad	h a s a t̚
<|IND|>aksara	a k . s a . r a
<|IND|>uban	u . b a n
<|IND|>menyerahkan	m ə ɲ ə r a h k a n
<|IND|>vasokonstriksi	v a s o k ɔ n s t r ɪ k s i
<|IND|>makasih	m a . k a . s ɪ h
<|IND|>iktibar	ɪ ʔ t i b a r
<|IND|>merusak	m ə r u s a ʔ
<|IND|>gempa	ɡ ə m p a
<|IND|>dorongan	d ɔ r ɔ ŋ a n
<|IND|>terburuk	t ə r b u r ʊ k̚
<|IND|>apoking	a . p o . k ɪ ŋ
<|IND|>antardesa	a n t a r d ɛ s a
<|IND|>akatopi	a k a t o p i
<|IND|>angkasawan	a ŋ k a s a w a n
<|IND|>penerimaan	p ə . n ə . r i . m a . a n
<|IND|>mengumpamakan	m ə ŋ u m p a m a k a n
<|IND|>lapis	l a . p ɪ s
<|IND|>lebar	l e b a r
<|IND|>adat	a . d a t
<|IND|>pelacur	p ə . l a . t͡ʃ ʊ r
<|IND|>dasar	d a s a r
<|IND|>guna	ɡ u n a
<|IND|>roman	r o . m a n
<|IND|>aniaya	a n i . a . j a
<|IND|>penyesuaian	p ə ɲ ə s u a i̯ a n
<|IND|>ampul	a m . p ʊ l
<|IND|>adpis	a t̚ p ɪ s
<|IND|>erti	ə r . t i
<|IND|>kutang	k u . t a ŋ
<|IND|>sa	s a
<|IND|>joli	d͡ʒ o l i
<|IND|>resmi	r ə s . m i
<|IND|>takal	t a . k a l
<|IND|>takut	t a . k u t
<|IND|>sri	s ə r i
<|IND|>butana	b u . t a . n a
<|IND|>idap	ɪ d a p̚
<|IND|>pelarian	p ə . l a . r i . a n
<|IND|>surga	s ʊ r ɡ a
<|IND|>rames	r a . m ə s
<|IND|>sana	s a n a
<|IND|>pekan	p ə k a n
<|IND|>jang	j a ŋ
<|IND|>KTP	k a t ɛ p ɛ
<|IND|>kelar	k ə . l a r
<|IND|>krans	k r a n s
<|IND|>tabu	t a b u
<|IND|>elang	ə l a ŋ
<|IND|>ketahanan	k ə t a h a n a n
<|IND|>kardiovaskuler	k a r d i o v a s k u l ɛ r
<|IND|>kofte	k ɔ f t e
<|IND|>antok	a n t ɔ k̚
<|IND|>fatamorgana	f a t a m ɔ r ɡ a n a
<|IND|>belom	b ə . l o m
<|IND|>askese	a s k e s ə
<|IND|>BNPT	b e ɛ n p e t e
<|IND|>bumbung	b u m b u ŋ
<|IND|>angin	a ŋ i n
<|IND|>apen	a p ə n
<|IND|>ider	i d ə r
<|IND|>A	a
<|IND|>bobrok	b o . b r ɔ k
<|IND|>unggul	u ŋ ɡ ʊ l
<|IND|>jeneng	d͡ʒ ɛ . n ɛ ŋ
<|IND|>l	ɛ l
<|IND|>seremoni	s e . r e . m o . n i
<|IND|>kelambu	k ə l a m b u
<|IND|>angsang	a ŋ s a ŋ
<|IND|>silet	s i l ɛ t̚
<|IND|>mag	m ɑ h
<|IND|>babaun	b a . b a . ʊ n
<|IND|>bilateral	b i . l a . t ə . r a l
<|IND|>lokalisasi	l o k a l i s a s i
<|IND|>cakalang	t͡ʃ a . k a . l a ŋ
<|IND|>kers	k ɛ r s
<|IND|>Ahad	a h a t̚
<|IND|>serong	s ɛ r ɔ ŋ
<|IND|>lulusan	l u l ʊ s a n
<|IND|>datuk	d a t ʊ k̚
<|IND|>layang	l a . j a ŋ
<|IND|>udon	u . d o n
<|IND|>timpang	t ɪ m . p a ŋ
<|IND|>ganti	ɡ a n . t i
<|IND|>tenggelam	t ə ŋ ɡ ə l a m
<|IND|>majelis	m a d͡ʒ ə l ɪ s
<|IND|>merubah	m ə r u b a h
<|IND|>rembesan	r ə m b ə s a n
<|IND|>radius	r a d i ʊ s
<|IND|>berketombe	b ə r k ə t ɔ m b e
<|IND|>adorasi	a . d o . r a . s i
<|IND|>huruf	h u r ʊ f
<|IND|>toksin	t ɔ k . s ɪ n
<|IND|>termoregulasi	t ɛ r . m o . r e . ɡ u . l a . s i
<|IND|>khawatir	x a w a t ɪ r
<|IND|>bajaj	b a . d ʒ a i̯
<|IND|>tunang	t u . n a ŋ
<|IND|>pelatih	p ə l a t ɪ h
<|IND|>brahmana	b r a h m a n a
<|IND|>Turki	t u r k i
<|IND|>tiris	t i r i s
<|IND|>lensa	l ɛ n s a
<|IND|>kepada	k ə p a d a
<|IND|>binawah	b i n a w a h
<|IND|>mampu	m a m p u
<|IND|>penyederhanaan	p ə . ɲ ə . d ə r . h a . n a . a n
<|IND|>tadah	t a d a h
<|IND|>farsakh	f a r s a x
<|IND|>perunggu	p ə . r ʊ ŋ . ɡ u
<|IND|>duka	d u . k a
<|IND|>badare	b a . d a . r ə
<|IND|>hechting	h ɛ k̚ t ɪ ŋ
<|IND|>mangkuk	m a ŋ k ʊ k̚
<|IND|>mastautin	m a s t a u̯ t ɪ n
<|IND|>goban	ɡ o . b a n
<|IND|>kelab	k ə l a b
<|IND|>tajin	t a . d͡ʒ ɪ n
<|IND|>limit	l i m ɪ t̚
<|IND|>kitab	k i . t a p̚
<|IND|>arapota	a . r a . p o . t a
<|IND|>puja	p u . d͡ʒ a
<|IND|>itas	i t a s
<|IND|>riol	r i . ɔ l
<|IND|>gejala	ɡ ə . d͡ʒ a . l a
<|IND|>jasuke	d͡ʒ a s u k e
<|IND|>mahram	m a h r a m
<|IND|>KTSP	k a t e ɛ s p e
<|IND|>spesifik	s p ɛ s i f ɪ k̚
<|IND|>apek	a . p ɛ k
<|IND|>anggi	a ŋ ɡ i
<|IND|>ken	k ɛ n
<|IND|>baronsai	b a . r o n . s a i̯
<|IND|>bad	b a t̚
<|IND|>anoda	a . n o . d a
<|IND|>benar	b e . n a r
<|IND|>serdadu	s ə r d a d u
<|IND|>hibah	h i b a h
<|IND|>adempauze	a d ə m . p a u̯ . z ə
<|IND|>artropoda	a r t r o p o d a
<|IND|>syabas	ʃ a . b a s
<|IND|>gereja	ɡ ə r ɛ d͡ʒ a
<|IND|>makanan	m a k a . n a n
<|IND|>deforestasi	d e . f o . r ə s . t a . s i
<|IND|>kencana	k ə n . t͡ʃ a . n a
<|IND|>terung	t ə . r ʊ ŋ
<|IND|>baktau	b a k . t a ʊ̯
<|IND|>ijazah	ɪ d͡ʒ a z a h
<|IND|>bazar	b a . z a r
<|IND|>aplaus	a p . l a . u s
<|IND|>fasakh	f a s a ʔ
<|IND|>ancala	a n t͡ʃ a l a
<|IND|>Nyonya	ɲ o ɲ a
<|IND|>lobang	l o b a ŋ
<|IND|>toksikologi	t ɔ k . s i . k o . l o . ɡ i
<|IND|>kumulatif	k u m u l a t ɪ f
<|IND|>verano	v e r a n o
<|IND|>handal	h a n d a l
<|IND|>sehat	s ɛ h a t̚
<|IND|>x	ɛ k s
<|IND|>tensi	t ɛ n s i
<|IND|>ibukota	i . b u . k o . t a
<|IND|>sarkas	s a r k a s
<|IND|>kompi	k ɔ m p i
<|IND|>angsana	a ŋ s a n a
<|IND|>sabit	s a b ɪ t̚
<|IND|>pangkat	p a ŋ k a t̚
<|IND|>ayun	a j ʊ n
<|IND|>akademi	a k a . d e . m i
<|IND|>madrasah	m a d r a s a h
<|IND|>lues	l u . e s
<|IND|>bawang	b a w a ŋ
<|IND|>defleksi	d e . f l ɛ k . s i
<|IND|>jala	d͡ʒ a l a
<|IND|>biologis	b i o l o ɡ ɪ s
<|IND|>averoisme	a . v e . r o . ɪ s . m ə
<|IND|>mengoplos	m ə ŋ . o p . l o s
<|IND|>sumbu	s ʊ m . b u
<|IND|>ibadah	i . b a . d a h
<|IND|>delesi	d e . l e . s i
<|IND|>ananim	a n a n ɪ m
<|IND|>dongkrak	d ɔ ŋ k r a k̚
<|IND|>nirharapan	n i r h a r a p a n
<|IND|>akeo	a k e o
<|IND|>acar	a t͡ʃ a r
<|IND|>titinada	t i . t i . n a . d a
<|IND|>paus	p a ʊ s
<|IND|>penghancuran	p ə ŋ h a n t͡ʃ ʊ r a n
<|IND|>karnivora	k a r n i v o r a
<|IND|>samsek	s a m . s ə k
<|IND|>watas	w a t a s
<|IND|>deselerasi	d e s ɛ l ə r a s i
<|IND|>momentum	m o . m ɛ n . t ʊ m
<|IND|>tinggal	t ɪ ŋ ɡ a l
<|IND|>galak	ɡ a . l a k
<|IND|>tenggorokan	t̪ ə ŋ . ɡ o . r o . k ä n
<|IND|>mitos	m i t o s
<|IND|>palang	p a l a ŋ
<|IND|>karsa	k a r s a
<|IND|>etude	e t u d ɛ
<|IND|>mendiamkan	m ə n d i a m k a n
<|IND|>ketan	k ə t a n
<|IND|>taju	t a d͡ʒ u
<|IND|>kandela	k a n . d e . l a
<|IND|>penyelenggaraan	p ə . ɲ ə . l ə ŋ . ɡ a . r a . a n
<|IND|>debu	d ə b u
<|IND|>rogol	r ɔ . ɡ ɔ l
<|IND|>ragil	r a . ɡ ɪ l
<|IND|>gapura	ɡ a p u r a
<|IND|>judogi	d͡ʒ u . d o . ɡ i
<|IND|>gelak	ɡ ə l a k
<|IND|>Ibrani	i b r a n i
<|IND|>hara	h a . r a
<|IND|>tentang	t ə n t a ŋ
<|IND|>gagang	ɡ a . ɡ a ŋ
<|IND|>Jepang	d͡ʒ ə p a ŋ
<|IND|>PSK	p ɛ ɛ s k a
<|IND|>rujak	r u d͡ʒ a ʔ
<|IND|>ambyang	a m bʲ a ŋ
<|IND|>takar	t a k a r
<|IND|>bujangga	b u . d͡ʒ a ŋ . ɡ a
<|IND|>kuntit	k ʊ n t ɪ t̚
<|IND|>awo	a w o
<|IND|>insidental	ɪ n . s i . d ɛ n . t a l
<|IND|>grup	ɡ r ʊ p̚
<|IND|>punca	p ʊ n . t͡ʃ a
<|IND|>pedupaan	p ə d u p a a n
<|IND|>lasik	l a . s i k
<|IND|>ngab	ŋ a b
<|IND|>dom	d ɔ m
<|IND|>resistor	r e s ɪ s t ɔ r
<|IND|>degeneratif	d e ɡ e n ə r a t ɪ f
<|IND|>ꦢꦺꦱ	d e . s ɔ
<|IND|>edaran	e . d a r . a n
<|IND|>atmosferis	a t m ɔ s f ɛ r ɪ s
<|IND|>tebusan	t ə . b u . s a n
<|IND|>frekuensi	f r e k u ɛ n s i
<|IND|>cogan	t͡ʃ o . ɡ a n
<|IND|>seprai	s ə p . r a i
<|IND|>Malingsia	m ä l ɪ ŋ . s i a
<|IND|>absolusi	a b s o l u s i
<|IND|>gugur	ɡ u . ɡ ʊ r
<|IND|>defekasi	d e f e k a s i
<|IND|>beleran	b ɛ l ɛ r aː n
<|IND|>tahu	t a u
<|IND|>jawab	d͡ʒ a . w a p̚
<|IND|>BBLR	b e b e ɛ l ɛ r
<|IND|>blek	b l ɛ k
<|IND|>beli	b ə l i
<|IND|>mari	m a . r i
<|IND|>kelarutan	k ə . l a . r u . t a n
<|IND|>tengkujuh	t ə ŋ k u d͡ʒ ʊ h
<|IND|>berjibaku	b ə r . d͡ʒ i . b a . k u
<|IND|>perdikan	p ə r d i k a n
<|IND|>selak	s e . l a k
<|IND|>aforestasi	a f o r ɛ s t a s i
<|IND|>sela	s e . l a
<|IND|>PR	p ɛ . ɛ r
<|IND|>pengadaan	p ə ŋ . a d a . a n
<|IND|>badi	b a d i
<|IND|>Indonesia	i n . d o . n ɛ . s ɪ . j a
<|IND|>kabus	k a b ʊ s
<|IND|>adiksimba	a d ɪ k s ɪ m b a
<|IND|>kamikaze	k a m i k a z e
<|IND|>aliansi	a l i a n s i
<|IND|>berdarah	b ə r d a r a h
<|IND|>cilik	t͡ʃ i . l ɪ k
<|IND|>jentera	d͡ʒ ə n t ə r a
<|IND|>honji	h o n . d͡ʒ i
<|IND|>bukti	b u k . t i
<|IND|>dekomposisi	d e k ɔ m p o s i s i
<|IND|>kacung	k a t͡ʃ ʊ ŋ
<|IND|>jadwal	d͡ʒ a t̚ w a l
<|IND|>berpulang	b ə r p u l a ŋ
<|IND|>unik	u n i k
<|IND|>interferensi	ɪ n t ə r f ə r ɛ n s i
<|IND|>hidayah	h i d a j a h
<|IND|>takeyari	t a . k e . y a . r i
<|IND|>anakompo	a n a k ɔ m p o
<|IND|>segara	s ə ɡ a r a
<|IND|>kandil	k a n . d ɪ l
<|IND|>jawi	d͡ʒ a . w i
<|IND|>alokai	a l o k a i̯
<|IND|>soang	s o a̯ ŋ
<|IND|>nasi	n a s i
<|IND|>riskan	r i s . k a n
<|IND|>margasatwa	m a r . ɡ a . s a t . w a
<|IND|>asidulan	a s i . d u . l a n
<|IND|>kersen	k ɛ r s ə n
<|IND|>Aceh	a t͡ʃ e h
<|IND|>empati	ɛ m p a t i
<|IND|>klasikal	k l a s ɪ k . a l
<|IND|>penderita	p ə n d ə r i t a
<|IND|>titrasi	t i t r a s i
<|IND|>gaharu	ɡ a h a r u
<|IND|>uduk	u . d ʊ k
<|IND|>terkait	t ə r k a ɪ t̚
<|IND|>proses	p r o s ɛ s
<|IND|>ansai	a n . s a i̯
<|IND|>asmara	a s . m a . r a
<|IND|>astronaut	a s t r o n a u̯ t̚
<|IND|>batik	b a t ɪ k
<|IND|>aktivasi	a k̚ t i v a s i
<|IND|>pura	p u . r a
<|IND|>tablig	t a b l ɪ k̚
<|IND|>teorema	t e o r ɛ m a
<|IND|>sepur	s ə p u r
<|IND|>spesifisitas	s p e s i f i s i t a s
<|IND|>ingin	i . ŋ i n
<|IND|>tudung	t u . d ʊ ŋ
<|IND|>uber	u b ə r
<|IND|>semong	s ə m ɔ ŋ
<|IND|>perolehan	p ə r o l ɛ h . a n
<|IND|>antrap	a n t r a p̚
<|IND|>keputusasaan	k ə p u t u s a s a a n
<|IND|>Estonia	e s t o n i a̯
<|IND|>fotosel	f o t o s ɛ l
<|IND|>kertas	k ə r t a s
<|IND|>parpol	p a r . p o l
<|IND|>potongan	p ɔ t ɔ ŋ a n
<|IND|>losmen	l o s . m ɛ n
<|IND|>antarbahasa	a n t a r b a h a s a
<|IND|>mudra	m u d . r a
<|IND|>kirik	k i . r ɪ ʔ
<|IND|>Bulgaria	b ʊ l ɡ a r i a̯
<|IND|>ateisme	a t e ɪ s m ə
<|IND|>kapan	k a . p a n
<|IND|>aftab	a f t a p̚
<|IND|>aneka	a n ɛ . k a
<|IND|>fluks	f l ʊ k s
<|IND|>ketersediaan	k ə . t ə r . s ə . d i . a . a n
<|IND|>apang	a p a ŋ
<|IND|>tumbuh	t ʊ m b ʊ h
<|IND|>aktris	a k t r ɪ s
<|IND|>mengetatkan	m ə ŋ ə t a t̚ k a n
<|IND|>amoh	a m ɔ h
<|IND|>rancang	r a n . t͡ʃ a ŋ
<|IND|>seri	s e . r i
<|IND|>langau	l a ŋ a u̯
<|IND|>mewah	m ɛ w a h
<|IND|>anaheha	a n a h e h a
<|IND|>lengket	l ɛ ŋ k ɛ t̚
<|IND|>edisi	ɛ d i s i
<|IND|>pada	p a d a
<|IND|>rapat	r a p a t
<|IND|>memberhentikan	m ə m b ə r h ə n t i k a n
<|IND|>kering	k ə r ɪ ŋ
<|IND|>nanti	n a n . t i
<|IND|>babka	b a p . k a
<|IND|>piadah	p i a d a h
<|IND|>maljum	m a l d͡ʒ u m
<|IND|>dekat	d ə k a t
<|IND|>G	ɡ e
<|IND|>didik	d i d ɪ ʔ
<|IND|>homo	h o . m o
<|IND|>silsilah	s ɪ l s i l a h
<|IND|>jangankan	d͡ʒ a . ŋ a n . k a n
<|IND|>alutta	a l ʊ t t a
<|IND|>empu	ə m p u
<|IND|>anuitas	a . n u . i . t a s
<|IND|>influen	ɪ n f l u ɛ n
<|IND|>lengan	l ə . ŋ ä n
<|IND|>seprei	s ə p . r e i
<|IND|>emoji	e . m o . d͡ʒ i
<|IND|>bab	b a b
<|IND|>ambir	a m b ɪ r
<|IND|>rasuah	r a . s u . a h
<|IND|>ancaman	a n . t͡ʃ a . m a n
<|IND|>babad	b a b a t̚
<|IND|>indikator	ɪ n d i k a t ɔ r
<|IND|>sempurna	s ə m . p u r . n a
<|IND|>awam	a w a m
<|IND|>aboi	a . b o i̯
<|IND|>gabah	ɡ a b a h
<|IND|>alel	a . l ɛ l
<|IND|>puji	p u . d͡ʒ i
<|IND|>skor	s k o r
<|IND|>Ngawi	ŋ a w i
<|IND|>membranofon	m ɛ m b r a n o f ɔ n
<|IND|>kerbau	k ə r b a u̯
<|IND|>obi	o . b i
<|IND|>resorpsi	r e s ɔ r p s i
<|IND|>J	d͡ʒ e
<|IND|>resonansi	r e . s o . n a n . s i
<|IND|>pecutan	p ə t͡ʃ ʊ t a n
<|IND|>demografi	d e m o ɡ r a f i
<|IND|>anaye	a n a j ɛ
<|IND|>bayu	b a j u
<|IND|>ambiguitas	a m b i ɡ u i t a s
<|IND|>aplikatif	a p l i k a t ɪ f
<|IND|>blangko	b ə̆ l a ŋ k o
<|IND|>munsyi	m u n . ʃ i
<|IND|>fotoelektrisitas	f o t o ɛ l ɛ k̚ t r i s i t a s
<|IND|>pionir	p i o n ɪ r
<|IND|>maka	m a k a
<|IND|>andap	a n . d a p
<|IND|>suka	s u k a
<|IND|>maling	m a . l ɪ ŋ
<|IND|>dikau	d i k a u̯
<|IND|>anakia	a n a k i a̯
<|IND|>mesjid	m ə s d͡ʒ ɪ t̚
<|IND|>tasbih	t a s b ɪ h
<|IND|>badul	b a . d ʊ l
<|IND|>sumatif	s u . m a . t ɪ f
<|IND|>mustahik	m ʊ s t a h ɪ k̚
<|IND|>dewan	d ɛ w a n
<|IND|>manira	m a . n i . r a
<|IND|>asal	a . s a l
<|IND|>asid	a s ɪ t
<|IND|>audiometri	a u̯ . d i . o . m e . t r i
<|IND|>wafat	w a f a t̚
<|IND|>lada	l a d a
<|IND|>tuntut	t u n . t ʊ t
<|IND|>menggali	m ə ŋ . ɡ a . l i
<|IND|>kilang	k i l a ŋ
<|IND|>Maret	m a r ə t
<|IND|>E	e
<|IND|>hayati	h a . j a . t i
<|IND|>informasi	i n f ɔ r m a s i
<|IND|>menghadiri	m ə ŋ . h a . d i r . i
