aare	ɑ ɹ ə
bureaucracy	b j ʊ ɹ ɑ k ɹ ə s i
bushel	b ʊ ʃ ə l
busted	b ʌ s t ə d
busticate	b ʌ s t ɪ k e ɪ t
butt	b ʌ t
butterbrot	b ʊ t ə ɹ b ɹ o ʊ t
butterfingered	b ʌ t ɚ f ɪ ŋ ɡ ɚ d
butterfish	b ʌ t ə ɹ f ɪ ʃ
byte	b a ɪ t
cacciatore	k ɑ t͡ʃ ə t ɔ ɹ i
caddy	k æ d i
caelum	s i l ə m
caitiff	k e ɪ t ɪ f
calas	k ə l ɑ
cali	k æ l i
cambuslang	k æ m b ə s l æ ŋ
cameron	k æ m ə ɹ ə n
camo	k æ m o ʊ
camp	k æ m p
camping	k æ m p ɪ ŋ
camps	k æ m p s
cancer	k æ n s ɚ
cant	k æ n t
capability	k e ɪ p ə b ɪ l ə t i
capacitate	k ə p æ s ɪ t e ɪ t
capisce	k ə p i ʃ
capless	k æ p l ə s
capricornus	k æ p ɹ ɪ k ɔ ɹ n ə s
capuchin	k æ p ə t͡ʃ ɪ n
carburetor	k ɑ ɹ b j ə ɹ e ɪ t ɚ
carcanet	k ɑ ɹ k ə n ɛ t
careen	k ə ɹ i n
carelessly	k ɛ ɹ l ə s l i
carer	k ɛ ɹ ɚ
carinthian	k ə r ɪ n θ i ə n
carlisle	k ɑ ɹ l a ɪ l
carson	k ɑ ɹ s ə n
catastrophic	k æ t ə s t ɹ ɔ f ɪ k
catchment	k æ t͡ʃ m ə n t
catless	k æ t l ə s
cavalcade	k æ v ə l k e ɪ d
caveat	k æ v i ɑ t
caws	k ɔ z
cedar	s i d ɚ
ceilidhean	k e ɪ l i ə n
cellophane	s ɛ l ə f e ɪ n
celluloid	s ɛ l j ə l ɔ ɪ d
ceqli	t͡ʃ ɛ ŋ l i
cervix	s ɝ v ɪ k s
chaconne	ʃ a k ɔ n
changing	t͡ʃ e ɪ n d͡ʒ ɪ ŋ
chaplin	t͡ʃ æ p l ɪ n
chappy	t͡ʃ æ p i
chen	t͡ʃ ɛ n
cherimoya	t͡ʃ ɛ ɹ ɪ m ɔ ɪ ə
cherine	ʃ ɪ ɹ i n
cheroot	t͡ʃ ə ɹ u t
chickenhawk	t͡ʃ ɪ k ɪ n h ɔ k
child	t͡ʃ a ɪ l d
childbed	t͡ʃ a ɪ l d b ɛ d
childrearing	t͡ʃ a ɪ l d ɹ ɪ ə ɹ ɪ ŋ
chimings	t͡ʃ a ɪ m ɪ ŋ z
chin	t͡ʃ ɪ n
chinatown	t͡ʃ a ɪ n ə t a ʊ n
chitinous	k a ɪ t ɪ n ə s
choenix	k i n ɪ k s
chon	t͡ʃ ɑ n
chopstix	t͡ʃ ɑ p s t ɪ k s
choral	k ɔ ɹ ə l
chord	k ɔ ɹ d
chose	t͡ʃ o ʊ z
chott	ʃ ɑ t
choupique	ʃ u p i k
christ	k ɹ a ɪ s t
chucky	t͡ʃ ʌ k i
chumpy	t͡ʃ ʌ m p i
ciera	s i ɛ ɹ ə
civilized	s ɪ v ɪ l a ɪ z d
cladribine	k l æ d ɹ ɪ b i n
clamped	k l æ m p t
clapping	k l æ p ɪ ŋ
claps	k l æ p s
cleanliness	k l ɛ n l i n ə s
clevedon	k l i v d ə n
cleverer	k l ɛ v ɚ ɚ
clinostat	k l a ɪ n ə s t æ t
clip	k l ɪ p
clithrophobia	k l ɪ θ ɹ ə f o ʊ b i ə
clivus	k l a ɪ v ə s
clockwork	k l ɑ k w ɝ k
closeup	k l o ʊ s ʌ p
clouds	k l a ʊ d z
cluck	k l ʌ k
clumpy	k l ʌ m p i
clumsiness	k l ʌ m z i n ə s
coals	k o ʊ l z
coates	k o ʊ t s
coeus	s i ə z
cohort	k o ʊ̯ h ɔ ɹ t
colander	k ɑ l ə n d ə ɹ
coleford	k o ʊ l f ə ɹ d
collection	k ə l ɛ k ʃ ə n
collective	k ə l ɛ k t ɪ v
combination	k ɑ m b ɪ n e ɪ ʃ ə n
combined	k ə m b a ɪ n d
combustion	k ə m b ʌ s t͡ʃ ə n
comedones	k ɑ m ɪ d o ʊ n i z
commixtion	k ə m ɪ k s t͡ʃ ə n
compilation	k ɑ m p ɪ l e ɪ ʃ ə n
complicate	k ɑ m p l ɪ k e ɪ t
computerette	k ə m p j u t ɚ ɹ ɛ t
conceded	k ə n s i d ɪ d
conceive	k ə n s i v
conclusion	k ə n k l u ʒ ə n
confiture	k ɔ n f ɪ t j ʊ ə ɹ
conformance	k ə n f ɔ m ə n s
confusion	k ə n f j u ʒ ə n
congeries	k ɑ n d͡ʒ ə ɹ i z
congo	k ɑ ŋ ɡ o ʊ
connotation	k ɑ n ə t e ɪ ʃ ə n
consecution	k ɔ n s ɪ k j u ʃ ə n
conspersion	k ə n s p ɜ ɹ ʒ ə n
construal	k ə n s t ɹ u ə l
contraband	k ɑ n t ɹ ə b æ n d
contracted	k ə n t ɹ æ k t ɪ d
controls	k ə n t͡ʃ ɹ o ʊ l s
convenable	k ə n v i n ə b ə l
convex	k ɑ n v ɛ k s
conway	k ɔ n w e ɪ
corna	k ɔ ɹ n ə
corncrake	k ɔ r n k r e ɪ k
corny	k ɔ ɹ n i
corradiate	k o ʊ ɹ e ɪ d i e ɪ t
corrugation	k ɔ r ə ɡ e ɪ ʃ ə n
corse	k ɔ ɹ s
cosmogony	k ɔ z m ɔ ɡ ə n i
cosmopolis	k ɔ z m ɔ p ɔ l ɪ s
costamere	k ɑ s t ə m ɪ ɹ
costive	k ɑ s t ɪ v
cotulla	k ə t j u l ə
coulisse	k u l i s
counterplot	k a ʊ n t ɚ p l ɑ t
counterpoise	k a ʊ n t ə ɹ p ɔ ɪ z
countrywide	k ʌ n t ɹ i w a ɪ d
couple	k ʌ p ə l
courtship	k ɔ ɹ t͡ʃ ɪ p
cowan	k a ʊ ə n
cowrie	k a ʊ ɹ i
crane	k ɹ e ɪ n
cream	k ɹ i m
creator	k ɹ i e ɪ t ɚ
crewmember	k ɹ u m ɛ m b ɚ
cronut	k ɹ o ʊ n ʌ t
crossed	k ɹ ɔ s t
crotch	k ɹ ɑ t͡ʃ
cruisings	k ɹ u z ɪ ŋ z
crustings	k ɹ ʌ s t ɪ ŋ z
cruz	k ɹ u z
crystalline	k ɹ ɪ s t ə l a ɪ n
css	s i ɛ s ɛ s
cuds	k ʌ d z
culled	k ʌ l d
culls	k ʌ l z
cumulation	k j u m j ə l e ɪ ʃ ə n
cusps	k ʌ s p s
cycles	s a ɪ k ə l z
cylindrical	s ɪ l ɪ n d ɹ ɪ k ə l
cynganeddion	k ə ŋ ə n ɛ ð j ə n
cypriot	s ɪ p ɹ i ə t
cyprus	s a ɪ p ɹ ə s
cytonuclear	s a ɪ t o n u k l i ɚ
daddy	d æ d i
daftness	d æ f t n ə s
dalry	d æ l ɹ a ɪ
dames	d e ɪ m z
damsel	d æ m z ə l
dan	d æ n
danae	d æ n e ɪ i
danbo	d æ n b o ʊ
dapagliflozin	d æ p ə ɡ l ə f l o ʊ z ɪ n
darken	d ɑ ɹ k ə n
davis	d e ɪ v ɪ s
dawson	d ɔ s ə n
daylights	d e ɪ l a ɪ t s
dazy	d e ɪ z i
deaths	d ɛ θ s
debasement	d ɪ b e ɪ s m ə n t
december	d ɪ s ɛ m b ə ɹ
decim	d ɛ s ɪ m
declan	d ɛ k l ə n
dedovshchina	dʲ ɪ d ɐ f ɕː i n ə
deepest	d i p ɪ s t
defcon	d ɛ f k ɑ n
deictic	d a ɪ k t ɪ k
deirdre	d ɪ ɹ d ɹ ə
delam	d i l æ m
delavirdine	d ɛ l ə v ɪ ɹ d i n
deluxe	d ə l ʌ k s
demonstratable	d ɛ m ə n s t ɹ e ɪ t ə b l
denotes	d ɪ n o ʊ t s
dentiparous	d ɛ n t ɪ p ə ɹ ə s
deontic	d i ɔ n t ɪ k
derelict	d ɛ ɹ ə l ɪ k t
deride	d ɪ ɹ a ɪ d
despairing	d ɪ s p ɛ ɹ ɪ ŋ
detraction	d ɪ t ɹ æ k ʃ ə n
dexterous	d ɛ k s t ɹ ə s
dextrin	d ɛ k s t ɹ ɪ n
dezh	d ɛ ʒ
diathetic	d a ɪ ə θ ə t ɪ k
dicked	d ɪ k t
didst	d ɪ d s t
different	d ɪ f ə ɹ ə n t
difficulties	d ɪ f ɪ k ə l t i z
digger	d ɪ ɡ ɚ
dimmer	d ɪ m ə ɹ
dimp	d ɪ m p
dims	d ɪ m z
dinning	d ɪ n ɪ ŋ
diocese	d a ɪ ə s ɪ s
dirigent	d ɪ ɹ ɪ d͡ʒ ə n t
disadvantage	d ɪ s ə d v æ n t ɪ d͡ʒ
disaster	d ɪ z æ s t ɚ
discography	d ɪ s k ɑ ɡ ɹ ə f i
disdain	d ɪ s d e ɪ n
disinvite	d ɪ s ɪ n v a ɪ t
displease	d ɪ s p l i z
dissension	d ɪ s ɛ n ʃ ə n
distress	d ɪ s t ɹ ɛ s
distribution	d ɪ s t ɹ ə b j u ʃ ə n
ditchings	d ɪ t͡ʃ ɪ ŋ z
diver	d a ɪ̯ v ə ɹ
dixie	d ɪ k s i
doggedly	d ɔ ɡ ə d l i
dominance	d ɑ m ɪ n ə n s
dominic	d ɑ m ə n ɪ k
dormouse	d ɔ ɹ m a ʊ s
doug	d ʌ ɡ
downed	d a ʊ n d
drapery	d ɹ e ɪ p ə ɹ i
dreaded	d ɹ ɛ d ɪ d
dreadful	d ɹ ɛ d f ʊ l
dreamed	d ɹ i m d
drey	d ɹ e ɪ
drillings	d ɹ ɪ l ɪ ŋ z
dronabinol	d ɹ o ʊ n æ b ɪ n ɔ l
droved	d ɹ o ʊ v d
drown	d ɹ a ʊ n
drowsing	d ɹ a ʊ z ɪ ŋ
drupe	d ɹ u p
duffy	d ʌ f i
dumpling	d ʌ m p l ɪ ŋ
dumpster	d ʌ m p s t ɚ
dundee	d ʌ n d i
dweller	d w ɛ l ə ɹ
dyscrasia	d ɪ s k ɹ e ɪ z ɪ ə
dystopian	d ɪ s t o ʊ p i ə n
earnestly	ɝ n ɪ s t l i
earwig	ɪ ə ɹ w ɪ ɡ
ease	i z
easel	i z ə l
easter	i s t ɚ
eastleigh	i s t l i
ecchymose	ɛ k ɪ m o ʊ z
ed	ɛ d
edgy	ɛ d͡ʒ i
edifice	ɛ d ɪ f ɪ s
editings	ɛ d ɪ t ɪ ŋ z
educational	ɛ d͡ʒ ʊ k e ɪ ʃ ə n ə l
educe	ɪ d u s
ees	i z
eff	ɛ f
effervescent	ɛ f ɚ v ɛ s ə n t
egestion	i d͡ʒ ɛ s t͡ʃ ə n
eggar	ɛ ɡ ɚ
eggs	ɛ ɡ z
electrolyte	i l ɛ k t ɹ ɵ l a ɪ t
elks	ɛ l k s
elutriate	ɪ l u t ɹ ɪ e ɪ t
elvan	ɛ l v ə n
elven	ɛ l v ə n
elytron	ɛ l ɪ t ɹ ɔ n
embarrassing	ɪ m b æ ɹ ə s ɪ ŋ
embolalia	ɛ m b ə l e ɪ l i ə
embroidery	ɪ m b ɹ ɔ ɪ d ə ɹ i
emesa	ɛ m ə s ə
empathic	ɛ m p æ θ ɪ k
enamored	ɪ n æ m ə ɹ d
enaunter	ɪ n ɔ n t ə ɹ
endeavouring	ɪ n d ɛ v ə ɹ ɪ ŋ
endymion	ɛ n d ɪ m i ə n
engineering	ɛ n d͡ʒ ɪ n ɪ ə ɹ ɪ ŋ
ensconce	ɛ n s k ɑ n s
entrust	ɪ n t ɹ ʌ s t
entscheidungsproblem	ɛ n t͡ʃ ʌ ɪ d ʊ ŋ s p ɹ ɔ b l ə m
epaulement	e ɪ p o ʊ l m ɑ n t
epeolatry	ɛ p i ɔ l ə t ɹ i
epicness	ɛ p ɪ k n ə s
epinephrine	ɛ p ɪ n ɛ f ɹ ɪ n
episcopalian	ə p ɪ s k ə p e ɪ l i n̩
eradicate	ɪ ɹ æ d ɪ k e ɪ t
erlking	ɜ l k ɪ ŋ
esker	ɛ s k ɚ
esoterica	ɛ s ɵ t ɛ ɹ ɪ k ə
esotropia	ɛ s o ʊ t ɹ o ʊ p i ə
estivate	ɛ s t ɪ v e ɪ t
estriol	ɛ s t ɹ a ɪ ɔ l
ethiopian	i θ i o ʊ p i ə n
etymology	ɛ t ɪ m ɑ l ə d͡ʒ i
eunatremic	j u n ə t ɹ i m ɪ k
euouae	j u u i
euterpe	j u t ɝ p i
excave	ɛ k s k e ɪ v
excommune	ɛ k s k ə m j u n
exhausted	ɪ ɡ z ɔ s t ɪ d
exporting	ɪ k s p ɔ ɹ t ɪ ŋ
extensive	ɛ k s t ɛ n s ɪ v
facer	f e ɪ s ə r
facile	f æ s ə l
fain	f e ɪ n
falsify	f ɔ l s ɪ f a ɪ
famished	f æ m ɪ ʃ t
farthest	f ɑ ɹ ð ɪ s t
fat	f æ t
fatso	f æ t s o ʊ
fatuous	f æ t͡ʃ u ə s
faults	f ɔ l t s
favors	f e ɪ v ɚ z
feck	f ɛ k
feckful	f ɛ k f ə l
feeb	f i b
felicity	f ə l ɪ s ɪ t i
fellah	f ɛ l ə
femaleness	f i m e ɪ l n ɪ s
fence	f ɛ n s
fettle	f ɛ t ə l
feudalist	f j u d ə l ɪ s t
filly	f ɪ l i
films	f ɪ l m z
fir	f ɝ
firebrand	f a ɪ ɚ b ɹ æ n d
fit	f ɪ t
fixable	f ɪ k s ə b ə l
fizzle	f ɪ z ə l
flab	f l æ b
flailing	f l e ɪ l ɪ ŋ
flashbulb	f l æ ʃ b ʌ l b
flat	f l æ t
flaubertian	f l o ʊ b ɝ t i ə n
flaxen	f l æ k s ə n
fleak	f l i k
fleming	f l ɛ m ɪ ŋ
flotilla	f l o ʊ t ɪ l ə
fluorophilic	f l ɔ ɹ ə f ɪ l ɪ k
foils	f ɔ ɪ l z
fool	f u l
footfall	f ʊ t f ɔ l
foreignness	f ɔ ɹ ə n n ə s
forint	f ɔ ɹ ɪ n t
forming	f ɔ ɹ m ɪ ŋ
foulard	f u l ɑ ɹ d
foxily	f ɔ k s ɪ l i
freaking	f ɹ i k ɪ ŋ
freck	f ɹ ɛ k
freedive	f r i d a ɪ v
freelance	f ɹ i l æ n s
freester	f ɹ i s t ɚ
fremd	f ɹ ɛ m d
fresher	f ɹ ɛ ʃ ɚ
frieze	f ɹ i z
frigging	f ɹ ɪ ɡ ɪ ŋ
fritz	f ɹ ɪ t s
frizzle	f ɹ ɪ z ə l
frosh	f ɹ ɔ ʃ
frowny	f ɹ a ʊ n i
frustrate	f ɹ ʌ s t ɹ e ɪ t
fucus	f j u k ə s
functions	f ʌ ŋ k ʃ ə n z
fussbutton	f ʌ s b ʌ t n̩
fuster	f ʌ s t ɚ
future	f j u t͡ʃ ɚ
gabe	ɡ e ɪ b
gangnam	ɡ ɑ ŋ n ɑ m
gasbag	ɡ æ s b æ ɡ
gast	ɡ æ s t
gavel	ɡ æ v ə l
geek	ɡ i k
generosity	d͡ʒ ɛ n ə ɹ ɑ s ə t i
genet	d͡ʒ ɛ n ɪ t
genocidaire	d͡ʒ ɛ n ə s i d ɛ ɹ
genteel	d͡ʒ ɛ n t i l
genus	d͡ʒ i n ə s
geodetics	d͡ʒ i o ʊ d ɛ t ɪ k s
geography	d͡ʒ i ɑ ɡ ɹ ə f i
geophyte	d͡ʒ i o ʊ f a ɪ t
gern	ɡ ɜ ɹ n
gibberish	d͡ʒ ɪ b ə ɹ ɪ ʃ
gigged	ɡ ɪ ɡ d
gilded	ɡ ɪ l d ɪ d
ginsu	ɡ ɪ n s u
gloomy	ɡ l u m i
gloria	ɡ l ɔ ɹ i ə
gmat	d͡ʒ i m æ t
gnaw	n ɔ
goguryeo	ɡ o ʊ ɡ ʊ ə ɹ i o ʊ
gout	ɡ a ʊ t
gowns	ɡ a ʊ n z
graft	ɡ ɹ æ f t
greengage	ɡ ɹ i n ɡ e ɪ d͡ʒ
gridlocks	ɡ ɹ ɪ d l ɔ k s
grieved	ɡ ɹ i v d
grinches	ɡ ɹ ɪ n t͡ʃ ɪ z
grip	ɡ ɹ ɪ p
grist	ɡ ɹ ɪ s t
grit	ɡ ɹ ɪ t
grogram	ɡ ɹ ɑ ɡ ɹ ə m
groupie	ɡ ɹ u p i
growlf	ɡ ɹ a ʊ l f
gruff	ɡ ɹ ʌ f
gruffish	ɡ ɹ ʌ f ɪ ʃ
guardiancy	ɡ ɑ ɹ d i ə n s i
guerdon	ɡ ɝ d ə n
guinevere	ɡ w ɪ n ɪ v ɪ ɹ
gums	ɡ ʌ m z
gunate	ɡ u n e ɪ t
gunship	ɡ ʌ n ʃ ɪ p
gushes	ɡ ʌ ʃ ɪ z
gusla	ɡ ʊ s l ə
guzheng	ɡ u d͡ʒ ʌ ŋ
habilitation	h ə b ɪ l ɪ t e ɪ ʃ ə n
hacienda	h ɑ s i ɛ n d ə
hades	h e ɪ d i z
haggard	h æ ɡ ɚ d
haida	h a ɪ d ə
haiti	h e ɪ t i
hallucination	h ə l u s ɪ n e ɪ ʃ ə n
hanger	h æ ŋ ɡ ɚ
hardened	h ɑ ɹ d n̩ d
harmonize	h ɑ ɹ m ə n a ɪ z
hath	h æ θ
haupt	h a ʊ p t
havoc	h æ v ə k
hazelwood	h e ɪ z ə l w ʊ d
headdesk	h ɛ d d ɛ s k
headwind	h ɛ d w ɪ n d
heaty	h i t i
hebdomadal	h ɛ b d ɔ m ə d ə l
hebrides	h ɛ b ɹ ə d i z
hecatonicosachoron	h ɛ k ə t ɔ n a ɪ k o ʊ s i k o ʊ ɹ ɔ n
heles	h i l z
hellacious	h ɛ l e ɪ ʃ ə s
helladic	h ə l æ d ɪ k
hellenicity	h ɛ l ɛ n ɪ s ə t i
hemocytometer	h i m o ʊ s a ɪ t ɑ m ɪ ɾ ɚ
hep	h ɛ p
heriot	h ɛ ɹ ɪ ə t
hertz	h ɝ t s
hicked	h ɪ k t
hicking	h ɪ k ɪ ŋ
hickman	h ɪ k m ə n
hieroglyphic	h a ɪ ɹ ə ɡ l ɪ f ɪ k
higham	h a ɪ ə m
highfather	h a ɪ f ɑ ð ɚ
hijackers	h a ɪ d͡ʒ æ k ə ɹ s
hippyish	h ɪ p i ɪ ʃ
hirs	h ɪ ɹ z
hisses	h ɪ s ɪ z
hittite	h ɪ t a ɪ t
hobbyist	h ɑ b i ɪ s t
homer	h o ʊ m ə ɹ
homodimer	h o ʊ m o ʊ d a ɪ m ɚ
honeyed	h ʌ n i d
hooted	h u t ɪ d
hornbeam	h ɔ ɹ n b i m
hornbill	h ɔ ɹ n b ɪ l
horologion	ɔ ɹ ə l ɔ j ɔ n
houthi	h u θ i
hov	e ɪ t͡ʃ o ʊ v i
huboon	h j u b u n
hulks	h ʌ l k s
humbert	h ʌ m b ə ɹ t
hunnic	h ʌ n ɪ k
hutt	h ʌ t
hydaspes	h a ɪ d æ s p i z
hydrocodone	h a ɪ d ɹ o ʊ k o ʊ d o ʊ n
hyllus	h ɪ l ə s
hyp	h ɪ p
hyperemotional	h a ɪ p ə ɹ i m o ʊ ʃ ə n ə l
hyperplasia	h a ɪ p ɚ p l e ɪ ʒ ə
hyrax	h a ɪ ɹ æ k s
ibisbill	a ɪ b ɪ s b ɪ l
ibotenic	i b o ʊ t ɛ n ɪ k
