aare	ɑ ɹ ə
beholden	b i h o ʊ l d ə n
beida	b e ɪ d a
bejuggle	b ɪ d͡ʒ ʌ ɡ ə l
belches	b ɛ l t͡ʃ ɪ z
beluga	b ə l u ɡ ə
benevolence	b ə n ɛ v ə l ə n s
benign	b ɪ n a ɪ n
berg	b ɝ ɡ
bergamot	b ɝ ɡ ə m ɑ t
besalted	b ɪ s ɑ l t ɪ d
besprenge	b ɪ s p ɹ ɛ n d͡ʒ
bewitching	b ə w ɪ t͡ʃ ɪ ŋ
bhopal	b o ʊ p ɑ l
biceps	b a ɪ s ɛ p s
biennial	b a ɪ ɛ n ɪ ə l
biff	b ɪ f
bigot	b ɪ ɡ ə t
bimetallic	b a ɪ m ɪ t æ l ɪ k
binal	b a ɪ n ə l
binomial	b a ɪ n o ʊ m i ə l
biological	b a ɪ ə l ɑ d͡ʒ ɪ k ə l
bipennated	b a ɪ p ɛ n e ɪ t ɪ d
birdishly	b ɝ d ɪ ʃ l i
biscotti	b ɪ s k ɑ t i
bitty	b ɪ t i
blabs	b l æ b z
blackface	b l æ k f e ɪ s
blackout	b l æ k a ʊ t
blamed	b l e ɪ m d
blazoning	b l e ɪ z ə n ɪ ŋ
blend	b l ɛ n d
blending	b l ɛ n d ɪ ŋ
blighted	b l a ɪ t ɪ d
blighting	b l a ɪ t ɪ ŋ
blinding	b l a ɪ n d ɪ ŋ
blinkard	b l ɪ ŋ k ə ɹ d
blister	b l ɪ s t ɚ
blocks	b l ɑ k s
blond	b l ɑ n d
bluish	b l u ɪ ʃ
blunting	b l ʌ n t ɪ ŋ
blyth	b l a ɪ ð
boaster	b o ʊ s t ɚ
boasting	b o ʊ s t ɪ ŋ
bodice	b ɑ d ɪ s
bogomile	b ɔ ɡ ə m a ɪ l
boko	b o ʊ k o ʊ
bolete	b o ʊ l i t
bolo	b o ʊ l o ʊ
bonapartism	b o ʊ n ə p ɑ ɹ t ɪ z ə m
bond	b ɑ n d
boobies	b u b i z
bookshelf	b ʊ k ʃ ɛ l f
boon	b u n
bosques	b ɔ s k e ɪ z
boughten	b ɔ t ə n
boundings	b a ʊ n d ɪ ŋ z
bourdon	b ʊ ə d ə n
bovine	b o ʊ v a ɪ n
boy	b ɔ ɪ
braising	b ɹ e ɪ z ɪ ŋ
braked	b ɹ e ɪ k t
bramble	b ɹ æ m b ə l
branchial	b ɹ æ ŋ k i ə l
brangle	b ɹ æ ŋ ɡ ə l
brassiere	b ɹ ə z ɪ ɹ
braves	b ɹ e ɪ v z
bread	b ɹ ɛ d
breadbasket	b ɹ ɛ d b æ s k ɪ̈ t
breasty	b ɹ ɛ s t i
breaths	b ɹ ɛ θ s
bred	b ɹ ɛ d
breeding	b ɹ i d ɪ ŋ
breton	b ɹ ɛ t ə n
bribing	b ɹ a ɪ b ɪ ŋ
brickie	b ɹ ɪ k i
bridezilla	b ɹ a ɪ d z ɪ l ə
bridgehead	b ɹ ɪ d͡ʒ h ɛ d
briefed	b ɹ i f t
brighten	b ɹ a ɪ t ə n
brightest	b ɹ a ɪ t ɪ s t
bringer	b ɹ ɪ ŋ ə ɹ
brisk	b ɹ ɪ s k
broseph	b ɹ o ʊ s ə f
brow	b ɹ a ʊ
browsing	b ɹ a ʊ z ɪ ŋ
brumby	b ɹ ʌ m b i
buckle	b ʌ k ə l
buffoonic	b ə f u n ɪ k
buhl	b u l
building	b ɪ l d ɪ ŋ
bulbs	b ʌ l b z
bulldog	b ʊ l d ɔ ɡ
bullion	b ʊ l j ə n
bummer	b ʌ m ə ɹ
bumming	b ʌ m ɪ ŋ
bummy	b ʌ m i
bundle	b ʌ n d ə l
bungle	b ʌ ŋ ɡ ə l
bunting	b ʌ n t ɪ ŋ
bupkis	b ʌ p k ɪ s
burb	b ɝ b
burdock	b ɝ d ɑ k
bureaucracy	b j ʊ ɹ ɑ k ɹ ə s i
burgundian	b ɜ ɹ ɡ ʌ n d ɪ ə n
burial	b ɛ ɹ i ə l
bushel	b ʊ ʃ ə l
busted	b ʌ s t ə d
busticate	b ʌ s t ɪ k e ɪ t
butt	b ʌ t
butterbrot	b ʊ t ə ɹ b ɹ o ʊ t
butterfingered	b ʌ t ɚ f ɪ ŋ ɡ ɚ d
butterfish	b ʌ t ə ɹ f ɪ ʃ
byte	b a ɪ t
bytes	b a ɪ t s
cacciatore	k ɑ t͡ʃ ə t ɔ ɹ i
caddy	k æ d i
caelum	s i l ə m
caesarea	s i z ə ɹ i ə
caesaropapism	s i z ə ɹ o ʊ p e ɪ p ɪ z ə m
caitiff	k e ɪ t ɪ f
calas	k ə l ɑ
cali	k æ l i
calligraffiti	k ə l ɪ ɡ ɹ ə f i t i
calumniate	k ə l ʌ m n i e ɪ t
cambuslang	k æ m b ə s l æ ŋ
cameron	k æ m ə ɹ ə n
camo	k æ m o ʊ
camp	k æ m p
camping	k æ m p ɪ ŋ
camps	k æ m p s
canaan	k e ɪ n ə n
canaanite	k e ɪ n ə n a ɪ t
canadia	k ə n e ɪ d i ə
cancer	k æ n s ɚ
cant	k æ n t
capability	k e ɪ p ə b ɪ l ə t i
capacitate	k ə p æ s ɪ t e ɪ t
capetonian	k e ɪ p t o ʊ n i ə n
capisce	k ə p i ʃ
capless	k æ p l ə s
capricornus	k æ p ɹ ɪ k ɔ ɹ n ə s
capsaicin	k æ p s e ɪ ə s ə n
capuchin	k æ p ə t͡ʃ ɪ n
carburetor	k ɑ ɹ b j ə ɹ e ɪ t ɚ
carcanet	k ɑ ɹ k ə n ɛ t
careen	k ə ɹ i n
carelessly	k ɛ ɹ l ə s l i
carer	k ɛ ɹ ɚ
caring	k ɛ ɹ ɪ ŋ
carinthian	k ə r ɪ n θ i ə n
carlisle	k ɑ ɹ l a ɪ l
carmagnole	k ɑ ɹ m ə n j o ʊ l
carson	k ɑ ɹ s ə n
carter	k ɑ ɹ t ɚ
cartesian	k ɑ ɹ t i ʒ ə n
catastrophic	k æ t ə s t ɹ ɔ f ɪ k
catchment	k æ t͡ʃ m ə n t
catless	k æ t l ə s
cautiously	k ɔ ʃ ə s l i
cavalcade	k æ v ə l k e ɪ d
cavan	k æ v n̩
caveat	k æ v i ɑ t
caws	k ɔ z
cayuga	k ə j u ɡ ə
cedar	s i d ɚ
ceilidhean	k e ɪ l i ə n
cellophane	s ɛ l ə f e ɪ n
celluloid	s ɛ l j ə l ɔ ɪ d
celtuce	s ɛ l t ə s
cent	s ɛ n t
ceqli	t͡ʃ ɛ ŋ l i
cervix	s ɝ v ɪ k s
cesspit	s ɛ s p ɪ t
chaconne	ʃ a k ɔ n
chalcedon	k æ l s ɪ d ɑ n
changing	t͡ʃ e ɪ n d͡ʒ ɪ ŋ
chaplin	t͡ʃ æ p l ɪ n
chappy	t͡ʃ æ p i
cheddaring	t͡ʃ ɛ d ə ɹ ɪ ŋ
cheer	t͡ʃ ɪ ɹ
chemnitz	k ɛ m n ɪ t s
chen	t͡ʃ ɛ n
cherimoya	t͡ʃ ɛ ɹ ɪ m ɔ ɪ ə
cherine	ʃ ɪ ɹ i n
cheroot	t͡ʃ ə ɹ u t
chickenhawk	t͡ʃ ɪ k ɪ n h ɔ k
chickpea	t͡ʃ ɪ k p i
child	t͡ʃ a ɪ l d
childbed	t͡ʃ a ɪ l d b ɛ d
childrearing	t͡ʃ a ɪ l d ɹ ɪ ə ɹ ɪ ŋ
chills	t͡ʃ ɪ l z
chimings	t͡ʃ a ɪ m ɪ ŋ z
chin	t͡ʃ ɪ n
chinatown	t͡ʃ a ɪ n ə t a ʊ n
chitinous	k a ɪ t ɪ n ə s
chlorine	k l ɔ ɹ i n
choenix	k i n ɪ k s
chon	t͡ʃ ɑ n
chondrule	k ɔ n d ɹ u l
chopstix	t͡ʃ ɑ p s t ɪ k s
choral	k ɔ ɹ ə l
chord	k ɔ ɹ d
chose	t͡ʃ o ʊ z
chott	ʃ ɑ t
choupique	ʃ u p i k
chowder	t͡ʃ a ʊ d ɚ
christ	k ɹ a ɪ s t
chucky	t͡ʃ ʌ k i
chumpy	t͡ʃ ʌ m p i
ciera	s i ɛ ɹ ə
cinchona	s ɪ ŋ k o ʊ n ə
cinderella	s ɪ n d ə ɹ ɛ l ə
cited	s a ɪ t ɪ d
civilized	s ɪ v ɪ l a ɪ z d
cladding	k l æ d ɪ ŋ
cladribine	k l æ d ɹ ɪ b i n
claire	k l ɛ ɹ
clamped	k l æ m p t
clapping	k l æ p ɪ ŋ
claps	k l æ p s
clause	k l ɔ z
clavichord	k l æ v ɪ k ɔ ɹ d
cleanliness	k l ɛ n l i n ə s
clevedon	k l i v d ə n
cleverer	k l ɛ v ɚ ɚ
cliff	k l ɪ f
clinostat	k l a ɪ n ə s t æ t
clip	k l ɪ p
clithrophobia	k l ɪ θ ɹ ə f o ʊ b i ə
clivus	k l a ɪ v ə s
clockwork	k l ɑ k w ɝ k
closeup	k l o ʊ s ʌ p
clouds	k l a ʊ d z
cloxacillin	k l ɑ k s ə s ɪ l ɪ n
cluck	k l ʌ k
clumpy	k l ʌ m p i
clumsiness	k l ʌ m z i n ə s
clumsy	k l ʌ m z i
coagulatory	k o ʊ æ ɡ j ə l ə t ɔ ɹ i
coals	k o ʊ l z
coates	k o ʊ t s
codling	k ɔ d l ɪ ŋ
coeus	s i ə z
cohort	k o ʊ̯ h ɔ ɹ t
cohosh	k ə h ɔ ʃ
colander	k ɑ l ə n d ə ɹ
coleford	k o ʊ l f ə ɹ d
collection	k ə l ɛ k ʃ ə n
collective	k ə l ɛ k t ɪ v
colossal	k ə l ɔ s ə l
combination	k ɑ m b ɪ n e ɪ ʃ ə n
combined	k ə m b a ɪ n d
combustion	k ə m b ʌ s t͡ʃ ə n
comedones	k ɑ m ɪ d o ʊ n i z
commits	k ə m ɪ t s
commixtion	k ə m ɪ k s t͡ʃ ə n
compilation	k ɑ m p ɪ l e ɪ ʃ ə n
complicate	k ɑ m p l ɪ k e ɪ t
complimentary	k ɑ m p l ɪ̈ m ɛ n t ə ɹ i
compote	k ɑ m p o ʊ t
computerette	k ə m p j u t ɚ ɹ ɛ t
concave	k ɔ ŋ k e ɪ v
conceded	k ə n s i d ɪ d
conceive	k ə n s i v
conciliate	k ə n s ɪ l i e ɪ t
conclave	k ɑ n k l e ɪ v
conclusion	k ə n k l u ʒ ə n
conditional	k ə n d ɪ ʃ ə n ə l
confab	k ə n f æ b
confiture	k ɔ n f ɪ t j ʊ ə ɹ
conformance	k ə n f ɔ m ə n s
confusion	k ə n f j u ʒ ə n
congeries	k ɑ n d͡ʒ ə ɹ i z
congo	k ɑ ŋ ɡ o ʊ
connotation	k ɑ n ə t e ɪ ʃ ə n
conscript	k ɔ n s k ɹ ɪ p t
consecution	k ɔ n s ɪ k j u ʃ ə n
conservatory	k ə n s ɝ v ə t ɔ ɹ i
consopite	k ɔ n s ə p a ɪ t
conspersion	k ə n s p ɜ ɹ ʒ ə n
constraints	k ə n s t ɹ e ɪ n t s
construal	k ə n s t ɹ u ə l
contraband	k ɑ n t ɹ ə b æ n d
contracted	k ə n t ɹ æ k t ɪ d
controls	k ə n t͡ʃ ɹ o ʊ l s
convenable	k ə n v i n ə b ə l
convex	k ɑ n v ɛ k s
conway	k ɔ n w e ɪ
cooled	k u l d
copies	k ɑ p i z
copulative	k ɔ p j ʊ l ə t ɪ v
cords	k ɔ ɹ d z
corna	k ɔ ɹ n ə
corncrake	k ɔ r n k r e ɪ k
corny	k ɔ ɹ n i
corradiate	k o ʊ ɹ e ɪ d i e ɪ t
correctly	k ə ɹ ɛ k t l i
corroborate	k ə ɹ ɑ b ə ɹ e ɪ̯ t
corrugation	k ɔ r ə ɡ e ɪ ʃ ə n
corse	k ɔ ɹ s
cortisone	k ɔ ɹ t ɪ s o ʊ n
corunna	k ə ɹ ʌ n ə
cosmogony	k ɔ z m ɔ ɡ ə n i
cosmopolis	k ɔ z m ɔ p ɔ l ɪ s
costamere	k ɑ s t ə m ɪ ɹ
costive	k ɑ s t ɪ v
cotulla	k ə t j u l ə
coulisse	k u l i s
counterintuitive	k a ʊ n t ə ɹ ɪ n t u ɪ t ɪ v
counterplot	k a ʊ n t ɚ p l ɑ t
counterpoise	k a ʊ n t ə ɹ p ɔ ɪ z
countrywide	k ʌ n t ɹ i w a ɪ d
couple	k ʌ p ə l
courtship	k ɔ ɹ t͡ʃ ɪ p
cowan	k a ʊ ə n
cowered	k a ʊ ɚ d
cowrie	k a ʊ ɹ i
cozenage	k ʌ z ə n ɪ d͡ʒ
crane	k ɹ e ɪ n
crare	k ɹ ɛ ɹ
craze	k ɹ e ɪ z
creaked	k ɹ i k t
cream	k ɹ i m
creator	k ɹ i e ɪ t ɚ
credibility	k ɹ ɛ d ə b ɪ ɫ ɪ t i
creolization	k ɹ i ə ʊ̆ l a ɪ z e ɪ ʃ ə̆ n
crewmember	k ɹ u m ɛ m b ɚ
criminalistic	k ɹ ɪ m ɪ n ə l ɪ s t ɪ k
cringed	k ɹ ɪ n d͡ʒ d
cronut	k ɹ o ʊ n ʌ t
crossed	k ɹ ɔ s t
crotch	k ɹ ɑ t͡ʃ
cruisings	k ɹ u z ɪ ŋ z
crustings	k ɹ ʌ s t ɪ ŋ z
cruz	k ɹ u z
crystalline	k ɹ ɪ s t ə l a ɪ n
css	s i ɛ s ɛ s
cuds	k ʌ d z
cued	k j u d
culled	k ʌ l d
culls	k ʌ l z
cumbernauld	k ʌ m b ə ɹ n ɔ l d
cumulation	k j u m j ə l e ɪ ʃ ə n
cusps	k ʌ s p s
cycles	s a ɪ k ə l z
cylindrical	s ɪ l ɪ n d ɹ ɪ k ə l
cynganeddion	k ə ŋ ə n ɛ ð j ə n
cypriot	s ɪ p ɹ i ə t
cyprus	s a ɪ p ɹ ə s
cytonuclear	s a ɪ t o n u k l i ɚ
daddy	d æ d i
daftness	d æ f t n ə s
dalry	d æ l ɹ a ɪ
dames	d e ɪ m z
damsel	d æ m z ə l
dan	d æ n
danae	d æ n e ɪ i
danbo	d æ n b o ʊ
dapagliflozin	d æ p ə ɡ l ə f l o ʊ z ɪ n
darken	d ɑ ɹ k ə n
davis	d e ɪ v ɪ s
dawk	d ɔ k
dawson	d ɔ s ə n
daylights	d e ɪ l a ɪ t s
dazy	d e ɪ z i
deaths	d ɛ θ s
debasement	d ɪ b e ɪ s m ə n t
decadent	d ɛ k ə d ə n t
december	d ɪ s ɛ m b ə ɹ
decim	d ɛ s ɪ m
declan	d ɛ k l ə n
dedovshchina	dʲ ɪ d ɐ f ɕː i n ə
deepest	d i p ɪ s t
defcon	d ɛ f k ɑ n
dehymenization	d i h a ɪ m ə n a ɪ z e ɪ ʃ ə n
deictic	d a ɪ k t ɪ k
deirdre	d ɪ ɹ d ɹ ə
delam	d i l æ m
delavirdine	d ɛ l ə v ɪ ɹ d i n
deluxe	d ə l ʌ k s
demonstratable	d ɛ m ə n s t ɹ e ɪ t ə b l
demurral	d ɪ m ɝ ə l
denotes	d ɪ n o ʊ t s
dentiparous	d ɛ n t ɪ p ə ɹ ə s
deontic	d i ɔ n t ɪ k
departed	d ɪ p ɑ ɹ t ɪ d
depress	d ɪ p ɹ ɛ s
derelict	d ɛ ɹ ə l ɪ k t
deride	d ɪ ɹ a ɪ d
dernful	d ɜ ɹ n f ə l
deshler	d ɛ ʃ l ə ɹ
desiccation	d ɛ s ɪ k e ɪ ʃ ə n
desires	d ɪ z a ɪ ɹ z
desmond	d ɛ z m ə n d
despairing	d ɪ s p ɛ ɹ ɪ ŋ
detraction	d ɪ t ɹ æ k ʃ ə n
devious	d i v i ə s
devote	d ɪ v o ʊ t
dexterous	d ɛ k s t ɹ ə s
dextrin	d ɛ k s t ɹ ɪ n
dezh	d ɛ ʒ
dialogical	d a ɪ ə l ɑ d͡ʒ ɪ k ə ɫ
diathetic	d a ɪ ə θ ə t ɪ k
diatom	d a ɪ ə t ɑ m
dicked	d ɪ k t
dictionary	d ɪ k ʃ ə n ɛ ɹ i
didst	d ɪ d s t
diedre	d ɪ ə d r i
dietitian	d a ɪ ə t ɪ ʃ ə n
difenoxin	d a ɪ f ə n ɑ k s ɪ n
different	d ɪ f ə ɹ ə n t
difficulties	d ɪ f ɪ k ə l t i z
digger	d ɪ ɡ ɚ
dilapidation	d ə l æ p ə d e ɪ ʃ ə n
diltiazem	d ɪ l t a ɪ ə z ɛ m
dimmer	d ɪ m ə ɹ
dimp	d ɪ m p
dims	d ɪ m z
dinning	d ɪ n ɪ ŋ
dinton	d ɪ n t ə n
diocese	d a ɪ ə s ɪ s
diploe	d ɪ p l o ʊ i
dirigent	d ɪ ɹ ɪ d͡ʒ ə n t
disadvantage	d ɪ s ə d v æ n t ɪ d͡ʒ
disaster	d ɪ z æ s t ɚ
discernibly	d ɪ s ɜ ɹ n ɪ b l i
discerning	d ɪ s ɝ n i ŋ
disco	d ɪ s k o ʊ
discography	d ɪ s k ɑ ɡ ɹ ə f i
disconnection	d ɪ s k ə n ɛ k ʃ ə n
discretionary	d ɪ s k ɹ ɛ ʃ ə n ɛ ɹ i
disdain	d ɪ s d e ɪ n
disenfranchisement	d ɪ s ɪ n f ɹ æ n t͡ʃ a ɪ z m ə n t
disinhibit	d ɪ s ɪ n h ɪ b ɪ t
disinvite	d ɪ s ɪ n v a ɪ t
disparadise	d ɪ s p æ ɹ ə d a ɪ s
displease	d ɪ s p l i z
dissension	d ɪ s ɛ n ʃ ə n
distress	d ɪ s t ɹ ɛ s
distribution	d ɪ s t ɹ ə b j u ʃ ə n
ditchings	d ɪ t͡ʃ ɪ ŋ z
diver	d a ɪ̯ v ə ɹ
dixie	d ɪ k s i
djibouti	d͡ʒ ɪ b u t i
doggedly	d ɔ ɡ ə d l i
dogie	d o ʊ ɡ i
doily	d ɔ ɪ l i
doldrum	d ɑ l d ɹ ə m
dominance	d ɑ m ɪ n ə n s
dominic	d ɑ m ə n ɪ k
dormouse	d ɔ ɹ m a ʊ s
doubly	d ʌ b l i
doug	d ʌ ɡ
downed	d a ʊ n d
downgrade	d a ʊ n ɡ ɹ e ɪ d
drapery	d ɹ e ɪ p ə ɹ i
dreaded	d ɹ ɛ d ɪ d
dreadful	d ɹ ɛ d f ʊ l
dreamed	d ɹ i m d
dreamtime	d ɹ i m t a ɪ m
drey	d ɹ e ɪ
drillings	d ɹ ɪ l ɪ ŋ z
dronabinol	d ɹ o ʊ n æ b ɪ n ɔ l
droshky	d ɹ ɔ ʃ k i
drostanolone	d ɹ ɑ s t æ n ə l o ʊ n
droved	d ɹ o ʊ v d
drown	d ɹ a ʊ n
drowsing	d ɹ a ʊ z ɪ ŋ
droxicam	d ɹ ɔ k s ɪ k æ m
drupe	d ɹ u p
dubonnet	d j u b ə n e ɪ
duffy	d ʌ f i
dumbwaiter	d ʌ m w e ɪ t ə ɹ
dumpling	d ʌ m p l ɪ ŋ
dumpster	d ʌ m p s t ɚ
dundee	d ʌ n d i
dungan	d ʊ ŋ ɡ ɑ n
dustin	d ʌ s t ɪ n
dweller	d w ɛ l ə ɹ
dyscrasia	d ɪ s k ɹ e ɪ z ɪ ə
dystopian	d ɪ s t o ʊ p i ə n
dyun	dʲ ʊ n
earnestly	ɝ n ɪ s t l i
earwig	ɪ ə ɹ w ɪ ɡ
ease	i z
