অঁকোল	ɔ k o l
অরণ্য	ɔ ɾ o nː o
অর্থাৎ	ɔ r t̪ʰ a t̪
অর্পিতা	ɔ ɹ p i t̪ a
অশনি	ɔ ʃ o n i
অশিক্ষিত	ɔ ʃ i kʰː i t̪ o
অশোত	ɔ ʃ o t
অসুস্থ	ɔ ʃ u s tʰ ɔ
অহরহ	ɔ ɦ ɔ ɾ ɔ ɦ ɔ
আঁই	ã i
আঁস	a ʃ
আংশিক	a ŋ ʃ i k
আইজ	a i z
আইজকাইল	a i z k a i l
আইজকো	a i z k ɔ
আইজ্যা	a i d͡ʑ d͡ʑ a
আখবার	a kʰ b a ɹ
আগুন	a ɡ u n
আগ্রাবাদ	a ɡ ɾ a b a d
আজ	a d ʒ
আজব	a d ʒ o b
আঞ্চলিক	a n t ʃ ɔ l i k
আঞ্চলিকতা	a n t ʃ ɔ l i k ɔ t̪ a
আডা	a d̺ a
আঢ়	a ɾ
আণ্ডা	a ɳ ɖ a
আতকা	a t̪ k a
আতশ	a t̪ o ʃ
আদমশুমার	ɑ d̪ ɔ m ʃ u m ɑ ɾ
আদেশ	ɑ d̪ e ʃ
আন্তর্জাতিক	a n t̪ ɔ ɹ d ʑ a t̪ i k
আন্তর্জাল	ɑ n t̪ ɔ ɾ d͡ʒ ɑ l
আন্ধাইর	a n d̪ʱ a i ɾ
আপনাকে	a p n a k e
আপনাদের	a p n a d̪ e ɹ
আপনে	a p n e
আপা	a p a
আবহাওয়া	a b o h a w a
আবির	ä b i ɾ
আবেগ	a b e ɡ
আব্বু	a b b u
আমড়া	a m ɽ a
আমরার	a m ɾ a ɾ
আমলকী	a m l o k i
আমাগর	a m a ɡ ɔ ɾ
আমাদের	ɑ m ɑ d e r
আমার	ɑː m ɑ ɹ
আম্মে	a m m e
আরজুমান্দ	a ɹ d ʑ u m a n
আর্জি	a ɹ d ʑ i
আর্তব	ɑ ɾ t̪ ɔ b
আলাপ	a l a p
আলেম	a l e m
আলো	a l o
আলোকরশ্মি	a l o k r o ʃ m i
আশোত	a ʃ o t
আষ্ট	a ʃ t̺ ɔ
আসাম	a s a m
আসিফ	a s i f
আস্তে	a s t̪ e
ইংরেজি	i ŋ ɹ e d ʑ i
ইকুয়েডর	i k u̯ e d ɔ ɹ
ইগা	i ɡ a
ইটানো	i ʈ a n o
ইডা	i d̺ a
ইন	i n
ইনকিলাব	i n k i l ɑ b
ইনকিলাবি	i n k i l ɑ b i
ইনশাআল্লাহ্	i n ʃ a a l l aʱ
ইন্দু	i n d̪ u
ইয়ান	i a n
ইলিশ	i l i ʃ
ইস্পাত	i ʃ p a t̪
ঈগল	i ɡ ɔ l
উক্কা	u k k a
উঙ্ঘানো	u ŋ ɡʱ a n ɔ
উদিন	u d̪ i n
উন্দূর	u n d̪ u ɾ
উপাসনা	u p a ʃ ɔ n a
উয়াস	u a ʃ
উল্কা	u l k ɐ
উল্কি	u l k i
উষ্ণ	u ʃ n o
উৎপত্তি	u t̪ p ɔ t̪ː i
ঋতু	ɾ i t̪ u
ঋষি	r i ʃ i
একজিবিশন	e k d͡ʒ i b i ʃ ɔ n
এখন	æ kʰ ɔ n
এখনও	æ kʰ ɔ n o
এটি	e t i
এবে	e b e
এলাকা	e l a k a
এস্রাজ	e s ɹ a d ʑ
ঐতিহাসিক	o i t̪ i ɦ ɑ s i k
ওঠা	o ʈʰ a
ওদের	ɔː ð ɛ ɹ
ওফাত	o f a t̪
ওয়াদা	w a d a
কক্সবাজার	k ɔ k ʃ ɔ b a d ʑ a ɹ
কখন	k ɒ kʰ ɒ n
কখনও	k ɔ kʰ ɔ n o
কঠিন	k ɔ ʈʰ i n
কত	k ɔ t̪ o
কদম	k ɔ d ɔ m
কদাচিৎ	k ɔ d̪ ɑ t͡ʃ i t̪
কদু	k o d̪ u
কনকচাঁপা	k ɔ n ɔ k c ã p a
কন্ডম	k ɔ n ɖ ɔ m
কফ	k ɔ pʰ
কবুতর	k o b u t̪ ɔ r
কবে	k oː b ɛ
কমলা	k ɔ m l a
কয়	k ɔ e̯
কয়ফল	k ɒ e̯ ɸ ɒ l
কয়লাখনি	k ɔ e̯ l ɑ kʰ ɔ n i
কয়েদ	k ɔ e̯ e d̪
কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
করঞ্জ	k ɔ ɾ ɔ n ɟ ɔ
করবী	k ɔ ɾ ɔ b i
কলা	k ɔ l a
কষ্ট	k ɔ ʃ t o
কাঁঠাল	k a ʈʰ a l
কাঁসা	k ã s a
কাইল	k a i l
কাউন	k a u̯ n
কাক	k a k
কাজাখস্তান	k a z a kʰ s t̪ a n
কাটুয়া	k a t̺ u a
কাঠ	k a ʈʰ
কাণ্টা	k a n t̺ a
কাণ্টামি	k a n t̺ a m i
কাথিয়াবাড়	k a t̪ʰ i a b a ɹ
কানাডা	k a n a ɖ a
কান্দইন্যা	k a n d̪ ɔ i n n a
কান্দাইন্যা	k a n d̪ a i n n a
কামরাঙ্গা	k a m ɾ a ŋ ɡ a
কামানো	k a m a n o
কামুক	k a m u k
কারখানা	k a r kʰ a n a
কারণ	k a r o n
কারিগর	k a r i ɡ ɔ r
কালা	k a l a
কাহই	k a h ɔ i
কিংবা	k i ŋ b ɑ
কিচ্ছা	k i t ʃ t ʃʰ a
কিতা	k i t̪ a
কিতাব	k i t a b
কিনইন্যা	k i n ɔ i n n a
কিনার	k i n a r
কুউ	k u̯ u
কুকুর	k u k u ɾ
কুঞ্জলতা	k u n ɟ ɔ l ɔ t a
কুম	k u m
কুয়াশা	k u a ʃ a
কুসুম	k u ʃ u m
কুস্তুন্তুনিয়া	k u s t̪ u n t̪ u n i̯ a
কেগা	k e ɡ a
কেডা	k ɛ d̺ a
কেন	k ɛ n oː
কেলা	k ɛ l a
কোমর	k ɔ m ɔ ɹ
কৌলিক	k o u̯ l i k
ক্যা	k ɛ
ক্যান্ডি	k æ n ɖ i
ক্ষত্রিয়	kʰ o t̪ ɹ i̯ o
ক্ষমাহীন	kʰ ɔ m a ɦ i n
কৎবেল	k ɔ t b e l
খয়ের	kʰ ɔ e ɾ
খরগোশ	kʰ ɔ r ɡ o ʃ
খরচ	kʰ ɔ ɾ o t ʃ
খাতির	kʰ a t̪ i ɾ
খানকি	kʰ a ŋ k i
খানা	kʰ a n a
খারাপ	kʰ a ɾ a p
খারাব	kʰ a ɹ a b
খালি	kʰ a l i
খালী	kʰ a l i
খুজুটিপাড়া	kʰ u d͡ʒ u ʈ̟ i p ɑ ɽ̟ ɑ
খুব	kʰ u b
খূব	kʰ u b
খেজুর	kʰ e d ʒ u r
খেয়াল	kʰ e a l
খেলা	kʱ æ l a
গঙ্গোপাধ্যায়	ɡ ɔ ŋ ɡ o p a d̪ʱː a e̯
গণ্ডার	ɡ ɔ n ɖ a r
গন্ধতৃণ	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
গন্ধভাদাল	ɡ ɔ n dʱ ɔ bʱ a d a l
গর্দান	ɡ ɔ ɾ d̪ a n
গল্প	ɡ ɔ l p o
গাঁইড়া	ɡ a i ɾ a
গাইড়া	ɡ a i ɾ a
গাড়ি	ɡ a ɽ i
গুফা	ɡ u pʰ ɑ
গুম	ɡ u m
গুমোট	ɡ u m o t
গুম্ফা	ɡ u m pʰ ɑ
গেরাম	ɡ e ɾ ɑ m
গোফা	ɡ o pʰ ɑ
গোয়া	ɡ o̯ a
গোরু	ɡ o ɹ u
গোশ	ɡ o ʃ
গৌতম	ɡ o u t̪ ɔ m
গ্রাম	ɡ ɾ ɑ m
গ্রেফতার	ɡ ɾ e f t̪ a ɾ
ঘণ্টা	ɡʱ ɔ n t a
ঘর	ɡʱ ɔ ɾ
ঘষা	ɡʱ ɔ ʃ a
ঘাড়	ɡʱ a ɽ
ঘোঙ্গা	ɡʱ o ŋ ɡ ä
ঘোড়া	ɡʱ o ɽ a
ঘোষ	ɡʱ o ʃ
চড়া	t ɕ ɔ ɹ a
চম্পা	t ɕ ɔ m p a
চর্বি	t ʃ o r b i
চশমা	t ʃ ɔ ʃ m a
চাউল	c a u̯ l
চাকমা	t͡ʃ ɐ k m ɐ
চাকরী	t ɕ a k ɹ i
চাটগাঁ	t ɕ a t ɡ a
চাটা	t ʃ a ʈ a
চামচ	t ɕ a m o t ɕ
চামচড়া	s a m s ɔ ɾ a
চালতা	c a l t a
চালানো	t ʃ a l a n o
চিংড়ি	t͡ʃ i ŋ r i
চিঠি	t ɕ i tʰ i
চিন্তা	t ʃ i n t̪ a
চিলমচি	t ʃ i l ɔ m t ʃ i
চুদা	t͡ʃ u d̪ ɑ
চুম্বন	t ʃ u m b ɔ n
চুরি	t͡ʃ u r i
চুরুট	t͡ʃ u ɾ u ʈ̟
চেয়ার	t͡ʃ e ä ɾ
চেয়ে	t͡ʃ e j e
চোখ	t ʃ o kʰ
ছা	t ɕʰ a
ছাত্র	t ʃʰ a t̪ ɾ o
ছিটমহল	t ʃʰ i ʈ m ɔ ɦ ɔ l
ছেচল্লিশ	t ɕʰ e t ɕ ɔ lː i ʃ
জন্মদিন	d ʒ ɔ n m o d̪ i n
জন্যে	d ʒ ɔ nː e
জবাই	d ʒ ɔ b a i
জমি	d ʒ o m i
জমিন	d ʒ o m i n
জাভা	d ʒ a bʰ a
জামা	d ʒ a m a
জামিন	z a m i n
জায়গা	d ʒ a e̯ ɡ a
জাহাজ	d ʑ a ɦ a d ʑ
জিগানো	z i ɡ a n ɔ
জিনিস	d ʒ i n i ʃ
জির্ভা	z i ɾ bʱ a
জেঠ	z ɛ t̺ʰ
জোরে	d ʑ o ɹ e
ঝাড়খণ্ড	d ʑʱ a ɹ ɔ kʰ ɔ n d o
ঝাল	ɟʱ a l
ঝিঙা	ɟʱ i ŋ a
ঝিঙ্গা	ɟʱ i ŋ ɡ a
টমটম	t ɔ m t ɔ m
টলা	t̺ ɒ l a
টিকট	ʈ̟ i k ɔ ʈ̟
টিকিট	ʈ̟ i k i ʈ̟
টুপি	ʈ u p i
টেঙ্গা	t̺ ɛ ŋ ɡ a
টেহা	t̺ ɛ ɦ a
ট্যাক্সি	ʈ æ k s i
ঠাঁঁই	ʈʰ ã i
ঠাঁই	ʈʰ ã i
ঠিক	tʰ i k
ডগ	d̺ ɒ ɡ
ডাক্তার	ɖ a k t̪ a ɾ
ডাঙর	d a ŋ ɔ ɾ
ডিম	d i m
ডুরিয়ান	ɖ̟ u ɾ i ɑ n
ডেহা	d̺ ɛ ɦ a
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
তটিনী	t o ʈ i n i
তড়িৎ	t̪ ɔ ɽ i t̪
তবুও	t̪ ɔ b u o
তবে	t̪ ɔ b e
তল্লাশি	t̪ ɔ l l a ʃ i
তাঁরা	t̪ ã r a
তাওয়া	t̪ a w a
তাকানো	t̪ a k a n̪ o
তামা	t a m a
তামাশা	t̪ ä m ä s̠ ä
তামুক	t̪ a m u k
তারা	t̪ a r a
তারিপ	t̪ ä ɾ i p
তারিফ	t̪ ä ɾ i pʰ
তিসি	t i ʃ i
তীর	t̪ ɪː ɾ
তুঁই	t̪ ũ i
তুফান	t̪ u f a n
তুরিত	t̪ u ɾ i t̪
তেঁতুল	t ẽ t u l
তোশক	t̪ o ʃ o k
ত্রিচক্রযান	t̪ ɹ i t ɕ ɔ k ɹ ɔ d ʑ a n
ত্রিপত্র	t ɾ i p ɔ tː ɾ ɔ
থন	t̪ʰ ɒ n
থনে	t̪ʰ ɒ n e
থলি	t̪ʰ ɔ l i
থানকুনি	tʰ a n k u n i
থার্মমিটার	t̪ʰ ɑ ɾ m ɔ m i ʈ̟ ɑ ɾ
থার্মোমিটার	t̪ʰ ɑ ɾ m o m i ʈ̟ ɑ ɾ
দপ্তর	d̪ ɔ p t̪ o ɾ
দফতর	d̪ ɔ f t̪ o ɾ
দরজা	d̪ ɔ ɾ d ʒ a
দরবার	d̪ ɔ r b a r
দরিয়া	d̪ o r i j a
দলান	d̪ ɒ l a n
দাওয়াই	d̪ a o̯ a i̯
দাখিল	d̪ a kʰ i l
দাড়ি	d a ɽ i
দান্দান	d̪ a n d̪ a n
দালান	d̪ a l a n
দিঘি	d̪ i ɡʱ i
দীপঙ্কর	d̪ i p ɔ ŋ k ɔ ɾ
দীপোৎসব	d̪ i p o t̪ ʃ ɔ b
দুঃখ	d u k kʰ o
দুইন্যাই	d u i n n a i
দুগি	d̪ u ɡ i
দুপুর	d̪ u p u ɾ
দুরিয়ান	d̪ u ɾ i ɑ n
দৃশ্য	d̪ r i ʃː o
দেশ	d̪ e ʃ
দোতারা	d̪ o t̪ a ɾ a
দোলনা	d o l n a
দ্বীপ	d̪ i p
দ্রুত	d̪ ɾ ʊ t̪ o
ধনে	dʱ o n e
ধর্ষণ	dʱ ɔ ɾ ʃ ɔ n
ধাইর	d̪ʱ a i ɾ
ধারি	d̪ʱ a ɾ i
ধুতুরা	d̪ʱ u t̪ u ɹ a
নগ্নতা	n ɔ ɡ n o t̪ a
নবডঙ্কা	n ɔ b ɔ d ɔ ŋ k ɑ
নভেম্বর	n ɔ bʱ e m b ɔ ɹ
নভেল	n ɔ bʱ e l
নমস্কার	n ɔ m ɔ ʃ k a r
নম্বর	n ɔ m b o ɹ
নর	n ɔ ɹ
নরম	n ɔ ɾ o m
নাইহল	n a i ɦ ɒ l
নাতিশীতোষ্ণ	n a t̪ i ʃ i t̪ o ʃ n o
নাপ্পি	n ɑ p p i
নাম	n a m
নামহীন	n a m ɦ i n
নারায়ণ	n a ɹ a e̯ n
নারিন্দা	n a ɹ i n d̪ a
নাসরিন	n a s ɹ i n
নিয়াস	n i a ʃ
নিরক্ষর	n i r ɔ k kʰ ɔ r
নিষিদ্ধ	n i ʃ i d̪ːʱ o
নেউল	n e u l
নেওয়া	n a o̯ a
নেমন্তন্ন	n e m o n t̪ o n n o
নৈরাজ্যবাদ	n o i̯ ɹ a d ʑː ɔ b a d̪
ন্যায়	n ɛ e̯
ন্যূনতম	n u n o t̪ ɔ m o
পটোল	p ɔ ʈ o l
পদ্ম	p ɔ d̪ː ɔ
পয়গম্বর	p ɔ e̯ ɡ ɔ m b ɔ ɾ
পরমাণু	p ɔ ɹ o m a n u
পরিস্থিতি	p ɔ ɾ i ʃ t̪ʰ i t̪ i
পরেন্দা	p ɔ ɾ ɛ n d̪ a
পর্বত	p ɔ r b ɔ t
পল্লি	p ɔ lː i
পশ্চিমবঙ্গ	p ɔ ʃ t ɕ i m b ɔ ŋ ɡ o
পশ্চিমবাংলা	p ɔ ʃ t ɕ i m b a ŋ l a
পহেলা	p ɔ ɦ e l a
পা	p a
পাঁতি	p a t̪ i
পাইথন	p ɑ i t̪ʰ ɔ n
পাউরা	p a u ɾ a
পাকস্থলী	p a k ɔ s tʰ o l i
পাখা	p a kʰ a
পাখি	p a kʰ i
পাঠানো	p ɑ ʈʰ ɑ n o
পাতা	p a t a
পাদ্রি	p a d̪ ɹ i
পানি	p ɑː n iː
পানু	p ɑ n u
পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
পান্না	p a nː a
পাপকর্ম	p a p o k ɔ ɹ m o
পায়ু	p ɑ e̯ u
পায়ুকাম	p ɑ e̯ u k ɑ m
পায়ুকামী	p ɑ e̯ u k ɑ m i
পাসরা	p a ʃ ɔ ɾ a
পাহুরা	p a ɦ u ɾ a
পিপলী	p i p ɔ l i
পিপ্পল	p i pː ɔ l
পিয়ানো	p i ɑ n o
পুজো	p u d͡ʒ o
পুদিনা	p u d̪ i n a
পুষ্টিকর	p u ʃ ʈ̟ i k ɔ ɾ
পুষ্প	p u ʃ p ɔ
পুস্তক	p u s t ɔ k
পূজা	p u d͡ʒ ɑ
পূতিবাত	p u t i b a t
পেঁচা	p ɛ̃ t ʃ a
পেরেশান	p e r e ʃ a n
পোয়াত	p ɔ a t̪
প্যাঁচা	p ɛ̃ t ʃ a
প্যান্ডেল	p æ n ɖ e l
প্রচার	p ɹ o t ɕ a ɹ
প্রসব	p ɾ o ʃ ɔ b
প্রস্তুত	p ɾ ɔ ʃ t̪ u t̪
প্রাচীন	p r ɑ c i n
প্রাত	p ɹ a t̪
প্রেম	p ɹ e m
প্রেমিক	p ɾ e m i k
প্রেমিকা	p ɾ e m i k ɑ
প্লিজ	p l i z
প্লীজ	p l i z
ফলসা	pʰ ɔ l ʃ a
ফায়দা	f a j d̪ a
ফারাক	f a r a k
ফাল্গুন	f a l ɡ u n
ফাহাদ	f a ɦ a d̪
ফিরেবার	ɸ i ɾ e b a ɾ
ফোটানো	f o t a n o
ফ্লপি	pʰ l ɔ p i
বকুল	b o k u l
বগল	b o ɡ o l
বঙ্গ	b ɔ ŋ ɡ ɔ
বঙ্গবিদ্যা	b ɔ n ɡ o b i d̪ː a
বজ্র	b ɔ ɟ ɾ ɔ
বড়দিন	b ɔ ɽ̟ ɔ d i n
বড়োদিন	b ɔ ɽ̟ o d i n
বন্ধে	b ɒ n d̪ʱ e
বন্যা	b ɔ nː a
বসা	b ɔ ʃ a
বসু	b ɔ ʃ u
বসুন্ধরা	b o ʃ u n d̪ʱ ɔ ɹ a
বাঁড়া	b a ɹ a
বাংলাদেশি	b a ŋ l a d̪ e ʃ i
বাংলাদেশী	b a ŋ l a d̪ e ʃ i
বাইট	b a i ʈ
বাইত্যা	b a i t̪ t̪ a
বাইরাগ	b a i ɾ a ɡ
বাক্য	b a kː o
বাগ	b a ɡ
বাঙালি	b a ŋ a l i
বাঙ্গালী	b a ŋ ɡ a l i
বাটপাড়	b a t p a ɹ
বাত্তি	b a t̪ t̪ i
বাদশাহ	b a d̪ ʃ a ɦ
বাবা	b a b a
বাবুর্চি	b a b u r t ʃ i
বারি	b a ɾ i
বালি	b a l i
বালিশ	b a l i ʃ
বাহির	b a ɦ i ɾ
বিছানো	b i t ɕʰ a n o
বিজ্ঞান	b i ɡː æ n
বিজ্ঞাপন	b i ɡ j a p ɔ n
বিদেশ	b i d̪ e ʃ
বিদেশি	b i d̪ e ʃ i
বিন্দু	b i n d̪ u
বিবাদ	b i b ɑ d̪
বিমানবন্দর	b i m ɑ n b ɔ n d̪ ɔ ɾ
বিয়ান	b i̯ a n
বিয়াল	b i a l
বিরুদ্ধে	b i r u d̪ːʱ e
বিল্ব	b i lː ɔ
বিশ্রী	b i s ɾ i
বিষয়ে	b i ʃ ɔ e
বিসর্গ	b i ʃ o r ɡ o
বীজঘ্ন	b i d ʑ ɔ ɡʱ n o
বুড়	b u ɾ
বুধবার	b u d̪ʱ b a ɹ
বুভুক্ষা	b u bʱ u k kʰ ɑ
বুশরা	b u ʃ ɹ a
বৃক্ষ	b r i k kʰ o
বৃশ্চিক	b r i ʃ t ʃ i k
বেঁহা	b ɛ ɦ a
বেগুন	b e ɡ u n
বেডা	b ɛ d̺ a
বেডি	b e d̺ i
বেপরোয়া	b e p ɔ r w a
বেশী	b e ʃ i
বৈঁচি	b õ ĩ̯ c i
বৈশ্য	b o i ʃ ʃ o
বোকাচোদা	b o k ɑ t͡ʃ o d̪ ɑ
বোন	b o n
বোস	b o ʃ
ব্যক্তি	b æ k t̪ i
ব্যস্ত	b ɛ s t̪ ɔ
ব্যাক	b ɛ k
ব্যাঘ্র	b æ ɡʱ ɾ ɔ
ব্যাটারি	b æ ʈ̟ ɑ ɾ i
ব্যাধি	b æ dʱ i
ব্লগ	b l ɔ ɡ
ভনভন	bʱ ɔ n bʱ ɔ n
ভাড়াইট্যা	bʱ a ɾ a i t̺ t̺ a
ভাড়াটে	bʱ a ɹ a t e
ভারত	bʱ a ɾ ɔ t̪
ভারতে	bʱ a ɹ ɔ t̪ e
ভালোবাসা	bʱ a l o b a ʃ a
ভিত	bʱ i t̪ o
ভিয়েতনাম	v i j e t̪ n a m
ভেস্তা	bʱ e ʃ t̪ ɑ
মণ্ডল	m o n d o l
মতি	m ɔ t̪ i
মতো	m ɔ t̪ o
মদ্যপান	m ɔ d d o p a n
মনমোহন	m ɔ n m ɔ ɦ ɔ n
ময়দা	m ɔ e̯ d̪ a
মরামাস	m ɔ ɹ a m a ʃ
মলম	m ɔ l o m
মস্করা	m ɔ ʃ k ɔ ɹ a
মস্তিষ্ক	m ɔ s t̪ i ʃ k o
মহাভারত	m ɔ ɦ ɑ bʱ ɑ ɾ ɔ t̪
মাইনষে	m a i n ʃ e
মাগী	m a ɡ i
মাঠ	m a ʈʰ
মাতৃ	m ɑ t̪ ɾ i
মাতৃভাষা	m ɑ t̪ ɾ i bʱ ɑ ʃ ɑ
মাত্র	m a t̪ ɹ o
মাধ্যমে	m a d̪ːʱ ɔ m e
মানষি	m a n ʃ i
মানু	m a n u
মানুষ	m a n u ʃ
মামা	m a m a
মালদা	m a l d̪ a
মালূর	m a l u ɾ
মাশাআল্লাহ্	m a ʃ a a l l aʱ
মিডা	m i d̺ a
মিনসা	m i n ʃ a
মু	m u
মুক্তিযুদ্ধ	m u k t̪ i d͡ʒ u d̪ d̪ʱ ɔ
মুরগি	m u r ɡ i
মুরগী	m u r ɡ i
মূত্র	m u t̪ t̪ ɾ ɔ̝ˑ
মূত্রনালি	m u t̪ t̪ ɾ ɔ̝ n ä l iˑ
মেকুর	m ɛ k u ɾ
মেঘালয়	m e ɡʱ a l ɔ e̯
মেজ	m e d ʑ o
মেজাজ	m e d ʒ a d ʒ
মেথী	m e tʰ i
মেয়ে	m e e
মেষ	m e ʃ
মেহুর	m e ɦ u ɾ
মোটা	m o ʈ a
মোতি	m o t̪ i
মোরগ	m o r ɔ ɡ
মোল্লা	m o lː a
মৌল	m o u̯ l
মৌসুমি	m o u ʃ u m i
যমজ	d ʑ ɔ m o d ʑ
যাচ্ছেতাই	d ʑ a t ɕʰː e t̪ a i̯
যিরূশালেম	d͡ʒ i ɾ u ʃ a l e m
যুবতী	d ʒ u b ɔ t̪ i
যুলফিকার	d ʑ u l f i k a ɾ
যেখান	d ʑ e kʰ a n
যোনি	d ʑ o n i
রইদ	r ɔ i d̪
রউন	r ɔ u n
রওনা	r ɔ o n a
রওয়ানা	r ɔ w a n a
রজনীগন্ধা	r ɔ d ʒ o n i ɡ ɔ n d̪ʱ a
রবার	ɹ ɔ b a ɹ
রবি	r o b i
রশিদ	r o ʃ i d̪
রসায়ন	ɹ o ɹ ʃ j n
রসুই	ɾ ɔ ʃ u i
রসুইঘর	ɾ ɔ ʃ u i ɡʱ ɔ ɾ
রসুল	ɾ ɔ ʃ u l
রাং	ɾ a ŋ
রাই	ɾ a i
রাগ	r a ɡ
রাগী	r a ɡ i
রাজকীয়	r a d ʒ ɔ k i̯ o
রাজস্থান	r a d ʒ ɔ s t̪ʰ a n
রান্না	r a nː a
রামায়ণ	ɾ ɑ m ɑ e̯ ɔ n
রাষ্ট্র	ɾ a ʃ ʈ ɾ ɔ
রাস্তা	ɾ a s t̪ a
রিকশা	r i k ʃ ɑ
রিষ্ট	ɾ i ʃ ʈ ɔ
রূমী	r u m i
রোগ	ɾ o ɡ
রোজা	ɾ o z a
লওয়া	l ɔ o̯ a
লক্ষ্মীপেঁচা	l o kːʰ i p æ̃ c a
লক্ষ্মীফল	l o kːʰ i pʰ ɔ l
লতা	l ɔ t̪ a
লবডঙ্কা	l ɔ b ɔ d ɔ ŋ k ɑ
লাইব্রেরী	l a i b ɾ e ɾ i
লাকান	l a k a n
লাশ	l a ʃ
লাহান	l a ɦ a n
লুডা	l u d̺ a
লেবু	l e b u
শউর	ʃ ɔ u ɾ
শউরী	ʃ ɔ u ɾ i
শক্ত	ʃ ɔ k t̪ ɔ
শঙ্খচূড়	ʃ ɔ ŋ kʰ o t ʃ u ɽ
শতরকম	ʃ ɔ t̪ ɔ ɾ ɔ k ɔ m
শতাংশ	ʃ ɔ t̪ ɑ ŋ ʃ ɔ
শয়তান	ʃ ɔ j t̪ a n
শরমানো	ʃ ɔ ɹ m a n o
শরাব	s h ô r a b
শরীর	ʃ o ɹ i ɹ
শাণ্ডিল্য	ʃ a n ɖ i lː ɔ
শান্তনু	ʃ ɑ n t̪ ɔ n u
শামিয়ানা	ʃ a m i j a n a
শালগম	ʃ a l ɡ ɔ m
শাহতাজ	ʃ a ɦ t̪ a d ʑ
শিকার	ʃ i k a r
শিকারি	ʃ i k a r i
শিক্ষামূলক	ʃ i kːʰ a m u l ɔ k
শিখ	ʃ i kʰ
শিগ্গির	ʃ i ɡː i ɹ
শিথান	ʃ i t̪ʰ a n
শিরীষ	ʃ i ɾ i ʃ
শুধু	ʃ u d̪ʱ u
শুমার	ʃ u m ɑ ɾ
শুরু	ʃ u r u
শুলফা	ʃ u l pʰ a
শেখা	ʃ e kʰ a
শৈবাল	ʃ o i̯ b a l
শ্বেত	ʃː e t̪
শ্মশান	ʃ o ʃ ɐ n
শ্যাম্পু	ʃ æ m p u
শ্রীনিকেতন	ʃ ɾ i n i k e t̪ ɔ n
শ্রীফল	s ɾ i pʰ ɔ l
শ্রীবৃক্ষ	s ɾ i b ɾ i kːʰ ɔ
শ্লেষ্মা	ʃ l e ʃ ʃ ɑ̃
শ্ৰদ্ধা	s ɹ o d̪ d̪ʱ a
সংক্রামক	ʃ ɔ ŋ k ɾ a m ɔ k
সংবাদ	ʃ ɔ ŋ b ɑ d̪
সংশয়	ʃ ɔ ŋ ʃ ɔ e̯
সওদা	ʃ ɔ o̯ d̪ a
