gen	ɡ ɛ n
sarasehan	s a . r a . s ɛ h . a n
meritokratis	m e . r i . t o . k r a . t ɪ s
antesis	a n t e s ɪ s
ikhlas	i x l a s
hasad	h a s a t̚
aksara	a k . s a . r a
uban	u . b a n
menyerahkan	m ə ɲ ə r a h k a n
vasokonstriksi	v a s o k ɔ n s t r ɪ k s i
makasih	m a . k a . s ɪ h
iktibar	ɪ ʔ t i b a r
merusak	m ə r u s a ʔ
gempa	ɡ ə m p a
dorongan	d ɔ r ɔ ŋ a n
terburuk	t ə r b u r ʊ k̚
apoking	a . p o . k ɪ ŋ
antardesa	a n t a r d ɛ s a
akatopi	a k a t o p i
angkasawan	a ŋ k a s a w a n
penerimaan	p ə . n ə . r i . m a . a n
mengumpamakan	m ə ŋ u m p a m a k a n
lapis	l a . p ɪ s
lebar	l e b a r
adat	a . d a t
pelacur	p ə . l a . t͡ʃ ʊ r
dasar	d a s a r
guna	ɡ u n a
roman	r o . m a n
aniaya	a n i . a . j a
penyesuaian	p ə ɲ ə s u a i̯ a n
ampul	a m . p ʊ l
adpis	a t̚ p ɪ s
erti	ə r . t i
kutang	k u . t a ŋ
sa	s a
joli	d͡ʒ o l i
resmi	r ə s . m i
takal	t a . k a l
takut	t a . k u t
sri	s ə r i
butana	b u . t a . n a
idap	ɪ d a p̚
pelarian	p ə . l a . r i . a n
surga	s ʊ r ɡ a
rames	r a . m ə s
sana	s a n a
pekan	p ə k a n
jang	j a ŋ
KTP	k a t ɛ p ɛ
kelar	k ə . l a r
krans	k r a n s
tabu	t a b u
elang	ə l a ŋ
ketahanan	k ə t a h a n a n
kardiovaskuler	k a r d i o v a s k u l ɛ r
kofte	k ɔ f t e
antok	a n t ɔ k̚
fatamorgana	f a t a m ɔ r ɡ a n a
belom	b ə . l o m
askese	a s k e s ə
BNPT	b e ɛ n p e t e
bumbung	b u m b u ŋ
angin	a ŋ i n
apen	a p ə n
ider	i d ə r
A	a
bobrok	b o . b r ɔ k
unggul	u ŋ ɡ ʊ l
jeneng	d͡ʒ ɛ . n ɛ ŋ
l	ɛ l
seremoni	s e . r e . m o . n i
kelambu	k ə l a m b u
angsang	a ŋ s a ŋ
silet	s i l ɛ t̚
mag	m ɑ h
babaun	b a . b a . ʊ n
bilateral	b i . l a . t ə . r a l
lokalisasi	l o k a l i s a s i
cakalang	t͡ʃ a . k a . l a ŋ
kers	k ɛ r s
Ahad	a h a t̚
serong	s ɛ r ɔ ŋ
lulusan	l u l ʊ s a n
datuk	d a t ʊ k̚
layang	l a . j a ŋ
udon	u . d o n
timpang	t ɪ m . p a ŋ
ganti	ɡ a n . t i
tenggelam	t ə ŋ ɡ ə l a m
majelis	m a d͡ʒ ə l ɪ s
merubah	m ə r u b a h
rembesan	r ə m b ə s a n
radius	r a d i ʊ s
berketombe	b ə r k ə t ɔ m b e
adorasi	a . d o . r a . s i
huruf	h u r ʊ f
toksin	t ɔ k . s ɪ n
termoregulasi	t ɛ r . m o . r e . ɡ u . l a . s i
khawatir	x a w a t ɪ r
bajaj	b a . d ʒ a i̯
tunang	t u . n a ŋ
pelatih	p ə l a t ɪ h
brahmana	b r a h m a n a
Turki	t u r k i
tiris	t i r i s
lensa	l ɛ n s a
kepada	k ə p a d a
binawah	b i n a w a h
mampu	m a m p u
penyederhanaan	p ə . ɲ ə . d ə r . h a . n a . a n
tadah	t a d a h
farsakh	f a r s a x
perunggu	p ə . r ʊ ŋ . ɡ u
duka	d u . k a
badare	b a . d a . r ə
hechting	h ɛ k̚ t ɪ ŋ
mangkuk	m a ŋ k ʊ k̚
mastautin	m a s t a u̯ t ɪ n
goban	ɡ o . b a n
kelab	k ə l a b
tajin	t a . d͡ʒ ɪ n
limit	l i m ɪ t̚
kitab	k i . t a p̚
arapota	a . r a . p o . t a
puja	p u . d͡ʒ a
itas	i t a s
riol	r i . ɔ l
gejala	ɡ ə . d͡ʒ a . l a
jasuke	d͡ʒ a s u k e
mahram	m a h r a m
KTSP	k a t e ɛ s p e
spesifik	s p ɛ s i f ɪ k̚
apek	a . p ɛ k
anggi	a ŋ ɡ i
ken	k ɛ n
baronsai	b a . r o n . s a i̯
bad	b a t̚
anoda	a . n o . d a
benar	b e . n a r
serdadu	s ə r d a d u
hibah	h i b a h
adempauze	a d ə m . p a u̯ . z ə
artropoda	a r t r o p o d a
syabas	ʃ a . b a s
gereja	ɡ ə r ɛ d͡ʒ a
makanan	m a k a . n a n
deforestasi	d e . f o . r ə s . t a . s i
kencana	k ə n . t͡ʃ a . n a
terung	t ə . r ʊ ŋ
baktau	b a k . t a ʊ̯
ijazah	ɪ d͡ʒ a z a h
bazar	b a . z a r
aplaus	a p . l a . u s
fasakh	f a s a ʔ
ancala	a n t͡ʃ a l a
Nyonya	ɲ o ɲ a
lobang	l o b a ŋ
toksikologi	t ɔ k . s i . k o . l o . ɡ i
kumulatif	k u m u l a t ɪ f
verano	v e r a n o
handal	h a n d a l
sehat	s ɛ h a t̚
x	ɛ k s
tensi	t ɛ n s i
ibukota	i . b u . k o . t a
sarkas	s a r k a s
kompi	k ɔ m p i
angsana	a ŋ s a n a
sabit	s a b ɪ t̚
pangkat	p a ŋ k a t̚
ayun	a j ʊ n
akademi	a k a . d e . m i
madrasah	m a d r a s a h
lues	l u . e s
bawang	b a w a ŋ
defleksi	d e . f l ɛ k . s i
jala	d͡ʒ a l a
biologis	b i o l o ɡ ɪ s
averoisme	a . v e . r o . ɪ s . m ə
mengoplos	m ə ŋ . o p . l o s
sumbu	s ʊ m . b u
ibadah	i . b a . d a h
delesi	d e . l e . s i
ananim	a n a n ɪ m
dongkrak	d ɔ ŋ k r a k̚
nirharapan	n i r h a r a p a n
akeo	a k e o
acar	a t͡ʃ a r
titinada	t i . t i . n a . d a
paus	p a ʊ s
penghancuran	p ə ŋ h a n t͡ʃ ʊ r a n
karnivora	k a r n i v o r a
samsek	s a m . s ə k
watas	w a t a s
deselerasi	d e s ɛ l ə r a s i
momentum	m o . m ɛ n . t ʊ m
tinggal	t ɪ ŋ ɡ a l
galak	ɡ a . l a k
tenggorokan	t̪ ə ŋ . ɡ o . r o . k ä n
mitos	m i t o s
palang	p a l a ŋ
karsa	k a r s a
etude	e t u d ɛ
mendiamkan	m ə n d i a m k a n
ketan	k ə t a n
taju	t a d͡ʒ u
kandela	k a n . d e . l a
penyelenggaraan	p ə . ɲ ə . l ə ŋ . ɡ a . r a . a n
debu	d ə b u
rogol	r ɔ . ɡ ɔ l
ragil	r a . ɡ ɪ l
gapura	ɡ a p u r a
judogi	d͡ʒ u . d o . ɡ i
gelak	ɡ ə l a k
Ibrani	i b r a n i
hara	h a . r a
tentang	t ə n t a ŋ
gagang	ɡ a . ɡ a ŋ
Jepang	d͡ʒ ə p a ŋ
PSK	p ɛ ɛ s k a
rujak	r u d͡ʒ a ʔ
ambyang	a m bʲ a ŋ
takar	t a k a r
bujangga	b u . d͡ʒ a ŋ . ɡ a
kuntit	k ʊ n t ɪ t̚
awo	a w o
insidental	ɪ n . s i . d ɛ n . t a l
grup	ɡ r ʊ p̚
punca	p ʊ n . t͡ʃ a
pedupaan	p ə d u p a a n
lasik	l a . s i k
ngab	ŋ a b
dom	d ɔ m
resistor	r e s ɪ s t ɔ r
degeneratif	d e ɡ e n ə r a t ɪ f
ꦢꦺꦱ	d e . s ɔ
edaran	e . d a r . a n
atmosferis	a t m ɔ s f ɛ r ɪ s
tebusan	t ə . b u . s a n
frekuensi	f r e k u ɛ n s i
cogan	t͡ʃ o . ɡ a n
seprai	s ə p . r a i
Malingsia	m ä l ɪ ŋ . s i a
absolusi	a b s o l u s i
gugur	ɡ u . ɡ ʊ r
defekasi	d e f e k a s i
beleran	b ɛ l ɛ r aː n
tahu	t a u
jawab	d͡ʒ a . w a p̚
BBLR	b e b e ɛ l ɛ r
blek	b l ɛ k
beli	b ə l i
mari	m a . r i
kelarutan	k ə . l a . r u . t a n
tengkujuh	t ə ŋ k u d͡ʒ ʊ h
berjibaku	b ə r . d͡ʒ i . b a . k u
perdikan	p ə r d i k a n
selak	s e . l a k
aforestasi	a f o r ɛ s t a s i
sela	s e . l a
PR	p ɛ . ɛ r
pengadaan	p ə ŋ . a d a . a n
badi	b a d i
Indonesia	i n . d o . n ɛ . s ɪ . j a
kabus	k a b ʊ s
adiksimba	a d ɪ k s ɪ m b a
kamikaze	k a m i k a z e
aliansi	a l i a n s i
berdarah	b ə r d a r a h
cilik	t͡ʃ i . l ɪ k
jentera	d͡ʒ ə n t ə r a
honji	h o n . d͡ʒ i
bukti	b u k . t i
dekomposisi	d e k ɔ m p o s i s i
kacung	k a t͡ʃ ʊ ŋ
jadwal	d͡ʒ a t̚ w a l
berpulang	b ə r p u l a ŋ
unik	u n i k
interferensi	ɪ n t ə r f ə r ɛ n s i
hidayah	h i d a j a h
takeyari	t a . k e . y a . r i
anakompo	a n a k ɔ m p o
segara	s ə ɡ a r a
kandil	k a n . d ɪ l
jawi	d͡ʒ a . w i
alokai	a l o k a i̯
soang	s o a̯ ŋ
nasi	n a s i
riskan	r i s . k a n
margasatwa	m a r . ɡ a . s a t . w a
asidulan	a s i . d u . l a n
kersen	k ɛ r s ə n
Aceh	a t͡ʃ e h
empati	ɛ m p a t i
klasikal	k l a s ɪ k . a l
penderita	p ə n d ə r i t a
titrasi	t i t r a s i
gaharu	ɡ a h a r u
uduk	u . d ʊ k
terkait	t ə r k a ɪ t̚
proses	p r o s ɛ s
ansai	a n . s a i̯
asmara	a s . m a . r a
astronaut	a s t r o n a u̯ t̚
batik	b a t ɪ k
aktivasi	a k̚ t i v a s i
pura	p u . r a
tablig	t a b l ɪ k̚
teorema	t e o r ɛ m a
sepur	s ə p u r
spesifisitas	s p e s i f i s i t a s
ingin	i . ŋ i n
tudung	t u . d ʊ ŋ
uber	u b ə r
semong	s ə m ɔ ŋ
perolehan	p ə r o l ɛ h . a n
antrap	a n t r a p̚
keputusasaan	k ə p u t u s a s a a n
Estonia	e s t o n i a̯
fotosel	f o t o s ɛ l
kertas	k ə r t a s
parpol	p a r . p o l
potongan	p ɔ t ɔ ŋ a n
losmen	l o s . m ɛ n
antarbahasa	a n t a r b a h a s a
mudra	m u d . r a
kirik	k i . r ɪ ʔ
Bulgaria	b ʊ l ɡ a r i a̯
ateisme	a t e ɪ s m ə
kapan	k a . p a n
aftab	a f t a p̚
aneka	a n ɛ . k a
fluks	f l ʊ k s
ketersediaan	k ə . t ə r . s ə . d i . a . a n
apang	a p a ŋ
tumbuh	t ʊ m b ʊ h
aktris	a k t r ɪ s
mengetatkan	m ə ŋ ə t a t̚ k a n
amoh	a m ɔ h
rancang	r a n . t͡ʃ a ŋ
seri	s e . r i
langau	l a ŋ a u̯
mewah	m ɛ w a h
anaheha	a n a h e h a
lengket	l ɛ ŋ k ɛ t̚
edisi	ɛ d i s i
pada	p a d a
rapat	r a p a t
memberhentikan	m ə m b ə r h ə n t i k a n
kering	k ə r ɪ ŋ
nanti	n a n . t i
babka	b a p . k a
piadah	p i a d a h
maljum	m a l d͡ʒ u m
dekat	d ə k a t
G	ɡ e
didik	d i d ɪ ʔ
homo	h o . m o
silsilah	s ɪ l s i l a h
jangankan	d͡ʒ a . ŋ a n . k a n
alutta	a l ʊ t t a
empu	ə m p u
anuitas	a . n u . i . t a s
influen	ɪ n f l u ɛ n
lengan	l ə . ŋ ä n
seprei	s ə p . r e i
emoji	e . m o . d͡ʒ i
bab	b a b
ambir	a m b ɪ r
rasuah	r a . s u . a h
ancaman	a n . t͡ʃ a . m a n
babad	b a b a t̚
indikator	ɪ n d i k a t ɔ r
sempurna	s ə m . p u r . n a
awam	a w a m
aboi	a . b o i̯
gabah	ɡ a b a h
alel	a . l ɛ l
puji	p u . d͡ʒ i
skor	s k o r
Ngawi	ŋ a w i
membranofon	m ɛ m b r a n o f ɔ n
kerbau	k ə r b a u̯
obi	o . b i
resorpsi	r e s ɔ r p s i
J	d͡ʒ e
resonansi	r e . s o . n a n . s i
pecutan	p ə t͡ʃ ʊ t a n
demografi	d e m o ɡ r a f i
anaye	a n a j ɛ
bayu	b a j u
ambiguitas	a m b i ɡ u i t a s
aplikatif	a p l i k a t ɪ f
blangko	b ə̆ l a ŋ k o
munsyi	m u n . ʃ i
fotoelektrisitas	f o t o ɛ l ɛ k̚ t r i s i t a s
pionir	p i o n ɪ r
maka	m a k a
andap	a n . d a p
suka	s u k a
maling	m a . l ɪ ŋ
dikau	d i k a u̯
anakia	a n a k i a̯
mesjid	m ə s d͡ʒ ɪ t̚
tasbih	t a s b ɪ h
badul	b a . d ʊ l
sumatif	s u . m a . t ɪ f
mustahik	m ʊ s t a h ɪ k̚
dewan	d ɛ w a n
manira	m a . n i . r a
asal	a . s a l
asid	a s ɪ t
audiometri	a u̯ . d i . o . m e . t r i
wafat	w a f a t̚
lada	l a d a
tuntut	t u n . t ʊ t
menggali	m ə ŋ . ɡ a . l i
kilang	k i l a ŋ
Maret	m a r ə t
E	e
hayati	h a . j a . t i
informasi	i n f ɔ r m a s i
menghadiri	m ə ŋ . h a . d i r . i
antum	a n t ʊ m
irama	i r a m a
ekaristi	ɛ k a r i s t i
among	a m ɔ ŋ
kamber	k a m . b ə r
Juni	d͡ʒ u . n i
dorna	d o r n a
saat	s a . ʔ a t
aplikan	a p̚ l i k a n
lauk	l a . ʊ ʔ
rasio	r a s i o̯
kasuistik	k a s u ɪ s t ɪ k̚
dewana	d ɛ w a n a
suvenir	s u v ə n ɪ r
aktivisme	a k̚ t i v ɪ s m ə
heptana	h e p . t a . n a
giat	ɡ i a t̚
sengsai	s ɛ ŋ . s a i
mengencingi	m ə . ŋ e n . c i ŋ . i
ongkos	o ŋ . k o s
angrem	a ŋ r ə m
desalinasi	d e . s a . l i . n a . s i
terbesar	t ə r b ə s a r
taring	t a . r ɪ ŋ
onigiri	o . n i . ɡ i . r i
wortel	w o r . t ə l
anggas	a ŋ ɡ a s
partus	p a r . t ʊ s
pemabuk	p ə m a b u k
rindang	r ɪ n d a ŋ
sagu	s a ɡ o
khizanatulkitab	x i z a n a t ʊ l k i t a p̚
KPK	k a p e k a
negoisasi	n ɛ . ɡ o . s i . a . s i
menganggap	m ə ŋ a ŋ ɡ a p̚
heterogen	h e . t e . r o . ɡ ɛ n
parlementer	p a r l ə m ɛ n t ɛ r
SHUN	ɛ s h a u ɛ n
babatan	b a . b a t . a n
tepis	t ə . p ɪ s
anggal	a ŋ . ɡ a l
jadi	d ʒ a . d i
mencekoki	m ə ɲ . t͡ʃ ə . k o . k i
sambungan	s a m . b ʊ ŋ . a n
siang	s i . a ŋ
tersier	t ɛ r s i ɛ r
rasional	r a s i o n a l
kolektivitas	k o l ɛ k t i v i t a s
moda	m o . d a
asyik	a . ʃ ɪ k
ꦱꦺꦴꦕ	s o t͡ʃ ɔ
pemacu	p ə . m a . t͡ʃ u
asbabulwurud	a s . b a . b ʊ l . w u . r ʊ t
pengecaman	p ə . ŋ ə . t͡ʃ a m . a n
binasa	b i . n a . s a
micin	m i . t͡ʃ i n
pandemi	p a n d e m i
kabuki	k a b u k i
merk	m ɛ r k
angki	a ŋ k i
catat	t͡ʃ a t a t̚
luka	l u k a
Islandia	ɪ s l a n d i a̯
Indra	i n . d r a
antaladan	a n . t a . l a . d a n
julang	d͡ʒ u l a ŋ
pertahanan	p ə r t a h a n a n
bungsut	b ʊ ŋ s ʊ t̚
masakan	m a s a k̚ a n
jagung	d͡ʒ a ɡ ʊ ŋ
perpaduan	p ə r p a d u a n
kultivasi	k ʊ l t i v a s i
aspal	a s . p a l
aloun	a . l o . ʊ n
perbuatan	p ə r . b u . a . t a n
akar	a . k a r
tengok	t e . ŋ ɔ k
perembesan	p ə . r ə m . b ə s . a n
kotor	k o t o r
tiram	t i r a m
baba	b a . b a
borang	b ɔ r a ŋ
dukung	d u . k ʊ ŋ
tinjau	t i n d͡ʒ a u̯
onagata	o . n a . ɡ a . t a
arowon	a . r o . w ɔ n
magnitudo	m a k n i t u d o
nyaman	ɲ a m a n
zikir	z i k ɪ r
menggarisbawahi	m ə ŋ . ɡ a . r i s . b a . w a h . i
penganjur	p ə ŋ a n d͡ʒ ʊ r
kontributor	k ɔ n . t r i . b u . t ɔ r
berbeda	b ə r b ɛ d a
kabupaten	k a . b u . p a . t e n
nabatah	n a b a t a h
tanggapan	t a ŋ . ɡ a . p a n
tengar	t ə ŋ a r
siber	s i b ə r
permainan	p ə r m a i . n a n
rekonsiliasi	r e . k ɔ n . s i . l i . a . s i
mengatakan	m ə ŋ a t a k a n
ritsleting	r i t . s l ə . t i ŋ
nalar	n a l a r
mukbang	m ʊ k b ɑ ŋ
kayas	k a j a s
pihak	p i h a ʔ
kehujanan	k ə h u d͡ʒ a n a n
asrok	a s . r ɔ k
amporang	a m p o r a ŋ
bersenandung	b ə r s ə n a n d ʊ ŋ
ransel	r a n . s ə l
perdana	p ə r d a n a
am	a m
pita	p i . t a
buku	b u k u
eksim	ɛ k . s ɪ m
determinasi	d e . t ɛ r . m i . n a . s i
warkat	w a r . k a t
sentul	s ə n . t ʊ l
yuyitsu	j u . j i t . s u
izin	ɪ z ɪ n
calak	t͡ʃ a l a ʔ
abras	a b . r a s
perabuan	p ə r a b u a n
manga	m a n ɡ a
IPA	i . p a
kedaerahan	k ə . d a ɛ . r a h . a n
komet	k o . m ɛ t̚
alodna	a . l ɔ t . n a
psikolog	p ə s i k o l ɔ k̚
pialang	p ɪ j a l a ŋ
sadir	s a d ɪ r
alis	ʔ ä . l i s
aora	a . o . r a
doa	d o a
persentil	p ə r . s ɛ n . t ɪ l
Tamil	t a m ɪ l
aruris	a . r u . r ɪ s
pencucian	p ə n t͡ʃ u t͡ʃ iʲ a n
sami	s a m i
bagan	b a . ɡ a n
amput	a m p ʊ t̚
ajara	a d͡ʒ a r a
gugus	ɡ u ɡ ʊ s
muluk	m u . l ʊ ʔ
kandungan	k a n d ʊ ŋ a n
iotasisme	i o t a s ɪ s m ə
