<|असम|>অংক	ɔ ŋ k ɔ
<|असम|>উমনি	u m ɔ n i
<|असम|>উলিওৱা	u l i ʊ a
<|असम|>উলুপী	u l u p i
<|असम|>এই	ɛ i
<|असम|>এইটো	ɛ i t ʊ
<|असम|>এওঁ	ɛ ʊ̃
<|असम|>একাডেমি	ɛ k a d ɛ m i
<|असम|>একে	ɛ k ɛ
<|असम|>একেলেথাৰিয়ে	ɛ k ɛ l ɛ tʰ a ɹ i ɛ
<|असम|>একো	ɛ k ʊ
<|असम|>এখেত	ɛ kʰ ɛ t
<|असम|>এঙাৰ	ɛ ŋ a ɹ
<|असम|>এটা	ɛ t a
<|असम|>এতিয়া	ɛ t i a
<|असम|>এনেকৈ	ɛ n ɛ k o ɪ
<|असम|>এন্ধাৰ	ɛ n dʱ a ɹ
<|असम|>এলেহুৱা	ɛ l ɛ ɦ u a
<|असम|>এশ	ɛ x ɔ
<|असम|>এহেজাৰ	ɛ ɦ ɛ z a ɹ
<|असम|>এৰা	ɛ ɹ a
<|असम|>ঐতিহ্য	ɔ i t i d ʑ ɔ
<|असम|>ওকালতি	ʊ k a l ɔ t i
<|असम|>ওখ	ʊ kʰ ɒ
<|असम|>ওচৰ	ʊ s ɔ ɹ
<|असम|>ওজন	ʊ z ɔ n
<|असम|>ওঠৰ	ʊ tʰ ɔ ɹ ɔ
<|असम|>ওপঙা	ʊ p ɔ ŋ a
<|असम|>ওপৰ	ʊ p ɔ ɹ
<|असम|>ওলগ	ʊ l ɔ ɡ
<|असम|>ওলা	ʊ l a
<|असम|>ওলোটা	ʊ l ʊ t a
<|असम|>ওলোমোৱা	ʊ l ʊ m ʊ a
<|असम|>ওলোৱা	ʊ l ʊ a
<|असम|>ওস্তাদ	ʊ s t a d
<|असम|>ওৰ	ʊ ɹ
<|असम|>ওৰণি	ʊ ɹ ɔ n i
<|असम|>কঁঠাল	k ɔ̃ tʰ a l
<|असम|>কইনা	k ɔ ɪ n a
<|असम|>কটা	k ɔ t a
<|असम|>কঢ়া	k ɔ ɹʱ a
<|असम|>কণা	k ɔ n a
<|असम|>কথা	k ɔ tʰ a
<|असम|>কপাহ	k ɔ p aʱ
<|असम|>কপৌ	k ɔ p o ʊ
<|असम|>কবি	k ɔ b i
<|असम|>কম	k ɔ m
<|असम|>কমা	k ɔ m a
<|असम|>কমাৰ	k ɔ m a ɹ
<|असम|>কলডিল	k ɔ l d i l
<|असम|>কলম	k ɔ l ɔ m
<|असम|>কলিকতা	k ɔ l i k ɔ t a
<|असम|>কাঁইট	k ã i t
<|असम|>কাঁচি	k ã s i
<|असम|>কাঁড়	k ã ɹ
<|असम|>কাঁহী	k ã ɦ i
<|असम|>কাউৰী	k a u ɹ i
<|असम|>কাগজ	k a ɡ ɔ z
<|असम|>কাছ	k a s ɔ
<|असम|>কাজ	k a z
<|असम|>কাট	k a t
<|असम|>কাঠ	k a tʰ
<|असम|>কাণ	k a n
<|असम|>কানাই	k a n a ɪ
<|असम|>কানু	k a n u
<|असम|>কাপোৰ	k a p ʊ ɹ
<|असम|>কামি	k a m i
<|असम|>কাশ্মীৰ	k a s m i ɹ
<|असम|>কাহ	k aʱ
<|असम|>কাৱৈ	k a o ɪ
<|असम|>কি	k i
<|असम|>কিছু	k i s u
<|असम|>কিছুমান	k i s u m a n
<|असम|>কিতাপ	k i t a p
<|असम|>কিনা	k i n a
<|असम|>কিন্তু	k i n t u
<|असम|>কিবা	k i b a
<|असम|>কিমান	k i m a n
<|असम|>কিয়	k i ɔ
<|असम|>কুঁৱৰী	k ũ ɔ ɹ i
<|असम|>কুকুৰ	k u k u ɹ
<|असम|>কুকুৰা	k u k u ɹ a
<|असम|>কুটুম	k u t u m
<|असम|>কুঠাৰ	k u tʰ a ɹ
<|असम|>কুমাৰ	k u m a ɹ
<|असम|>কুৰুই	k u ɹ u i
<|असम|>কুৰুৱা	k u ɹ u a
<|असम|>কৃষ্ণ	k ɹ i s n ɔ
<|असम|>কেঁচা	k ẽ s a
<|असम|>কেঁচুৱা	k ẽ s u a
<|असम|>কেতিয়াবা	k ɛ t i a b a
<|असम|>কেনে	k ɛ n ɛ
<|असम|>কেনেকুৱা	k ɛ n ɛ k u a
<|असम|>কেনেকৈ	k ɛ n ɛ k o ɪ
<|असम|>কেনেবাকৈ	k ɛ n ɛ b a k o ɪ
<|असम|>কেন্দ্ৰ	k ɛ n d ɹ ɔ
<|असम|>কোঁৱৰ	k ʊ̃ ɔ ɹ
<|असम|>কোটি	k ʊ t i
<|असम|>কোন	k ʊ n
<|असम|>কোনোবা	k ʊ n ʊ b a
<|असम|>কৰ	k ɔ ɹ
<|असम|>কৰোৱা	k ɔ ɹ ʊ a
<|असम|>ক’ৰবাত	k ó ɹ b a t
<|असम|>খানচামা	kʰ a n s a m a
<|असम|>খাল	kʰ a l
<|असम|>খুচুৰা	kʰ u s u ɹ a
<|असम|>খুটি	kʰ u t i
<|असम|>খুৰী	kʰ u ɹ i
<|असम|>খেদা	kʰ ɛ d a
<|असम|>খেলনা	kʰ ɛ l n a
<|असम|>খেলুৱৈ	kʰ ɛ l u o ɪ
<|असम|>খোলা	kʰ ʊ l a
<|असम|>খৰ	kʰ ɔ ɹ
<|असम|>খৰালি	kʰ ɔ ɹ a l i
<|असम|>গছ	ɡ ɔ s
<|असम|>গজালি	ɡ ɔ z a l i
<|असम|>গঢ়া	ɡ ɔ ɹʱ a
<|असम|>গধুৰ	ɡ ɔ dʱ u ɹ
<|असम|>গধূলি	ɡ ɔ dʱ u l i
<|असम|>গম	ɡ ɔ m
<|असम|>গল	ɡ ɔ l
<|असम|>গহনা	ɡ ɔ ɦ ɔ n a
<|असम|>গা	ɡ aː
<|असम|>গাঁও	ɡ ã ʊ
<|असम|>গাঁঠি	ɡ ã tʰ i
<|असम|>গাই	ɡ a ɪ
<|असम|>গাধ	ɡ a dʱ ɔ
<|असम|>গাভৰু	ɡ a bʱ ɔ ɹ u
<|असम|>গামোচা	ɡ a m ʊ s a
<|असम|>গাল	ɡ a l
<|असम|>গিৰি	ɡ i ɹ i
<|असम|>গুটি	ɡ u t i
<|असम|>গুড়া	ɡ u ɹ a
<|असम|>গুড়ি	ɡ u ɹ i
<|असम|>গুলপীয়া	ɡ u l ɔ p i a
<|असम|>গুলি	ɡ u l i
<|असम|>গুহা	ɡ u ɦ a
<|असम|>গুৰ	ɡ u ɹ
<|असम|>গুৰি	ɡ u ɹ i
<|असम|>গুৰিওৱা	ɡ u ɹ i ʊ a
<|असम|>গুৱাহাটী	ɡ u a ɦ a t i
<|असम|>গোধাফুটুকী	ɡ ʊ dʱ a pʰ u t u k i
<|असम|>গোসাঁই	ɡ ʊ x ã i
<|असम|>গোৱা	ɡ ʊ a
<|असम|>গৌৰৱ	ɡ o ʊ ɹ ɔ w
<|असम|>গৰম	ɡ ɔ ɹ ɔ m
<|असम|>গৰাকী	ɡ ɔ ɹ a k i
<|असम|>ঘঁহা	ɡʱ ɔ̃ ɦ a
<|असम|>ঘটা	ɡʱ ɔ t a
<|असम|>ঘাঁহ	ɡʱ ãʱ
<|असम|>ঘাই	ɡʱ a ɪ
<|असम|>ঘোঁৰা	ɡʱ ʊ̃ ɹ a
<|असम|>ঘৰ	ɡʱ ɔ ɹ
<|असम|>চকা	s ɔ k a
<|असम|>চকী	s ɔ k i
<|असम|>চকু	s ɔ k u
<|असम|>চকুপানী	s ɔ k u p a n i
<|असम|>চকুলো	s ɔ k u l ʊ
<|असम|>চকৰিফেঁটী	s ɔ k ɔ ɹ i pʰ ẽ t i
<|असम|>চন	s ɔ n
<|असम|>চমুকৈ	s ɔ m u k o ɪ
<|असम|>চলা	s ɔ l a
<|असम|>চলোৱা	s ɔ l ʊ a
<|असम|>চহী	s ɔ ɦ i
<|असम|>চহৰ	s ɔ ɦ ɔ ɹ
<|असम|>চাক	s a k
<|असम|>চাদৰ	s a d ɔ ɹ
<|असम|>চান	s a n
<|असम|>চাপৰ	s a p ɔ ɹ
<|असम|>চাবোন	s a b ʊ n
<|असम|>চাম	s a m
<|असम|>চালনি	s a l ɔ n i
<|असम|>চাহী	s a ɦ i
<|असम|>চাৰি	s a ɹ i
<|असम|>চাৰিআলি	s a ɹ i a l i
<|असम|>চিকাৰ	s i k a ɹ
<|असम|>চিগাৰেট	s i ɡ a ɹ ɛ t
<|असम|>চিঠি	s i tʰ i
<|असम|>চিন	s i n
<|असम|>চিনা	s i n a
<|असम|>চিনাকি	s i n a k i
<|असम|>চিনাকী	s i n a k i
<|असम|>চিন্তা	s i n t a
<|असम|>চিৰা	s i ɹ a
<|असम|>চুটি	s u t i
<|असम|>চুটিগল্প	s u t i ɡ ɔ l p ɔ
<|असम|>চুৰিয়া	s u ɹ i a
<|असम|>চেঁচা	s ẽ s a
<|असम|>চেনি	s e n i
<|असम|>চেপেটা	s ɛ p ɛ t a
<|असम|>চেলা	s ɛ l a
<|असम|>চেহেৰা	s ɛ ɦ ɛ ɹ a
<|असम|>চোতাল	s ʊ t a l
<|असम|>চোলা	s ʊ l a
<|असम|>চোৰাং	s ʊ ɹ a ŋ
<|असम|>চোৰাংচোৱা	s ʊ ɹ a ŋ s ʊ a
<|असम|>চোৱা	s ʊ a
<|असम|>চৰকাৰ	s ɔ ɹ k a ɹ
<|असम|>চৰাই	s ɔ ɹ a ɪ
<|असम|>চৰিত্ৰ	s ɔ ɹ i t ɹ ɔ
<|असम|>ছটিওৱা	s ɔ t i ʊ a
<|असम|>ছবি	s ɔ b i
<|असम|>ছয়	s ɔ j
<|असम|>ছাগলী	s a ɡ ɔ l i
<|असम|>ছাবিছ	s a b i s
<|असम|>ছাল	s a l
<|असम|>ছিটা	s i t a
<|असम|>ছিপ	s i p
<|असम|>ছোৱা	s ʊ a
<|असम|>জঁ	z ɔ̃
<|असम|>জঁকা	z ɔ̃ k a
<|असम|>জকাই	z ɔ k a ɪ
<|असम|>জগোৱা	z ɔ ɡ ʊ a
<|असम|>জগৰীয়া	z ɔ ɡ ɔ ɹ i a
<|असम|>জঙাই	z ɔ ŋ a ɪ
<|असम|>জনা	z ɔ n a
<|असम|>জল	z ɔ l
<|असम|>জলকীয়া	z ɔ l ɔ k i a
<|असम|>জলবায়ু	z ɔ l ɔ b a j u
<|असम|>জাঁপ	z ã p
<|असम|>জাংফাই	z a ŋ pʰ a ɪ
<|असम|>জাক	z a k
<|असम|>জাতি	z a t i
<|असम|>জান	z a n
<|असम|>জাপ	z a p
<|असम|>জাম	z a m
<|असम|>জাল	z a l
<|असम|>জালুক	z a l u k
<|असम|>জাৰা	z a ɹ a
<|असम|>জিভা	z i bʱ a
<|असम|>জিৰণি	z i ɹ ɔ n i
<|असम|>জুতি	z u t i
<|असम|>জুপুৰি	z u p u ɹ i
<|असम|>জেং	z ɛ ŋ
<|असम|>জেঠী	z ɛ tʰ i
<|असम|>জোঁৱাই	z ʊ̃ a ɪ
<|असम|>জোক	z ʊ k
<|असम|>জোন	z ʊ n
<|असम|>জ্বলোৱা	z ɔ l ʊ a
<|असम|>জ্বৰ	z ɔ ɹ
<|असम|>জৰী	z ɔ ɹ i
<|असम|>টনা	t ɔ n a
<|असम|>টিভি	t i bʱ i
<|असम|>টুকুৰা	t u k u ɹ a
<|असम|>টুট	t u t
<|असम|>টুপী	t u p i
<|असम|>টেঙা	t ɛ ŋ a
<|असम|>টেমা	t ɛ m a
<|असम|>টোকা	t ʊ k a
<|असम|>টোপোলা	t ʊ p ʊ l a
<|असम|>ঠগা	tʰ ɔ ɡ a
<|असम|>ঠাল	tʰ a l
<|असम|>ঠেং	tʰ ɛ ŋ
<|असम|>ঠোঁট	tʰ ʊ̃ t
<|असम|>ডলা	d ɔ l a
<|असम|>ড়	ɾ ɔ
<|असम|>ডাক	d a k
<|असम|>ডাক্তৰ	d a k t ɔ ɹ
<|असम|>ডাঙৰ	d a ŋ ɔ ɹ
<|असम|>ডাঠ	d a tʰ
<|असम|>ডাব	d a b
<|असम|>ডাল	d a l
<|असम|>ডাৱৰ	d a ɔ ɹ
<|असम|>ডিঙি	d i ŋ i
<|असम|>ডিমা	d i m a
<|असम|>ডিল	d i l
<|असम|>ডেউকা	d ɛ u k a
<|असम|>ডেকা	d ɛ k a
<|असम|>ঢকা	dʱ ɔ k a
<|असम|>ঢাকনি	dʱ a k ɔ n i
<|असम|>ঢাকা	dʱ a k a
<|असम|>ঢাপ	dʱ a p
<|असम|>তই	t ɔ ɪ
<|असम|>তথা	t ɔ tʰ a
<|असम|>তপত	t ɔ p ɔ t
<|असम|>তবলা	t ɔ b ɔ l a
<|असम|>তল	t ɔ l
<|असम|>তলা	t ɔ l a
<|असम|>তাঁত	t ã t
<|असम|>তাই	t a ɪ
<|असम|>তাইক	t a ɪ k
<|असम|>তাইৰ	t a ɪ ɹ
<|असम|>তাও	t a ʊ
<|असम|>তাত	t a t
<|असम|>তাপ	t a p
<|असम|>তাল	t a l
<|असम|>তিতা	t i t a
<|असम|>তিনি	t i n i
<|असम|>তিল	t i l
<|असम|>তুমি	t u m i
<|असम|>তুলি	t u l i
<|असम|>তৃতীয়	t ɹ i t i ɔ
<|असम|>তেওঁ	t ɛ ʊ̃
<|असम|>তেওঁলোক	t ɛ ʊ̃ l ʊ k
<|असम|>তেখেত	t ɛ kʰ ɛ t
<|असम|>তেতিয়া	t ɛ t i a
<|असम|>তেনে	t ɛ n ɛ
<|असम|>তেনেহলে	t ɛ n ɛ ɦ ɔ l ɛ
<|असम|>তোপ	t ʊ p
<|असम|>তোমাৰ	t ʊ m a ɹ
<|असम|>তোলা	t ʊ l a
<|असम|>তৰা	t ɔ ɹ a
<|असम|>থকা	tʰ ɔ k a
<|असम|>থাইলেণ্ড	tʰ a ɪ l ɛ n d
<|असम|>থান	tʰ a n
<|असम|>থিয়	tʰ i ɔ
<|असम|>থোৱা	tʰ ʊ a
<|असम|>দবা	d ɔ b a
<|असम|>দলং	d ɔ l ɔ ŋ
<|असम|>দলম’ৰা	d ɔ l m o ɹ a
<|असम|>দহ	d ɔ ɦ
<|असम|>দা	d aː
<|असम|>দাঁত	d ã t
<|असम|>দালাল	d a l a l
<|असम|>দাহ	d aʱ
<|असम|>দিন	d i n
<|असम|>দিয়া	d i a
<|असम|>দীঘ	d i ɡ
<|असम|>দীঘলা	d i ɡʱ ɔ l a
<|असम|>দুই	d u i
<|असम|>দুৱাৰ	d u a ɹ
<|असम|>দে	d ɛ
<|असम|>দেউতা	d ɛ ʊ t a
<|असम|>দেহা	d ɛ ɦ a
<|असम|>দেৱনাগৰী	d ɛ w n a ɡ ɔ ɹ i
<|असम|>দৈকলা	d ɔ i k ɔ l a
<|असम|>দৈনিক	d o ɪ n i k
<|असम|>দোতোৰা	d ʊ t ʊ ɹ a
<|असम|>দোলা	d ʊ l a
<|असम|>দৌৰা	d o ʊ ɹ a
<|असम|>দ্বিতীয়	d i t i ɔ
<|असम|>দ্বীপ	d i p
<|असम|>দৰা	d ɔ ɹ a
<|असम|>দৰৱ	d ɒ ɹ ɒ β
<|असम|>ধঁপাত	dʱ ɔ̃ p a t
<|असम|>ধনিয়া	dʱ ɔ n i a
<|असम|>ধন্যবাদ	dʱ ɔ ɪ nː ɔ b a d
<|असम|>ধাতু	dʱ a t u
<|असम|>ধাননি	dʱ a n ɔ n i
<|असम|>ধুনীয়া	dʱ u n i a
<|असम|>ধূলি	dʱ u l i
<|असम|>ধেমালি	dʱ ɛ m a l i
<|असम|>ধোৱা	dʱ ʊ a
<|असम|>ধৰণ	dʱ ɔ ɹ ɔ n
<|असम|>ধৰ্ষণ	dʱ ɔ ɹ x ɔ n
<|असम|>নকল	n ɔ k ɔ l
<|असम|>নক্সা	n ɔ k s a
<|असम|>নগৰ	n ɔ ɡ ɔ ɹ
<|असम|>নতুন	n ɔ t u n
<|असम|>নদী	n ɔ d i
<|असम|>নমা	n ɔ m a
<|असम|>নম্বৰ	n ɔ m b ɔ ɹ
<|असम|>নহয়	n ɔ ɦ ɔ ɛ
<|असम|>নহ’লে	n ɔ ɦ o l ɛ
<|असम|>নাও	n a ʊ
<|असम|>নাক	n a k
<|असम|>নাঙল	n a ŋ ɔ l
<|असम|>নাট	n a t
<|असम|>নাটনি	n a t ɔ n i
<|असम|>নামনি	n a m ɔ n i
<|असम|>নামাজ	n a m a z
<|असम|>নাহৰ	n a ɦ ɔ ɹ
<|असम|>নিগনি	n i ɡ ɔ n i
<|असम|>নিজ	n i z
<|असम|>নিজা	n i z a
<|असम|>নিজে	n i z ɛ
<|असम|>নিজৰ	n i z ɔ ɹ
<|असम|>নিমখ	n i m ɔ kʰ
<|असम|>নিয়া	n i a
<|असम|>নিয়ৰ	n i ɔ ɹ
<|असम|>নীলা	n i l a
<|असम|>নে	n ɛ
<|असम|>নেজ	n ɛ z
<|असम|>নৈ	n o ɪ
<|असम|>পঘা	p ɔ ɡʱ a
<|असम|>পচোৱা	p ɔ s ʊ a
<|असम|>পঞ্চাছ	p ɔ n s a s
<|असम|>পঠোৱা	p ɔ tʰ ʊ a
<|असम|>পতা	p ɔ t a
<|असम|>পথাৰ	p ɔ tʰ a ɹ
<|असम|>পনীয়া	p ɔ n i a
<|असम|>পলম	p ɔ l ɔ m
<|असम|>পলু	p ɔ l u
<|असम|>পাঁচ	p ã s
<|असम|>পাক	p a k
<|असम|>পাকৈত	p a k o ɪ t
<|असम|>পাগ	p a ɡ
<|असम|>পাগুৰি	p a ɡ u ɹ i
<|असम|>পাচলি	p a s ɔ l i
<|असम|>পাতল	p a t ɔ l
<|असम|>পানী	p a n i
<|असम|>পাল	p a l
<|असम|>পালেং	p a l ɛ ŋ
<|असम|>পাহাৰ	p a ɦ a ɹ
<|असम|>পাহি	p a ɦ i
<|असम|>পিঠা	p i tʰ a
<|असम|>পিতা	p i t a
<|असम|>পিন্ধা	p i n dʱ a
<|असम|>পিপৰা	p i p ɔ ɹ a
<|असम|>পিয়াহ	p i aʱ
<|असम|>পুখুৰী	p u kʰ u ɹ i
<|असम|>পুথি	p u tʰ i
<|असम|>পুথিভঁৰাল	p u tʰ i bʱ ɔ̃ ɹ a l
<|असम|>পুলি	p u l i
<|असम|>পুৰণা	p u ɹ ɔ n a
<|असम|>পুৰণি	p u ɹ ɔ n i
<|असम|>পুৰুষ	p u ɹ u x
<|असम|>পুৱা	p u a
<|असम|>পূৰঠ	p u ɹ ɔ tʰ
<|असम|>পেঁপা	p ẽ p a
<|असम|>পেলোৱা	p ɛ l ʊ a
<|असम|>পৈণত	p o ɪ n ɔ t
<|असम|>পোক	p ʊ k
<|असम|>পোত	p ʊ t
<|असम|>পোতা	p ʊ t a
<|असम|>পোহা	p ʊ ɦ a
<|असम|>পোহৰ	p ʊ ɦ ɔ ɹ
<|असम|>পোহৰোৱা	p ʊ ɦ ɔ ɹ ʊ a
<|असम|>প্ৰাচীন	p ɹ a s i n
<|असम|>পৰা	p ɔ ɹ a
<|असम|>পৰিয়াল	p ɔ ɹ i a l
<|असम|>ফটো	pʰ ɔ t ʊ
<|असम|>ফণী	pʰ o n i
<|असम|>ফলা	pʰ ɔ l a
<|असम|>ফাট	pʰ a t
<|असम|>ফিৰিঙটি	pʰ i ɹ i ŋ ɔ t i
<|असम|>ফুটা	pʰ u t a
<|असम|>ফুলনিবাৰী	pʰ u l ɔ n i b a ɹ i
<|असम|>ফুলবাৰী	pʰ u l b a ɹ i
<|असम|>ফুৰা	pʰ u ɹ a
<|असम|>ফৰাচী	f ɔ ɹ a s i
<|असम|>ফৰিং	pʰ ɔ ɹ i ŋ
<|असम|>বঁটা	b ɔ̃ t a
<|असम|>বগা	b ɔ ɡ a
<|असम|>বঙাল	b ɔ ŋ a l
<|असम|>বছৰ	b ɔ s ɔ ɹ
<|असम|>বছৰি	b ɔ s ɔ ɹ i
<|असम|>বছৰেকীয়া	b ɔ s ɔ ɹ ɛ k i a
<|असम|>বজাৰ	b ɔ z a ɹ
<|असम|>বজোৱা	b ɔ z ʊ a
<|असम|>বটল	b ɔ t ɔ l
<|असम|>বটা	b ɔ t a
<|असम|>বতাহ	b ɔ t aʱ
<|असम|>বতৰা	b ɔ t ɔ ɹ a
<|असम|>বন	b ɔ n
<|असम|>বনোৱা	b ɔ n ʊ a
<|असम|>বন্ধা	b ɔ n dʱ a
<|असम|>বমি	b ɔ m i
<|असम|>বল	b ɔ l
<|असम|>বস্তু	b ɔ s t u
<|असम|>বহল	b ɔ ɦ ɔ l
<|असम|>বাঁহ	b ãʱ
<|असम|>বাঁহগাজ	b ãʱ ɡ a z
<|असम|>বাঁহী	b ã ɦ i
<|असम|>বাই	b a ɪ
<|असम|>বাইছ	b a ɪ s
<|असम|>বাউল	b a u l
<|असम|>বাওঁফালে	b a ʊ̃ pʰ a l ɛ
<|असम|>বাকলি	b a k ɔ l i
<|असम|>বাকী	b a k i
<|असम|>বাছ	b a s
<|असम|>বাটি	b a t i
<|असम|>বাঢ়ৈটোকা	b a ɹʱ o ɪ t ʊ k a
<|असम|>বাতৰি	b a t ɔ ɹ i
<|असम|>বাধা	b a dʱ a
<|असम|>বানান	b a n a n
<|असम|>বাম	b a m
<|असम|>বাল	b a l
<|असम|>বালি	b a l i
<|असम|>বাসিন্দা	b a x i n d a
<|असम|>বাহ	b aʱ
<|असम|>বাহিৰ	b a ɦ i ɹ
<|असम|>বাহিৰত	b a ɦ i ɹ ɔ t
<|असम|>বাহিৰা	b a ɦ i ɹ a
<|असम|>বাহিৰে	b a ɦ i ɹ ɛ
<|असम|>বাহু	b a ɦ u
<|असम|>বাৰিষা	b a ɹ i x a
<|असम|>বিঘা	b i ɡʱ a
<|असम|>বিচ	b i s
<|असम|>বিচাৰ	b i s a ɹ
<|असम|>বিচৰা	b i s ɔ ɹ a
<|असम|>বিছনা	b i s ɔ n a
<|असम|>বিছা	b i s a
<|असम|>বিজুলী	b i z u l i
<|असम|>বিনামূলীয়া	b i n a m u l i a
<|असम|>বিন্ধা	b i n dʱ a
<|असम|>বিভেদ	b i bʱ ɛ d
<|असम|>বিমানবন্দৰ	b i m a n b ɔ n d ɔ ɹ
<|असम|>বিয়া	b i a
<|असम|>বিলাই	b i l a ɪ
<|असम|>বিলাহী	b i l a ɦ i
<|असम|>বিষ	b i x
<|असम|>বিহু	b i ɦ u
<|असम|>বুলি	b u l i
<|असम|>বেং	b ɛ ŋ
<|असम|>বেংক	b ɛ ŋ k
<|असम|>বেগ	b ɛ ɡ
<|असम|>বেঙেনা	b ɛ ŋ ɛ n a
<|असम|>বেছি	b ɛ s i
<|असम|>বেজ	b ɛ z
<|असम|>বেজী	b e z i
<|असम|>বেমাৰ	b ɛ m a ɹ
<|असम|>বেয়া	b ɛ a
<|असम|>বেলা	b ɛ l a
<|असम|>বেলি	b e l i
<|असम|>বেৰ	b ɛ ɹ
<|असम|>বেৰা	b ɛ ɹ a
<|असम|>বোকা	b ʊ k a
<|असम|>বোল	b ʊ l
<|असम|>বোলা	b ʊ l a
<|असम|>বোৱাৰী	b ʊ a ɹ i
<|असम|>ব্যাখ্যা	b a ɪ k kʰ a
<|असम|>ব্ৰহ্মপুত্ৰ	b ɹ ɔ ɦ m ɔ p u t ɹ ɔ
<|असम|>বৰ	b ɔ ɹ
<|असम|>বৰণ	b ɔ ɹ ɔ n
<|असम|>বৰণীয়া	b ɔ ɹ ɔ n i a
<|असम|>বৰদৈচিলা	b ɔ ɹ d o ɪ s i l a
<|असम|>বৰষুণ	b ɔ ɹ ɔ x u n
<|असम|>বৰা	b ɔ ɹ a
<|असम|>ব’হাগ	b oʱ a ɡ
<|असम|>ভকত	bʱ ɔ k ɔ t
<|असम|>ভগোৱা	bʱ ɔ ɡ ʊ a
<|असम|>ভতাৰ	bʱ ɔ t a ɹ
<|असम|>ভাওনা	bʱ a ʊ n a
<|असम|>ভাগ	bʱ a ɡ
<|असम|>ভাগৰ	bʱ a ɡ ɔ ɹ
<|असम|>ভাট	bʱ a t
<|असम|>ভাটৌ	bʱ a t o ʊ
<|असम|>ভাত	bʱ a t
<|असम|>ভাল	bʱ a l
<|असम|>ভালকৈ	bʱ a l k o ɪ
<|असम|>ভালপোৱা	bʱ a l p ʊ a
<|असम|>ভাষা	bʱ a x a
<|असम|>ভাৰত	bʱ a ɹ ɔ t
<|असम|>ভাৰতীয়	bʱ a ɹ ɔ t i ɔ
<|असम|>ভিতৰত	bʱ i t ɔ ɹ ɔ t
<|असम|>ভিতৰুৱা	bʱ i t ɔ ɹ u a
<|असम|>ভুৱা	bʱ u a
<|असम|>ভূত	bʱ u t
<|असम|>ভেটি	bʱ ɛ t i
<|असम|>ভোক	bʱ ʊ k
