<|GER|>ab	a p
<|GER|>ausser	a ʊ̯ s ɐ
<|GER|>ausserhalb	a ʊ̯ s ɐ h a l p
<|GER|>ausstellung	a ʊ̯ s ʃ t ɛ l ʊ ŋ
<|GER|>bahn	b aː n
<|GER|>bayern	b a ɪ̯ ɐ n
<|GER|>beckmann	b ɛ k m a n
<|GER|>bedarf	b ə d a ʁ f
<|GER|>befürworten	b ə f yː ɐ̯ v ɔ ʁ t n̩
<|GER|>befürworter	b ə f yː ɐ̯ v ɔ ʁ t ɐ
<|GER|>begeistert	b ə ɡ a ɪ̯ s t ɐ t
<|GER|>behandlung	b ə h a n d l ʊ ŋ
<|GER|>behinderung	b ə h ɪ n d ə ʁ ʊ ŋ
<|GER|>beifahrer	b a ɪ̯ f aː ʁ ɐ
<|GER|>bein	b a ɪ̯ n
<|GER|>beispielsweise	b a ɪ̯ ʃ p iː l s v a ɪ̯ z ə
<|GER|>bekannt	b ə k a n t
<|GER|>bekenntnis	b ə k ɛ n t n ɪ s
<|GER|>bekommen	b ə k ɔ m ə n
<|GER|>bekämpft	b ə k ɛ m f t
<|GER|>berauben	b ə ʁ a ʊ̯ b n̩
<|GER|>bereich	b ə ʁ a ɪ̯ ç
<|GER|>bereit	b ə ʁ a ɪ̯ t
<|GER|>bergland	b ɛ ʁ k l a n t
<|GER|>beschluss	b ə ʃ l ʊ s
<|GER|>beschlussfähig	b ə ʃ l ʊ s f ɛː ɪ ç
<|GER|>beschweren	b ə ʃ v eː ʁ ə n
<|GER|>besprechen	b ə ʃ p ʁ ɛ ç ə n
<|GER|>besser	b ɛ s ɐ
<|GER|>bestellung	b ə ʃ t ɛ l ʊ ŋ
<|GER|>besuch	b ə z uː χ
<|GER|>besucher	b ə z uː x ɐ
<|GER|>bettina	b ɛ t iː n a
<|GER|>bevölkerung	b ə f œ l k ə ʁ ʊ ŋ
<|GER|>bewahren	b ə v aː ʁ ə n
<|GER|>bewohner	b ə v oː n ɐ
<|GER|>bewährungsstrafe	b ə v ɛː ʁ ʊ ŋ s ʃ t ʁ aː f ə
<|GER|>beziehung	b ə t s iː ʊ ŋ
<|GER|>bezirk	b ə t͡s ɪ ʁ k
<|GER|>bezwingen	b ə t͡s v ɪ ŋ ə n
<|GER|>bieten	b iː t ə n
<|GER|>bilden	b ɪ l d ə n
<|GER|>bildung	b ɪ l d ʊ ŋ
<|GER|>bin	b ɪ n
<|GER|>bisher	b ɪ s h eː ɐ̯
<|GER|>bislang	b ɪ s l a ŋ
<|GER|>bitte	b ɪ t ə
<|GER|>bleiben	b l a ɪ̯ b ə n
<|GER|>breit	b ʁ a ɪ̯ t
<|GER|>breite	b ʁ a ɪ̯ t ə
<|GER|>bremsen	b ʁ ɛ m z ə n
<|GER|>brot	b ʁ oː t
<|GER|>brutaler	b ʁ u t aː l ɐ
<|GER|>bund	b ʊ n t
<|GER|>bundestag	b ʊ n d ə s t aː k
<|GER|>bundeswehr	b ʊ n d ə s v eː ɐ̯
<|GER|>bäume	b ɔ ʏ m ə
<|GER|>böse	b øː z ə
<|GER|>bürgermeister	b ʏ ʁ ɡ ɐ m a ɪ̯ s t ɐ
<|GER|>dafür	d a f yː ʁ
<|GER|>dagegen	d a ɡ eː ɡ ŋ̩
<|GER|>danach	d a n aː χ
<|GER|>dann	d a n
<|GER|>daran	d a ʁ a n
<|GER|>dass	d a s
<|GER|>decke	d ɛ k ə
<|GER|>deiner	d a ɪ̯ n ɐ
<|GER|>demnach	d eː m n aː x
<|GER|>denen	d eː n ə n
<|GER|>denkfehler	d ɛ ŋ k f eː l ɐ
<|GER|>denn	d ɛ n
<|GER|>derzeit	d eː ɐ̯ t͡s a ɪ̯ t
<|GER|>deshalb	d ɛ s h a l p
<|GER|>dessen	d ɛ s ə n
<|GER|>deutscher	d ɔ ɪ̯ t͡ʃ ɐ
<|GER|>dezember	d e t s ɛ m b ɐ
<|GER|>dinge	d ɪ ŋ ə
<|GER|>diskutieren	d ɪ s k u t iː ʁ ə n
<|GER|>diversität	d i v ɛ ʁ z i t ɛː t
<|GER|>draussen	d r a ʊ̯ s ə n
<|GER|>drei	d ʁ a ɪ̯
<|GER|>dritte	d r ɪ t ə
<|GER|>drosselung	d ʁ ɔ s ə l ʊ ŋ
<|GER|>druck	d ʁ ʊ k
<|GER|>drücken	d ʁ ʏ k ə n
<|GER|>durchschnittlich	d ʊ ɐ̯ ç ʃ n ɪ t l ɪ ç
<|GER|>durchsuchung	d ʊ ʁ ç z uː χ ʊ ŋ
<|GER|>dürfen	d ʏ r f ə n
<|GER|>ebenso	eː b ə n z oː
<|GER|>ecke	ɛ k ə
<|GER|>eckert	ɛ k ɐ t
<|GER|>eher	eː ə ʁ
<|GER|>einbruch	a ɪ̯ n b ʁ ʊ x
<|GER|>eine	ʔ a ɪ̯ n ə
<|GER|>einem	a ɪ̯ n ə m
<|GER|>einfach	ʔ a ɪ̯ n f a x
<|GER|>einfallen	a ɪ̯ n f a l ə n
<|GER|>einheiten	a ɪ̯ n h a ɪ̯ t ə n
<|GER|>einher	a ɪ̯ n h eː ɐ̯
<|GER|>einkaufen	a ɪ̯ n k a ʊ̯ f ə n
<|GER|>einlagern	ʔ a ɪ n l aː ɡ ɐ n
<|GER|>einlassung	a ɪ̯ n l a s ʊ ŋ
<|GER|>einleitung	a ɪ̯ n l a ɪ̯ t ʊ ŋ
<|GER|>einmal	a ɪ̯ n m aː l
<|GER|>einnehmend	a ɪ̯ n n eː m ə n t
<|GER|>einrichtung	ʔ a ɪ̯ n ʁ ɪ ç t ʊ ŋ
<|GER|>einsatz	ʔ a ɪ̯ n z a t s
<|GER|>einsteiger	a ɪ n ʃ t ɐ ɪ ɡ ɐ
<|GER|>einstellung	a ɪ̯ n ʃ t ɛ l ʊ ŋ
<|GER|>einwohner	a ɪ̯ n v oː n ɐ
<|GER|>empfehlen	ʔ ɛ m p f eː l ə n
<|GER|>empfehlung	ɛ m p f eː l ʊ ŋ
<|GER|>empört	ɛ m p øː ɐ̯ t
<|GER|>endlich	ɛ n t l ɪ ç
<|GER|>entscheidung	ʔ ɛ n t ʃ a ɪ̯ d ʊ ŋ
<|GER|>enttäuschend	ɛ n t t ɔ ɪ̯ ʃ n̩ t
<|GER|>erdnuss	eː ɐ̯ t n ʊ s
<|GER|>erdreich	eː ɐ̯ t ʁ a ɪ̯ ç
<|GER|>erforderlich	ɛ ɐ̯ f ɔ ʁ d ɐ l ɪ ç
<|GER|>ergebnisse	ɛ ɐ̯ ɡ eː p n ɪ s ə
<|GER|>erkrankung	ɛ r k r a ŋ k ʊ ŋ
<|GER|>erleichtern	ʔ ɛ ɐ̯ l a ɪ̯ ç t ɐ n
<|GER|>erleichterung	ɛ ɐ̯ l a ɪ̯ ç t ə ʁ ʊ ŋ
<|GER|>ermittler	ɛ ɐ̯ m ɪ t l ɐ
<|GER|>erneut	ɛ ʁ n ɔ ɪ̯ t
<|GER|>ernüchternd	ɛ ɐ̯ n ʏ ç t ɐ n t
<|GER|>erreichen	ɛ ɐ̯ ʁ a ɪ̯ ç ə n
<|GER|>erst	eː r s t
<|GER|>erste	eː r s t ə
<|GER|>erster	eː ɐ̯ s t ɐ
<|GER|>erwachsene	ɛ ɐ̯ v a k s ə n ə
<|GER|>erweitern	ʔ ɛ ɐ̯ v a ɪ̯ t ɐ n
<|GER|>essen	ɛ s ə n
<|GER|>etwa	ɛ t v a
<|GER|>etwas	ɛ t v a s
<|GER|>eventuell	e v ɛ n t u̯ ɛ l
<|GER|>existieren	ɛ k s ɪ s t iː ʁ ə n
<|GER|>fahndung	f aː n d ʊ ŋ
<|GER|>fand	f a n t
<|GER|>farbe	f a r b ə
<|GER|>farbenfroh	f a ʁ b n̩ f ʁ oː
<|GER|>fass	f a s
<|GER|>faustschlag	f a ʊ̯ s t ʃ l aː k
<|GER|>februar	f eː b r u aː r
<|GER|>fehler	f eː l ɐ
<|GER|>feld	f ɛ l t
<|GER|>fell	f ɛ l
<|GER|>fenster	f ɛ n s t ɐ
<|GER|>festlegen	f ɛ s t l eː ɡ ə n
<|GER|>feststellen	f ɛ s t ʃ t ɛ l ə n
<|GER|>feuer	f ɔ ʏ̯ ə r
<|GER|>findet	f ɪ n d ə t
<|GER|>flagge	f l a ɡ ə
<|GER|>fleisch	f l a ɪ̯ ʃ
<|GER|>flick	f l ɪ k
<|GER|>fläche	f l ɛ ç ə
<|GER|>fokus	f oː k ʊ s
<|GER|>folge	f ɔ l ɡ ə
<|GER|>form	f ɔ ʁ m
<|GER|>formulieren	f ɔ ʁ m u l iː ʁ ə n
<|GER|>fracht	f r a x t
<|GER|>fragen	f ʁ aː ɡ ə n
<|GER|>fraglich	f ʁ aː k l ɪ ç
<|GER|>frauen	f ʁ a ʊ ə n
<|GER|>freiburg	f ʁ a ɪ̯ b ʊ ʁ k
<|GER|>freien	f ʁ a ɪ̯ ə n
<|GER|>freude	f ʁ ɔ ʏ̯ d ə
<|GER|>freundin	f ʁ ɔ ʏ̯ n d ɪ n
<|GER|>frisch	f ʁ ɪ ʃ
<|GER|>front	f ʁ ɔ n t
<|GER|>frühjahrsputz	f ʁ yː j aː ɐ̯ s p ʊ t s
<|GER|>frühzeitig	f ʁ yː t͡s a ɪ̯ t ɪ ç
<|GER|>fährt	f ɛː r t
<|GER|>fälle	f ɛ l ə
<|GER|>fällen	f ɛ l ə n
<|GER|>fällt	f ɛ l t
<|GER|>fühlen	f yː l ə n
<|GER|>führung	f yː ʁ ʊ ŋ
<|GER|>füssen	f ʏ s n̩
<|GER|>gab	ɡ aː p
<|GER|>ganz	ɡ a n t s
<|GER|>ganze	ɡ a n t s ə
<|GER|>gebe	ɡ eː b ə
<|GER|>gedanken	ɡ ə d a ŋ k ə n
<|GER|>gefecht	ɡ ə f ɛ ç t
<|GER|>gefährlich	ɡ ə f ɛː ɐ̯ l ɪ ç
<|GER|>gefällt	ɡ ə f ɛ l t
<|GER|>gefühle	ɡ ə f yː l ə
<|GER|>gegen	ɡ e ɡ ə n
<|GER|>gegenteil	ɡ eː ɡ n̩ t a ɪ̯ l
<|GER|>geht	ɡ eː t
<|GER|>geht's	ɡ eː t s
<|GER|>gehört	ɡ ə h øː ɐ̯ t
<|GER|>geldanlage	ɡ ɛ l t ʔ a n l aː ɡ ə
<|GER|>gelesen	ɡ ə l eː z ə n
<|GER|>geliebt	ɡ ə l iː p t
<|GER|>gemacht	ɡ ə m a x t
<|GER|>gemeinde	ɡ ə m a ɪ̯ n d ə
<|GER|>gemusst	ɡ ə m ʊ s t
<|GER|>genauso	ɡ ə n a ʊ̯ z oː
<|GER|>genügen	ɡ ə n yː ɡ n̩
<|GER|>gerechtigkeit	ɡ ə ʁ ɛ ç t ɪ ç k a ɪ̯ t
<|GER|>gericht	ɡ ə ʁ ɪ ç t
<|GER|>gerne	ɡ ɛ r n ə
<|GER|>gesang	ɡ ə z a ŋ
<|GER|>gescheitert	ɡ ə ʃ a ɪ̯ t ɐ t
<|GER|>geschichte	ɡ ə ʃ ɪ ç t ə
<|GER|>geschäft	ɡ ə ʃ ɛ f t
<|GER|>geschätzt	ɡ ə ʃ ɛ t͡s t
<|GER|>gesellschaft	ɡ ə z ɛ l ʃ a f t
<|GER|>gesetzgeber	ɡ ə z ɛ t s ɡ eː b ɐ
<|GER|>gesetzlich	ɡ ə z ɛ t͡s l ɪ ç
<|GER|>gespenst	ɡ ə ʃ p ɛ n s t
<|GER|>gesprochen	ɡ ə ʃ p ʁ ɔ x n̩
<|GER|>gespräch	ɡ ə ʃ p ʁ ɛː ç
<|GER|>gestaltung	ɡ ə ʃ t a l t ʊ ŋ
<|GER|>gestellt	ɡ ə ʃ t ɛ l t
<|GER|>gestorben	ɡ ə ʃ t ɔ ʁ b ə n
<|GER|>gesundheit	ɡ ə z ʊ n t h a ɪ̯ t
<|GER|>getan	ɡ ə t aː n
<|GER|>getöse	ɡ ə t øː z ə
<|GER|>gewesen	ɡ ə v eː z ə n
<|GER|>gewinnen	ɡ ə v ɪ n ə n
<|GER|>gewiss	ɡ ə v ɪ s
<|GER|>gewährleisten	ɡ ə v ɛː ʁ l a ɪ̯ s t ə n
<|GER|>giessen	ɡ iː s ə n
<|GER|>gilt	ɡ ɪ l t
<|GER|>ging	ɡ ɪ ŋ
<|GER|>gitarrist	ɡ i t a ʁ ɪ s t
<|GER|>glasfaser	ɡ l aː s f aː z ɐ
<|GER|>gleich	ɡ l a ɪ̯ ç
<|GER|>gleichen	ɡ l a ɪ̯ ç ə n
<|GER|>gliederung	ɡ l iː d ə ʁ ʊ ŋ
<|GER|>grad	ɡ ʁ aː t
<|GER|>grossbritannien	ɡ ʁ oː s b ʁ ɪ t a n j ə n
<|GER|>grossen	ɡ ʁ oː s n̩
<|GER|>grosses	ɡ ʁ oː s ə s
<|GER|>grundstück	ɡ ʁ ʊ n t ʃ t ʏ k
<|GER|>grösser	ɡ ʁ øː s ɐ
<|GER|>grösstenteils	ɡ ʁ øː s t ə n t a ɪ̯ l s
<|GER|>gärtner	ɡ ɛ ʁ t n ɐ
<|GER|>günther	ɡ ʏ n t ɐ
<|GER|>habe	h aː b ə
<|GER|>halt	h a l t
<|GER|>haltbar	h a l t b aː ʁ
<|GER|>hanau	h aː n a ʊ̯
<|GER|>handy	h ɛ n d i
<|GER|>hatte	h a t ə
<|GER|>hauptstadt	h a ʊ̯ p t ʃ t a t
<|GER|>haushund	h a ʊ̯ s h ʊ n t
<|GER|>hektar	h ɛ k t aː ɐ̯
<|GER|>helfen	h ɛ l f n̩
<|GER|>herbst	h ɛ ʁ p s t
<|GER|>herrgottswinkel	h ɛ ʁ ɡ ɔ t͡s v ɪ ŋ k l̩
<|GER|>herrschaft	h ɛ ʁ ʃ a f t
<|GER|>hersteller	h eː ɐ̯ ʃ t ɛ l ɐ
<|GER|>herzen	h ɛ ʁ t s n̩
<|GER|>heuer	h ɔ ʏ̯ ɐ
<|GER|>hilfreich	h ɪ l f ʁ a ɪ̯ ç
<|GER|>hinten	h ɪ n t ə n
<|GER|>hinter	h ɪ n t ɐ
<|GER|>hinterlassen	h ɪ n t ɐ l a s n̩
<|GER|>hoffentlich	h ɔ f n̩ t l ɪ ç
<|GER|>hoffnung	h ɔ f n ʊ ŋ
<|GER|>husten	h uː s t ə n
<|GER|>hätte	h ɛ t ə
<|GER|>höhe	h øː ə
<|GER|>hörsaal	h øː ɐ̯ z aː l
<|GER|>ich	ɪ ç
<|GER|>ideen	i d eː ə n
<|GER|>ihrem	ʔ iː ʁ ə m
<|GER|>illegal	ɪ l e ɡ aː l
<|GER|>im	ɪ m
<|GER|>immer	ɪ m ɐ
<|GER|>impfung	ɪ m p͡f ʊ ŋ
<|GER|>indem	ɪ n d eː m
<|GER|>inne	ɪ n ə
<|GER|>innerhalb	ɪ n ɐ h a l p
<|GER|>insbesondere	ɪ n s b ə z ɔ n d ə ʁ ə
<|GER|>insgesamt	ɪ n s ɡ ə z a m t
<|GER|>intensiv	ɪ n t ɛ n z iː f
<|GER|>interessiert	ɪ n t ə ʁ s iː ɐ̯ t
<|GER|>investieren	ɪ n v ɛ s t iː ʁ ə n
<|GER|>inzidenz	ɪ n t͡s i d ɛ n t͡s
<|GER|>inzwischen	ɪ n t͡s v ɪ ʃ n̩
<|GER|>jahr	j aː r
<|GER|>jahre	j aː ʁ ə
<|GER|>jahrgang	j aː ɐ̯ ɡ a ŋ
<|GER|>jede	j eː d ə
<|GER|>jeden	j eː d n̩
<|GER|>jedenfalls	j eː d ə n f a l s
<|GER|>jedes	j eː d ə s
<|GER|>jedoch	j eː d ɔ x
<|GER|>jemand	j eː m a n t
<|GER|>jeweils	j eː v a ɪ̯ l s
<|GER|>jugendliche	j uː ɡ ə n t l ɪ ç ə
<|GER|>junge	j ʊ ŋ ə
<|GER|>jägers	j ɛː ɡ ɐ s
<|GER|>jährlich	j ɛː ɐ̯ l ɪ ç
<|GER|>kaiser	k a ɪ̯ z ɐ
<|GER|>kaiserslautern	k a ɪ z ɐ s l a ʊ t ɐ n
<|GER|>kampagne	k a m p a n j ə
<|GER|>kann	k a n
<|GER|>kanzlerin	k a n t s l ə ʁ ɪ n
<|GER|>kaum	k a ʊ̯ m
<|GER|>kehren	k eː ʁ ə n
<|GER|>kein	k a ɪ̯ n
<|GER|>keine	k a ɪ̯ n ə
<|GER|>kennzeichen	k ɛ n t s a ɪ ç ə n
<|GER|>kinder	k ɪ n d ɐ
<|GER|>kippen	k ɪ p ə n
<|GER|>klimakrise	k l iː m a k ʁ iː z ə
<|GER|>konnte	k ɔ n t ə
<|GER|>konsole	k ɔ n z oː l ə
<|GER|>konstant	k ɔ n s t a n t
<|GER|>konstantinopel	k ɔ n s t a n t i n oː p l̩
<|GER|>korrigieren	k ɔ ʁ i ɡ iː ʁ ə n
<|GER|>kraft	k ʁ a f t
<|GER|>kreisssaal	k ʁ a ɪ̯ s z aː l
<|GER|>kreisverkehr	k ʁ a ɪ̯ s f ɛ ɐ̯ k eː ɐ̯
<|GER|>krise	k ʁ iː z ə
<|GER|>kunden	k ʊ n d ə n
<|GER|>kurz	k ʊ ʁ t͡s
<|GER|>kurzarbeit	k ʊ ʁ t͡s ʔ a ʁ b a ɪ̯ t
<|GER|>kämpfen	k ɛ m p f ə n
<|GER|>könne	k œ n ə
<|GER|>können	k œ n ə n
<|GER|>könnt	k œ n t
<|GER|>könnte	k œ n t ə
<|GER|>körper	k œ r p ə r
<|GER|>kürzlich	k ʏ ʁ t s l ɪ ç
<|GER|>küster	k ʏ s t ɐ
<|GER|>lage	l aː ɡ ə
<|GER|>landkreis	l a n t k ʁ a ɪ̯ s
<|GER|>langen	l a ŋ ə n
<|GER|>laut	l a ʊ̯ t
<|GER|>leben	l eː b ə n
<|GER|>lebenspartner	l eː b n̩ s p a ʁ t n ɐ
<|GER|>lebt	l eː p t
<|GER|>leicht	l a ɪ̯ ç t
<|GER|>leise	l a ɪ z ə
<|GER|>leisten	l a ɪ̯ s t n̩
<|GER|>lernen	l ɛ ɐ n ə n
<|GER|>lesen	l eː z n̩
<|GER|>letzte	l ɛ t͡s t ə
<|GER|>letztlich	l ɛ t s t l ɪ ç
<|GER|>lieber	l iː b ɐ
<|GER|>linken	l ɪ ŋ k ə n
<|GER|>literatur	l ɪ t ə ʁ a t uː ɐ̯
<|GER|>losfahren	l oː s f aː ʁ ə n
<|GER|>losgehen	l oː s ɡ eː ə n
<|GER|>luft	l ʊ f t
<|GER|>lässt	l ɛ s t
<|GER|>lösung	l øː z ʊ ŋ
<|GER|>machte	m a x t ə
<|GER|>magazin	m a ɡ a t s iː n
<|GER|>magdeburg	m a k d ə b ʊ ʁ k
<|GER|>manch	m a n ç
<|GER|>mandat	m a n d aː t
<|GER|>manko	m a ŋ k o
<|GER|>mann	m a n
<|GER|>marke	m a ʁ k ə
<|GER|>massiv	m a s iː f
<|GER|>massnahmen	m aː s n aː m ə n
<|GER|>matthias	m a t iː a s
<|GER|>mau	m a ʊ̯
<|GER|>mechanismus	m e ç a n ɪ s m ʊ s
<|GER|>meine	m a ɪ̯ n ə
<|GER|>meiner	m a ɪ̯ n ɐ
<|GER|>meistens	m a ɪ̯ s t n̩ s
<|GER|>mich	m ɪ ç
<|GER|>mikrofon	m i k ʁ o f oː n
<|GER|>mild	m ɪ l t
<|GER|>milliarde	m ɪ l j aː d ə
<|GER|>ministerpräsident	m i n ɪ s t ɐ p ʁ ɛː z i d ɛ n t
<|GER|>minute	m i n uː t ə
<|GER|>mit	m ɪ t
<|GER|>mitarbeiter	m ɪ t a r b a ɪ̯ t ə r
<|GER|>mitglieder	m ɪ t ɡ l iː d ɐ
<|GER|>mitgliedern	m ɪ t ɡ l iː d ɐ n
<|GER|>mithilfe	m ɪ t h ɪ l f ə
<|GER|>mitte	m ɪ t ə
<|GER|>mitteilen	m ɪ t t a ɪ̯ l ə n
<|GER|>mittelfeld	m ɪ t ə l f ɛ l t
<|GER|>mitternacht	m ɪ t ɐ n a χ t
<|GER|>mittwoch	m ɪ t v ɔ x
<|GER|>mobilität	m o b i l i t ɛː t
<|GER|>moderne	m o d ɛ ʁ n ə
<|GER|>monate	m oː n a t ə
<|GER|>monats	m oː n a t͡s
<|GER|>moral	m o ʁ aː l
<|GER|>musiker	m uː z i k ɐ
<|GER|>muss	m ʊ s
<|GER|>musste	m ʊ s t ə
<|GER|>männer	m ɛ n ɐ
<|GER|>möchte	m œ ç tʰ ə
<|GER|>möglich	m øː k l ɪ ç
<|GER|>möglichkeit	m øː k l ɪ ç k a ɪ̯ t
<|GER|>müller	m ʏ l ɐ
<|GER|>müsse	m ʏ s ə
<|GER|>müssen	m ʏ s ə n
<|GER|>müsste	m ʏ s t ə
<|GER|>nachrichtenagentur	n aː χ ʁ ɪ ç t ə n a ɡ ɛ n t uː ɐ
<|GER|>nacken	n a k ə n
<|GER|>nahe	n aː ə
<|GER|>nase	n aː z ə
<|GER|>nasenloch	n aː z ə n l ɔ χ
<|GER|>nazis	n aː t s iː s
<|GER|>nebst	n eː p s t
<|GER|>nennen	n ɛ n ə n
<|GER|>nennwert	n ɛ n v eː r t
<|GER|>nett	n ɛ t
<|GER|>netz	n ɛ t͡s
<|GER|>neu	n ɔ ʏ̯
<|GER|>neudeutsch	n ɔ ɪ̯ d ɔ ɪ̯ t͡ʃ
<|GER|>neun	n ɔ ʏ̯ n
<|GER|>niederlande	n iː d ɐ l a n d ə
<|GER|>niedersachsen	n iː d ɐ z a k s ə n
<|GER|>niederösterreich	n iː d ɐ ʔ øː s t ə ʁ a ɪ̯ ç
<|GER|>normalerweise	n ɔ ʁ m aː l ɐ v a ɪ̯ z ə
<|GER|>notfall	n oː t f a l
<|GER|>notstand	n oː t ʃ t a n t
<|GER|>oben	ʔ oː b ə n
<|GER|>offenbar	ɔ f n̩ b aː ɐ̯
<|GER|>offiziell	ɔ f i t s j ɛ l
<|GER|>oft	ɔ f t
<|GER|>ohne	oː n ə
<|GER|>ohnehin	oː n ə h ɪ n
<|GER|>ordnungsgemäss	ɔ ʁ d n ʊ ŋ s ɡ ə m ɛː s
<|GER|>ortschaft	ɔ ʁ t ʃ a f t
<|GER|>ostersonntag	oː s t ɐ z ɔ n t aː k
<|GER|>pappbecher	p a p b ɛ ç ɐ
<|GER|>pariser	p a ʁ iː z ɐ
<|GER|>parkplatz	p a r k p l a t͡s
<|GER|>parteipolitik	p a ʁ t a ɪ̯ p o l i t iː k
<|GER|>pfleger	p f l eː ɡ ɐ
<|GER|>phase	f aː z ə
<|GER|>pilgern	p ɪ l ɡ ɐ n
<|GER|>pkw	p eː k a v eː
<|GER|>planen	p l aː n ə n
<|GER|>podest	p o d ɛ s t
<|GER|>polarstern	p o l aː ɐ̯ ʃ t ɛ ɐ̯ n
<|GER|>polizist	p o l i t͡s ɪ s t
<|GER|>polizisten	p o l i t͡s ɪ s t ə n
<|GER|>portugiesin	p ɔ ʁ t u ɡ iː z ɪ n
<|GER|>postfach	p ɔ s t f a χ
<|GER|>premierministerin	p ʁ e m j eː m i n ɪ s t ɐ ʁ ɪ n
<|GER|>prinz	p ʁ ɪ n t͡s
<|GER|>probieren	p ʁ o b iː ʁ ə n
<|GER|>profi	p ʁ oː f i
<|GER|>profitieren	p ʁ o f i t iː ʁ ə n
<|GER|>prognose	p ʁ o ɡ n oː z ə
<|GER|>programm	p r o ɡ r a m
<|GER|>projekt	p ʁ o j ɛ k t
<|GER|>promille	p ʁ o m ɪ l ə
<|GER|>prominenter	p ʁ ɔ m i n ɛ n t ɐ
<|GER|>publikum	p uː b l iː k ʊ m
<|GER|>quer	k v eː ɐ̯
<|GER|>querdenker	k v eː ɐ̯ d ɛ ŋ k ɐ
<|GER|>rahmen	ʁ aː m ə n
<|GER|>raum	ʁ a ʊ̯ m
<|GER|>rechnen	ʁ ɛ ç n ə n
<|GER|>regierung	ʁ ə ɡ iː ʁ ʊ ŋ
<|GER|>reicher	ʁ a ɪ̯ ç ɐ
<|GER|>reichlich	ʁ a ɪ̯ ç l ɪ ç
<|GER|>reihe	ʁ a ɪ̯ ə
<|GER|>rekord	ʁ e k ɔ ʁ t
<|GER|>rendite	ʁ ɛ n d iː t ə
<|GER|>respektive	r e s p ɛ k t iː v e
<|GER|>richtung	ʁ ɪ ç t ʊ ŋ
<|GER|>richtungen	ʁ ɪ ç t ʊ ŋ
<|GER|>rote	ʁ oː t ə
<|GER|>russe	ʁ ʊ s ə
<|GER|>räume	ʁ ɔ ɪ̯ m ə
<|GER|>räumen	ʁ ɔ ɪ̯ m ə n
<|GER|>rückzug	ʁ y k t s uː k
<|GER|>saal	z aː l
<|GER|>sache	z a x ə
<|GER|>sachen	z a x n̩
<|GER|>sage	z aː ɡ ə
<|GER|>saniert	z a n iː ɐ̯ t
<|GER|>scharf	ʃ a r f
