creu	k r e i̯
maint	m a i̯ n t
gystadlu	ɡ ə s d a d l i
honno	h ɔ n ɔ
uchder	ɪ χ d ɛ r
teitl	t e i̯ t l
modd	m oː ð
dydd	d iː ð
ysmygu	ə s m ə ɡ i
cais	k a i̯ s
cipio	k ɪ p j ɔ
cyfeirio	k ə v e i̯ r j ɔ
cymdeithas	k ə m d e i̯ θ a s
cynhyrchu	k ə n h ə r χ i
cyn	k ɪ n
ieuenctid	j e i̯ ɛ ŋ k t ɪ d
yr	ə r
nawr	n a u̯ r
cymro	k ə m r ɔ
pwy	p ʊ i̯
oddeutu	ɔ ð e i̯ t i
colli	k ɔ ɬ i
gweithwyr	ɡ w e i̯ θ w ɪ r
fab	v aː b
trist	t r ɪ s d
drwsio	d r ʊ s j ɔ
gorchymyn	ɡ ɔ r χ ə m ɪ n
rhaglenni	r̥ a ɡ l ɛ n i
athrawon	a θ r a u̯ ɔ n
canlynol	k a n l ə n ɔ l
hwn	h ʊ n
pentwr	p ɛ n t ʊ r
gwobr	ɡ w ɔ b r
gwerth	ɡ w ɛ r θ
poblog	p ɔ b l ɔ ɡ
ddod	ð oː d
rhydd	r̥ iː ð
almaen	ə r a l m a i̯ n
bychan	b ə χ a n
cyfrifoldeb	k ə v r ɪ v ɔ l d ɛ b
grym	ɡ r ɪ m
cryf	k r iː v
gerdded	ɡ ɛ r ð ɛ d
adroddiad	a d r ɔ ð j a d
cynnyrch	k ə n ɪ r χ
cryn	k r ɪ n
nghwpwrdd	ŋ̊ ʊ p ʊ r ð
aelod	e i̯ l ɔ d
cofrestru	k ɔ v r ɛ s d r i
serch	s ɛ r χ
recordio	r ɛ k ɔ r d j ɔ
weld	w ɛ l d
iddewig	ɪ ð ɛ u̯ ɪ ɡ
methu	m ɛ θ i
ieuanc	j e i̯ a ŋ k
hirion	h ɪ r j ɔ n
straeon	s d r e i̯ ɔ n
pan	p a n
cynnig	k ə n ɪ ɡ
cantorion	k a n t ɔ r j ɔ n
rai	r a i̯
enillwyr	ɛ n ɪ ɬ w ɪ r
annog	a n ɔ ɡ
athrod	a θ r ɔ d
adfeilion	a d v e i̯ l j ɔ n
barhau	b a r h a i̯
ymdrech	ə m d r ɛ χ
gwair	ɡ w a i̯ r
roeg	r ɔ i̯ ɡ
hanner	h a n ɛ r
llwyddiannus	l ʊ i̯ ð j a n ɪ s
pwysig	p ʊ i̯ s ɪ ɡ
dail	d a i̯ l
pam	p a m
angen	a ŋ ɛ n
iâr	j aː r
ŵyn	ʊ i̯ n
llydaw	ɬ ə d a u̯
rheol	r̥ eː ɔ l
egni	ɛ ɡ n i
fferi	f ɛ r i
gwnaethpwyd	ɡ w n e i̯ θ p ʊ i̯ d
amod	a m ɔ d
dim	d ɪ m
rhufain	r̥ ɪ v a i̯ n
ato	a t ɔ
gwag	ɡ w aː ɡ
dydy	d ə d i
goch	ɡ oː χ
gweinyddwr	ɡ w e i̯ n ə ð ʊ r
aberthu	a b ɛ r θ i
fi	v iː
daw	d a u̯
effeithiol	ɛ f e i̯ θ j ɔ l
canlyn	k a n l ɪ n
tarian	t a r j a n
dipyn	d ɪ p ɪ n
roi	r ɔ i̯
heb	h eː b
cemeg	k ɛ m ɛ ɡ
ystyried	ə s d ə r j ɛ d
mawrth	m a u̯ r θ
iarll	j a r ɬ
terfysgwyr	t ɛ r v ə s ɡ w ɪ r
mathemateg	m a θ ɛ m a t ɛ ɡ
modfedd	m ɔ d v ɛ ð
hedfan	h ɛ d v a n
defnydd	d ɛ v n ɪ ð
trwm	t r ʊ m
gweld	ɡ w ɛ l d
chwaraeon	χ w a r e i̯ ɔ n
byddin	b ə ð ɪ n
gemwaith	ɡ ɛ m w a i̯ θ
llosgi	ɬ ɔ s ɡ i
hwch	h uː χ
gwydr	ɡ w ɪ d ɪ r
gwyn	ɡ w ɪ n
dros	d r ɔ s
gynhadledd	ɡ ə n h a d l ɛ ð
côd	k oː d
pryd	p r iː d
saif	s a i̯ v
peirianneg	p e i̯ r j a n ɛ ɡ
ferch	v ɛ r χ
ymgeisydd	ə m ɡ e i̯ s ɪ ð
to	t oː
ngorsaf	ŋ ɔ r s a v
tud	t iː d
fychan	f ə χ a n
sôn	s oː n
argyfwng	a r ɡ ə v ʊ ŋ
rhywiol	r̥ ɪ u̯ j ɔ l
bapur	b a p ɪ r
glust	ɡ l ɪ s t
hŷn	h iː n
ffin	f iː n
harian	h a r j a n
iasoer	j a s ɔ i̯ r
amryw	a m r ɪ u̯
ôl	oː l
elfen	ɛ l v ɛ n
ngogledd	ŋ ɔ ɡ l ɛ ð
flynedd	v l ə n ɛ ð
ystyr	ə s d ɪ r
erthygl	ɛ r θ ɪ ɡ l
ben	b ɛ n
swydd	s ʊ i̯ ð
pherthynas	f ɛ r θ ə n a s
gwyllt	ɡ w ɪ ɬ d
mynwy	m ə n ʊ i̯
amrywio	a m r ɪ u̯ j ɔ
ci	k iː
parhau	p a r h a i̯
gwaith	ɡ w a i̯ θ
llong	ɬ ɔ ŋ
uniongyrchol	ɪ n j ɔ ŋ ɡ ə r χ ɔ l
tri	t r iː
abaty	a b a t i
siân	ʃ aː n
affrica	a f r ɪ k a
gŵr	ɡ uː r
llydan	ɬ ə d a n
ofn	ɔ v ɔ n
hon	h ɔ n
ffurf	f ɪ r v
milwyr	m ɪ l w ɪ r
cant	k a n t
cyflwyno	k ə v l ʊ i̯ n ɔ
diraddio	d ɪ r a ð j ɔ
coch	k oː χ
budd	b iː ð
tra	t r aː
tŷ	t iː
ffydd	f iː ð
lun	l iː n
anghywir	a ŋ̊ h ə w ɪ r
fesur	v ɛ s ɪ r
felly	v ɛ ɬ i
dadl	d a d l
iâ	j aː
plentyn	p l ɛ n t ɪ n
fywyd	v ə u̯ ɪ d
siomi	ʃ ɔ m i
cymry	k ə m r i
lawer	l a u̯ ɛ r
damwain	d a m w a i̯ n
gwmpas	ɡ ʊ m p a s
academi	a k a d ɛ m i
unigryw	ɪ n ɪ ɡ r ɪ u̯
cymru	k ə m r i
oriel	ɔ r j ɛ l
dro	d r oː
colledion	k ɔ ɬ ɛ d j ɔ n
gwyfyn	ɡ w ə v ɪ n
dynnu	d ə n i
protest	p r ɔ t ɛ s d
osod	ɔ s ɔ d
lwyth	l ʊ i̯ θ
rhyddhau	r̥ ə ð h a i̯
cwpan	k ʊ p a n
awdur	a u̯ d ɪ r
bôn	b oː n
fodd	v oː ð
pump	p ɪ m p
daclus	d a k l ɪ s
gogledd	ɡ ɔ ɡ l ɛ ð
dyrnu	d ə r n i
dwll	d ʊ ɬ
nghymru	ŋ̊ ə m r i
enillydd	ɛ n ɪ ɬ ɪ ð
gwerthu	ɡ w ɛ r θ i
sych	s iː χ
phrif	f r iː v
pobloedd	p ɔ b l ɔ i̯ ð
rhy	r̥ iː
llawr	ɬ a u̯ r
symbol	s ɪ m b ɔ l
esgyrn	ɛ s ɡ ɪ r n
mwynhau	m ʊ i̯ n h a i̯
eidal	e i̯ d a l
bath	b aː θ
haelwyd	h e i̯ l ʊ i̯ d
amlach	a m l a χ
siart	ʃ a r t
planhigion	p l a n h ɪ ɡ j ɔ n
plant	p l a n t
peth	p eː θ
thad	θ aː d
capel	k a p ɛ l
creadur	k r ɛ a d ɪ r
holl	h oː ɬ
faint	v a i̯ n t
caniatáu	k a n j a t a i̯
newid	n ɛ u̯ ɪ d
siop	ʃ ɔ p
lladrad	ɬ a d r a d
fam	v a m
brawd	b r a u̯ d
egwyddor	ɛ ɡ ʊ i̯ ð ɔ r
nifer	n ɪ v ɛ r
llun	ɬ iː n
cenedlaethol	k ɛ n ɛ d l e i̯ θ ɔ l
profiad	p r ɔ v j a d
cofio	k ɔ v j ɔ
effeithio	ɛ f e i̯ θ j ɔ
uwch	ɪ u̯ χ
gwastad	ɡ w a s t a d
enwocaf	ɛ n w ɔ k a v
amrywiol	a m r ɪ u̯ j ɔ l
bwthyn	b ʊ θ ɪ n
allan	a ɬ a n
hinsawdd	h ɪ n s a u̯ ð
ynganiad	ə ŋ ɡ a n j a d
rhag	r̥ a ɡ
arfer	a r v ɛ r
ymladdodd	ə m l a ð ɔ ð
gwylan	ɡ ʊ i̯ l a n
cyfnod	k ə v n ɔ d
pren	p r ɛ n
sêr	s eː r
helpu	h ɛ l p i
ddweud	ð w e i̯ d
groeg	ɡ r ɔ i̯ ɡ
ymweld	ə m w ɛ l d
lanhau	l a n h a i̯
oedolion	ɔ i̯ d ɔ l j ɔ n
ŷd	iː d
fri	v r iː
cyflawni	k ə v l a u̯ n i
diwydiant	d ɪ u̯ ɪ d j a n t
bedwar	b ɛ d w a r
awyren	a u̯ ə r ɛ n
gymryd	ɡ ə m r ɪ d
gweinyddol	ɡ w e i̯ n ə ð ɔ l
llaw	ɬ a u̯
awgrymu	a u̯ ɡ r ə m i
pwynt	p ʊ i̯ n t
safbwynt	s a v b ʊ i̯ n t
ddynes	ð ə n ɛ s
stryd	s d r iː d
nythu	n ə θ i
adrodd	a d r ɔ ð
dyffryn	d ə f r ɪ n
nad	n a d
datblygiad	d a t b l ə ɡ j a d
barc	b a r k
neb	n eː b
cyd	k iː d
fwy	v ʊ i̯
ni	n iː
dir	d iː r
llwyddo	ɬ ʊ i̯ ð ɔ
tai	t a i̯
arglwydd	a r ɡ l ʊ i̯ ð
brig	b r iː ɡ
adeilad	a d e i̯ l a d
dewi	d ɛ u̯ i
cyfnos	k ə v n ɔ s
dathlu	d a θ l i
syniad	s ə n j a d
pant	p a n t
tlodion	t l ɔ d j ɔ n
ocsiwn	ɔ k ʃ ʊ n
gadawodd	ɡ a d a u̯ ɔ ð
caergrawnt	k a i̯ r ɡ r a u̯ n t
mwyn	m ʊ i̯ n
sbaen	s b a i̯ n
pridd	p r iː ð
cerbyd	k ɛ r b ɪ d
rhyngrwyd	r̥ ə ŋ r ʊ i̯ d
ngwanwyn	ŋ w a n w ɪ n
newydd	n ɛ u̯ ɪ ð
colomen	k ɔ l ɔ m ɛ n
cytuno	k ə t iː n ɔ
arestio	a r ɛ s d j ɔ
bwysig	b ʊ i̯ s ɪ ɡ
radio	r a d j ɔ
sgwâr	s ɡ w aː r
cyfandir	k ə v a n d ɪ r
etholiad	ɛ θ ɔ l j a d
gosod	ɡ ɔ s ɔ d
mhen	m̥ ɛ n
diffyg	d ɪ f ɪ ɡ
gallu	ɡ a ɬ i
iwerddon	ɪ u̯ ɛ r ð ɔ n
afiechydon	a v j ɛ χ ə d ɔ n
dŵr	d uː r
da	d aː
cyhoeddus	k ə h ɔ i̯ ð ɪ s
rhan	r̥ a n
astudio	a s d ɪ d j ɔ
sgrinio	s ɡ r i n j ɔ
awr	a u̯ r
prynu	p r ə n i
tuag	t iː a ɡ
thorri	θ ɔ r i
byr	b ɪ r
hir	h iː r
roedden	r ɔ i̯ ð ɛ n
trydan	t r ə d a n
cynnes	k ə n ɛ s
gwleidydd	ɡ w l e i̯ d ɪ ð
awyr	a u̯ ɪ r
tatws	t a t ʊ s
dwys	d ʊ i̯ s
dylanwad	d ə l a n w a d
saith	s a i̯ θ
turtur	t ɪ r t ɪ r
cysgu fel clawdd	k ə s ɡ i v ɛ l k l a u̯ ð
hoffi	h ɔ f i
byth	b ɪ θ
bum	b ɪ m
tebygol	t ɛ b ə ɡ ɔ l
chyngor	χ ə ŋ ɔ r
ddefnyddio	ð ɛ v n ə ð j ɔ
amser	a m s ɛ r
moron	m ɔ r ɔ n
chaiff	χ a i̯ f
yw	ɪ u̯
niwed	n ɪ u̯ ɛ d
diweithdra	d ɪ w e i̯ θ d r a
almaeneg	a l m e i̯ n ɛ ɡ
pab	p aː b
gynradd	ɡ ə n r a ð
mawr	m a u̯ r
win	w iː n
aur	a i̯ r
apêl	a p eː l
cynnwys	k ə n ʊ i̯ s
lliw	ɬ ɪ u̯
ganlyniad	ɡ a n l ə n j a d
mam	m a m
syth	s iː θ
esgyn	ɛ s ɡ ɪ n
moel	m ɔ i̯ l
hyn	h ɪ n
ifancaf	ɪ v a ŋ k a v
gellid	ɡ ɛ ɬ i d
mynachlog	m ə n a χ l ɔ ɡ
trin	t r iː n
llawer	ɬ a u̯ ɛ r
hawl	h a u̯ l
symud	s ə m ɪ d
perthyn	p ɛ r θ ɪ n
ryddhau	r ə ð h a i̯
goddrych	ɡ ɔ ð r ɪ χ
argraff	a r ɡ r a f
argraffiad	a r ɡ r a f j a d
chwi	χ w iː
dlawd	d l a u̯ d
hybu	h ə b i
athro	a θ r ɔ
sefydlog	s ɛ v ə d l ɔ ɡ
gestyll	ɡ ɛ s d ɪ ɬ
saethu	s e i̯ θ i
canlyniad	k a n l ə n j a d
mislif	m ɪ s l ɪ v
parc	p a r k
ddeuddeg	ð e i̯ ð ɛ ɡ
iet	j ɛ t
ychwanegiad	ə χ w a n ɛ ɡ j a d
pwnc	p ʊ ŋ k
thi	θ iː
i'w	ɪ u̯
tad	t aː d
ffurfio	f ɪ r v j ɔ
sŵn	s uː n
rygbi	r ə ɡ b i
prif	p r iː v
barnwr	b a r n ʊ r
fawr	v a u̯ r
achosi	a χ ɔ s i
cynorthwyo	k ə n ɔ r θ ʊ i̯ ɔ
bad	b aː d
taith	t a i̯ θ
tyfu	t ə v i
ofni	ɔ v n i
plaid	p l a i̯ d
awstralia	a u̯ s d r a l j a
ffilm	f ɪ l m
crefyddol	k r ɛ v ə ð ɔ l
tywod	t ə w ɔ d
fair	v a i̯ r
awst	a u̯ s d
bwyd	b ʊ i̯ d
treuliodd	t r e i̯ l j ɔ ð
ffwrdd	f ʊ r ð
ymerodraeth	ə m ɛ r ɔ d r a i̯ θ
darlunio	d a r l ɪ n j ɔ
sydd	s iː ð
teg	t eː ɡ
dyma	d ə m a
america	a m ɛ r ɪ k a
nyth	n iː θ
sgôr	s ɡ oː r
dof	d oː v
du	d iː
meysydd	m e i̯ s ɪ ð
dweud	d w e i̯ d
gychwyn	ɡ ə χ w ɪ n
thîm	θ iː m
miliwn	m ɪ l j ʊ n
arweinyddion	a r w e i̯ n ə ð j ɔ n
plwm	p l ʊ m
defnyddiwr	d ɛ v n ə ð j ʊ r
throi	θ r ɔ i̯
beth	b eː θ
ynddo	ə n ð ɔ
dwylo	d ʊ i̯ l ɔ
seland newydd	s eː l a n d n ɛ u̯ ɪ ð
gwelwch	ɡ w ɛ l ʊ χ
twf	t uː v
dywed	d ə u̯ ɛ d
fechan	v eː χ a n
dibynnu	d i b ə n i
stêm	s d eː m
dal	d a l
pysgod	p ə s ɡ ɔ d
tramor	t r a m ɔ r
gorllewin	ɡ ɔ r ɬ ɛ u̯ ɪ n
dad	d aː d
osgoi	ɔ s ɡ ɔ i̯
hwy	h ʊ i̯
awydd	a u̯ ɪ ð
allanfa	a ɬ a n v a
ardal	a r d a l
llawn	ɬ a u̯ n
awdurdod	a u̯ d ɪ r d ɔ d
cerddorfaol	k ɛ r ð ɔ r v aː ɔ l
merch	m ɛ r χ
band	b a n d
theyrnas	θ e i̯ r n a s
dawns	d a u̯ n s
swllt	s ʊ ɬ d
cyfrol	k ə v r ɔ l
bunt	b ɪ n t
fel	v ɛ l
gyngor	ɡ ə ŋ ɔ r
cychwyn	k ə χ w ɪ n
ffoi	f ɔ i̯
cyflym	k ə v l ɪ m
dyddio	d ə ð j ɔ
gywir	ɡ ə u̯ ɪ r
yrru	ə r i
bu	b iː
byw	b ɪ u̯
derbyn	d ɛ r b ɪ n
mesur	m ɛ s ɪ r
màs	m a s
byd	b iː d
tua	t iː a
cyfoethog	k ə v ɔ i̯ θ ɔ ɡ
bryn	b r ɪ n
ongl	ɔ ŋ ɡ ɔ l
arglwyddi	a r ɡ l ʊ i̯ ð i
cynyddu	k ə n ə ð i
sylfaenol	s ə l v e i̯ n ɔ l
glo	ɡ l oː
parhaol	p a r h a u̯ ɔ l
dosbarthu	d ɔ s b a r θ i
hen	h eː n
bwlch	b ʊ l χ
côr	k oː r
safle	s a v l ɛ
dylai	d ə l a i̯
lluoedd	ɬ iː ɔ i̯ ð
cynhadledd	k ə n h a d l ɛ ð
ban	b a n
rydd	r iː ð
daith	d a i̯ θ
her	h ɛ r
natur	n a t ɪ r
hyrwyddo	h ə r ʊ i̯ ð ɔ
gwrthwynebiad	ɡ ʊ r θ w ɪ n ɛ b j a d
droi	d r ɔ i̯
rhwyfo	r̥ ʊ i̯ v ɔ
draw	d r a u̯
aeron	e i̯ r ɔ n
tocyn	t ɔ k ɪ n
hwnnw	h ʊ n u
rhoi	r̥ ɔ i̯
tymor	t ə m ɔ r
ehangu	ɛ h a ŋ i
cylch	k ɪ l χ
cyhyr	k ə h ɪ r
acen	a k ɛ n
yna	ə n a
lladd	ɬ aː ð
cymryd	k ə m r ɪ d
ddal	ð a l
cydweithio	k iː d w e i̯ θ j ɔ
werinwyr	w ɛ r ɪ n w ɪ r
corff	k ɔ r f
alltud	a ɬ d ɪ d
dosbarth	d ɔ s b a r θ
gwrthryfel	ɡ ʊ r θ r ə v ɛ l
trafferth	t r a f ɛ r θ
bras	b r aː s
afiach	a v j a χ
gnoi	ɡ n ɔ i̯
beichiogrwydd	b e i̯ χ j ɔ ɡ r ʊ i̯ ð
gasglu	ɡ a s ɡ l i
dangos	d a ŋ ɡ ɔ s
tîm	t iː m
tro	t r oː
ei	e i̯
chlustdlws	χ l ɪ s d l ʊ s
flwyddyn	v l ʊ i̯ ð ɪ n
iawn	j a u̯ n
nerf	n ɛ r v
duw	d ɪ u̯
golygu	ɡ ɔ l ə ɡ i
sioe	ʃ ɔ i̯
clymu	k l ə m i
caernarfon	k a i r n a r v ɔ n
lerpwl	l ɛ r p ʊ l
siswrn	s ɪ s ʊ r n
torso	t ɔ r s ɔ
math	m aː θ
rhanbarth	r̥ a n b a r θ
dull	d ɪ ɬ
twrch	t ʊ r χ
arni	a r n i
môn	m oː n
adnabyddus	a d n a b ə ð ɪ s
caredigrwydd	k a r ɛ d ɪ ɡ r ʊ i̯ ð
wylo	ʊ i̯ l ɔ
adborth	a d b ɔ r θ
nhachwedd	n̥ a χ w ɛ ð
oddi	ɔ ð i
arbennig	a r b ɛ n ɪ ɡ
el	ɛ l
frith	v r iː θ
agoriad	a ɡ ɔ r j a d
cyfreithiol	k ə v r e i̯ θ j ɔ l
actor	a k t ɔ r
gwynt	ɡ w ɪ n t
rhagfyr	r̥ a ɡ v ɪ r
wedd	w eː ð
amgylch	a m ɡ ɪ l χ
lleol	ɬ eː ɔ l
rhai	r̥ a i̯
pythefnos	p ə θ ɛ v n ɔ s
iaith	j a i̯ θ
hynod	h ə n ɔ d
apostol	a p ɔ s d ɔ l
santes	s a n t ɛ s
ymddangos	ə m ð a ŋ ɡ ɔ s
ynys	ə n ɪ s
diwylliant	d i w ə ɬ j a n t
enfawr	ɛ n v a u̯ r
carchar	k a r χ a r
deuddeg	d e i̯ ð ɛ ɡ
gwŷr	ɡ w iː r
gwan	ɡ w a n
pont	p ɔ n t
gradd	ɡ r aː ð
economeg	ɛ k ɔ n ɔ m ɛ ɡ
bach	b aː χ
gwyrth	ɡ w ɪ r θ
gweinyddu	ɡ w e i̯ n ə ð i
ymdopi	ə m d ɔ p i
gorffennaf	ɡ ɔ r f ɛ n a v
bynnag	b ə n a ɡ
hwntw	h ʊ n t u
cyflwr	k ə v l ʊ r
drwy	d r ʊ i̯
myfyrwyr	m ə v ə r w ɪ r
perthynas	p ɛ r θ ə n a s
caiff	k a i̯ f
rwsia	r ʊ s j a
chwyldro	χ w ɪ l d r ɔ
berthynas	b ɛ r θ ə n a s
gylch	ɡ ɪ l χ
ieithoedd	j e i̯ θ ɔ i̯ ð
gwilym	ɡ w ɪ l ɪ m
dan	d a n
pedwar	p ɛ d w a r
ffordd	f ɔ r ð
gymro	ɡ ə m r ɔ
datblygu	d a t b l ə ɡ i
ffrind	f r ɪ n d
werthu	w ɛ r θ i
dioddef	d j ɔ ð ɛ v
rhif	r̥ iː v
albwm	a l b ʊ m
fyddwn	v ə ð ʊ n
ger	ɡ ɛ r
lan	l a n
nag	n a ɡ
fydd	v iː ð
undeb	ɪ n d ɛ b
torri	t ɔ r i
sawl	s a u̯ l
lefel	l ɛ v e l
gwin	ɡ w iː n
aflwyddiannus	a v l ʊ i̯ ð j a n ɪ s
gwyrdd	ɡ w ɪ r ð
all	aː ɬ
claf	k l aː v
fferm	f ɛ r m
gwleidyddol	ɡ w l e i̯ d ə ð ɔ l
mlynedd	m l ə n ɛ ð
ryddid	r ə ð ɪ d
dileu	d ɪ l e i̯
dosbarthiad	d ɔ s b a r θ j a d
hwylio	h ʊ i̯ l j ɔ
un	iː n
bae	b a i̯
amlwg	a m l ʊ ɡ
ras	r aː s
fas	v aː s
cod	k oː d
farn	v a r n
ef	eː v
gêm	ɡ eː m
hun	h iː n
asyn	a s ɪ n
athrawes	a θ r a u̯ ɛ s
llanc	ɬ a ŋ k
hwyl	h ʊ i̯ l
cymar	k ə m a r
mharc	m̥ a r k
rif	r iː v
estron	ɛ s d r ɔ n
cynyddol	k ə n ə ð ɔ l
sefyllfa	s ɛ v ə ɬ v a
thor	θ ɔ r
breifat	b r e i̯ v a t
system	s ɪ s d ɛ m
papur	p a p ɪ r
cyngor	k ə ŋ ɔ r
ambell	a m b ɛ ɬ
actorion	a k t ɔ r j ɔ n
heini	h e i̯ n i
oerach	ɔ i̯ r a χ
conwy	k ɔ n ʊ i̯
dysgu	d ə s ɡ i
fu	v iː
gordd	ɡ ɔ r ð
post	p ɔ s d
diwedd	d ɪ u̯ ɛ ð
hynny	h ə n i
esgob	ɛ s ɡ ɔ b
blynedd	b l ə n ɛ ð
hapus	h a p ɪ s
fe	v eː
thu	θ iː
orsaf	ɔ r s a v
penderfynu	p ɛ n d ɛ r v ə n i
bardd	b a r ð
cysgu	k ə s ɡ i
frys	v r iː s
mab	m aː b
ganddo	ɡ a n ð ɔ
eira	e i̯ r a
brwd	b r uː d
pellter	p ɛ ɬ d ɛ r
fro	v r oː
tlws	t l uː s
eto	ɛ t ɔ
mai	m a i̯
bencampwr	b ɛ ŋ k a m p ʊ r
nos	n oː s
wyddeleg	ʊ i̯ ð ɛ l ɛ ɡ
llif	ɬ iː v
cysylltiad	k ə s ə ɬ d j a d
paentio	p e i̯ n t j ɔ
brys	b r iː s
